index,Nfeval,J,Jf,J_length,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep,Jquasisymmetry,Jwell,Jiota,Jaspect
26,27,0.011191438668028842,1.1502558655845013e-05,2.0401858312508024e-07,20.401858312508022,7.781175249076116e-08,6.49656088475509e-08,4.954151795309966e-08,1.593546673894125e-07,4.006589561106262e-09,12.028657282200127,16.020905604864854,0.001460929021309219,0.0010556541793666078,0.14747423930708561,0.009947741953327226,0.001328056840444305,1.8244274069230192e-06,1.9627362067347187e-05
27,28,0.0111877166700052,1.1498615618518511e-05,2.0401554730229316e-07,20.401554730229314,7.046632435264187e-08,3.441915946991098e-08,5.622437443017194e-08,1.2606550670812663e-07,4.005536992159561e-09,12.03027521176767,16.014022044272956,0.001459920469602626,0.0010456042888536909,0.14755467315361973,0.009952723613253021,0.0013077246901906866,1.7246888575835548e-06,1.8765515098185348e-05
28,29,0.011183995111250782,1.1478687207934442e-05,2.0401799671466365e-07,20.401799671466364,5.304521375310214e-08,4.613394528232127e-08,6.53051972957267e-08,7.798434697493968e-08,4.003143322698904e-09,12.0384671359558,16.01022301698422,0.0014593516075377126,0.0009884446345755455,0.14782562226282234,0.00995611980576935,0.0012943213108016142,1.6097743881154359e-06,1.926017080474842e-05
29,30,0.011180007739188171,1.1415764373518207e-05,2.040178908855431e-07,20.40178908855431,4.8207814809204195e-08,4.525227823053826e-08,6.723417340676916e-08,7.911078650072319e-08,3.999999966209506e-09,12.031622170449204,16.006814403395065,0.0014562223162890874,0.0009381361389107128,0.14782498742687003,0.009958193025886535,0.001280066303523598,1.6621366048723081e-06,1.923461551782407e-05
30,31,0.011174869606786165,1.1320269808980615e-05,2.0401673168283524e-07,20.401673168283523,4.292187081431768e-08,3.9349430151244544e-08,6.301281691766433e-08,1.0948567796706215e-07,3.995993486506287e-09,12.034488377609284,16.013255747122205,0.0014513623393837953,0.0008461121657125453,0.14795011281342701,0.009959049214415575,0.0012652300367705961,1.8146662306221176e-06,1.976809641290801e-05
31,32,0.011168540303311962,1.1245975764601387e-05,2.0401396289134628e-07,20.401396289134627,3.416097591364886e-08,2.6366846781968225e-08,4.234690968757664e-08,1.206966883939642e-07,3.991045307000921e-09,12.022218609235832,16.0159971822815,0.001446010140796515,0.0007175335444909663,0.14812340012835828,0.009966735862569989,0.0012509739554364574,1.4140146268760549e-06,2.03081796461963e-05
32,33,0.011170340738636732,1.116956544394699e-05,2.0401581597568008e-07,20.401581597568008,3.814958218186772e-08,4.2720947486162755e-08,6.700396357234157e-08,1.036088722123354e-07,3.986030518567723e-09,12.03149408702173,16.01512157909535,0.0014458306666007515,0.0007975677295036369,0.14809708860340925,0.00996356570713082,0.0012239789171472018,2.468233690567916e-06,1.95862320626588e-05
33,34,0.011165768914963785,1.1192422009174805e-05,2.040146833791115e-07,20.401468337911147,3.58275951675987e-08,3.1088044648403107e-08,5.0240861204264416e-08,1.0863550594945073e-07,3.988849867604879e-09,12.021853711001194,16.015468936787634,0.0014450223200103622,0.0006961524291625856,0.14811184959038012,0.009965177269804216,0.0012391715686923036,1.8374724620290878e-06,1.9994050586805583e-05
34,35,0.011162844681723249,1.1188379830346758e-05,2.0401369264855617e-07,20.401369264855617,3.45198490326025e-08,2.57196171224848e-08,5.097494764945326e-08,6.796727657774704e-08,3.987639997418454e-09,12.02368356931518,16.014043092574116,0.0014480142640199082,0.000600718083967091,0.14819927579350572,0.009970746135052964,0.0012359370197325985,1.591778914436846e-06,1.9023236188168996e-05
35,36,0.011159447086817823,1.109839127212198e-05,2.0401277343466638e-07,20.40127734346664,5.224901700225953e-08,2.4858080067194153e-08,4.363478099693872e-08,8.910897776343908e-08,3.987103568788178e-09,12.024587306078859,16.014076595873803,0.001442321752048885,0.0005577934755060564,0.1480051096215669,0.009974970433114088,0.0012289267839923493,1.4876314303311092e-06,1.837484926177156e-05
36,37,0.011156294915210512,1.105178727331175e-05,2.0401049166497305e-07,20.401049166497305,2.6755424452297065e-08,1.5200231448171745e-08,5.330467622998146e-08,1.0059356423582498e-07,3.987685170490127e-09,12.031221958137602,16.01589295270617,0.001439550168610551,0.0004545237351187335,0.1483685874119092,0.009975891939039373,0.0012196128642314845,1.7382005435091374e-06,1.7855804601786535e-05
37,38,0.011153788269205598,1.099448226827124e-05,2.040088776224296e-07,20.40088776224296,2.4558490161346533e-08,1.1836749652868119e-08,4.738150962725047e-08,1.1556532687288449e-07,3.987906073607655e-09,12.018760770760057,16.020405709862153,0.0014360307142791862,0.00037914832684197834,0.1483152015679589,0.009983728032929729,0.0012170771833514163,1.4433972997652187e-06,1.5842941057509342e-05
38,39,0.011152665483984676,1.0961953092856635e-05,2.040082095959088e-07,20.40082095959088,1.9492244361906876e-08,1.0471031266648342e-08,5.069522875272262e-08,1.1430848597548239e-07,3.98807810823097e-09,12.024101110182501,16.018792998740583,0.0014350941332727822,0.0003691194641605835,0.14856244699800258,0.00998158247355925,0.0012042794111154732,1.8845043004676882e-06,1.6145138139784647e-05
39,40,0.01115121518394314,1.0945852585996146e-05,2.0400748550414853e-07,20.400748550414853,2.1882825289832955e-08,8.946584645948431e-09,4.1058810049547036e-08,1.1252227092344069e-07,3.9875361868096755e-09,12.011788782240759,16.01839230133611,0.00143519160646265,0.00032394204483482576,0.1484956707352052,0.009982347225749167,0.0012005146243441094,1.954025751425729e-06,1.5900644438826474e-05
40,41,0.011149307905041091,1.091040582675058e-05,2.040062878292636e-07,20.400628782926358,2.668235488147713e-08,6.596669610700111e-09,3.623776626871355e-08,1.1519621152749587e-07,3.986177095685123e-09,12.023558996628404,16.018914295515522,0.0014338219867439735,0.00028677632146678053,0.14840997148836538,0.00998598028240753,0.0011976665580840506,1.8464452596689241e-06,1.4950658349989493e-05
41,42,0.011148716453592066,1.087302623149029e-05,2.040066643713843e-07,20.40066643713843,2.7821565808558126e-08,9.254935333795271e-09,4.148770797153403e-08,1.1657478714675159e-07,3.984695508150584e-09,12.028622850256507,16.01881606013317,0.0014292234363416298,0.0003867241786326494,0.1484360183072322,0.009989399246728092,0.0011911319456507094,1.6548572962657588e-06,1.5551444689167228e-05
42,43,0.011147877807373717,1.0852380954996922e-05,2.0400631203571663e-07,20.400631203571663,2.847514597279063e-08,7.96744277586022e-09,4.438003884432437e-08,1.1871231785009051e-07,3.984566093144184e-09,12.02840526340024,16.018750378612232,0.0014274399408718808,0.0003539399998111032,0.14847837185450027,0.00999098295715043,0.0011890013954273528,1.6050714445831636e-06,1.525191452991633e-05
43,44,0.011146959316549413,1.082678833105083e-05,2.040057726566911e-07,20.40057726566911,2.9527520905721588e-08,6.364519324486745e-09,5.1698656783926036e-08,1.1680935966064786e-07,3.984680845125851e-09,12.031418311691905,16.018678105438717,0.0014253632714504528,0.0003291052333495742,0.1483961706994739,0.009991669887397936,0.0011841989335934853,1.6413355283955927e-06,1.535665782923817e-05
44,45,0.011146128823822135,1.0788567229103332e-05,2.0400528466612755e-07,20.400528466612755,3.702699673689462e-08,4.7303006542578385e-09,5.626391866368913e-08,1.204344660139118e-07,3.984938641291244e-09,12.032036173902242,16.02001754385085,0.0014223886543628934,0.00030635171303890885,0.14823511227126307,0.009994190789956153,0.0011794381076393468,1.5967823314058576e-06,1.4867390968133043e-05
45,46,0.011144966445987578,1.0777073094643575e-05,2.0400497249485744e-07,20.400497249485742,3.9861735294734334e-08,4.02237572678301e-09,4.8878368854827954e-08,1.1027873809409273e-07,3.984634480143225e-09,12.02182832202158,16.019672113063955,0.0014210301728788863,0.00026671583197797116,0.14819768302053912,0.009995711719181028,0.0011738086653938068,1.5895857024299448e-06,1.4946941271403967e-05
46,47,0.011144092142840413,1.076240727134804e-05,2.0400390377322985e-07,20.400390377322985,3.655215303324551e-08,2.5481234024050276e-09,4.1628195822604504e-08,1.0395178134654438e-07,3.9844823386884005e-09,12.006056668630755,16.01986531947327,0.0014188185734299856,0.00024150689086676217,0.14833906528986143,0.00999856865945511,0.0011653906106929212,1.5436582785891095e-06,1.4977757726710657e-05
47,48,0.011143006350021299,1.0734972464618032e-05,2.0400343206122847e-07,20.400343206122848,3.6923788784676776e-08,2.19717837528573e-09,3.861947697829933e-08,1.0303543691068482e-07,3.98434777641784e-09,12.002191960242097,16.019962501803906,0.001416842257984482,0.00019739744320944203,0.1482378817155922,0.010000728730936655,0.001158794405863255,1.5273883328097432e-06,1.5028557983577617e-05
48,49,0.011141873725759876,1.0686058953983152e-05,2.0400360306225247e-07,20.400360306225245,3.7020877807082984e-08,2.5810691133125192e-09,4.465506044851584e-08,1.0631663979264959e-07,3.984273597543659e-09,12.003950648033811,16.019328793626514,0.0014140865818746602,0.00016486634909961765,0.14824315595780624,0.010003600671400903,0.0011491407536671492,1.51300978836954e-06,1.5079336054518176e-05
49,50,0.011141225333816373,1.0647548778297696e-05,2.040037785175303e-07,20.400377851753028,4.2500630550821806e-08,2.9722656367504393e-09,4.4754325054903265e-08,9.847038211069214e-08,3.983335400428481e-09,12.00362289701443,16.016123120911068,0.0014132721212268822,0.00014030935766970088,0.1481087891812761,0.010007146080558759,0.001139248971687791,1.5534291810231453e-06,1.451994543054877e-05
50,51,0.011140664654282777,1.0614674969291862e-05,2.0400372568145668e-07,20.400372568145666,4.29093392392211e-08,3.645922481821188e-09,4.4937412307102376e-08,1.046154708175315e-07,3.9832156737942566e-09,12.00383144634574,16.016135516470243,0.0014114979299022683,0.00014257922201681725,0.1482140141534212,0.010009236687663563,0.0011339716434099517,1.577861076623895e-06,1.4170671871063064e-05
51,52,0.011139968862528497,1.0601976312573366e-05,2.0400397916217855e-07,20.400397916217855,4.210774654022994e-08,3.957893929485827e-09,4.323407590420806e-08,9.678024411700175e-08,3.982663544375008e-09,12.007179887596475,16.014546156292894,0.001410204697209755,0.0001460383148767761,0.14817712077493947,0.010010424922159318,0.001128677568308016,1.6109949853982154e-06,1.4227965292530373e-05
52,53,0.01113918141541626,1.0585420483284152e-05,2.0400399201066934e-07,20.400399201066932,4.371821728404732e-08,3.3865177705914314e-09,3.6310926094401666e-08,9.294784380214903e-08,3.9816601521290294e-09,12.007475571490506,16.013488576145903,0.0014083003741027658,0.00014496255689582088,0.14805378994623372,0.01001225521805642,0.0011237115853268205,1.6318754453127006e-06,1.4028644882126925e-05
53,54,0.011138201490006288,1.0550886087579657e-05,2.0400500384258202e-07,20.4005003842582,4.273939435654993e-08,3.663729184893567e-09,4.089546085172042e-08,9.500996111944474e-08,3.981085180802404e-09,11.996995528943053,16.01492778322509,0.0014054539825790772,0.0001415781701548703,0.1481061316077814,0.010014923315920889,0.0011186004926601871,1.589179236955482e-06,1.3666418022348208e-05
54,55,0.011138630704360589,1.0531288325748347e-05,2.040060764082301e-07,20.400607640823008,4.791604113207976e-08,4.88698548192421e-09,4.708970586975984e-08,8.914402363937206e-08,3.982128391037653e-09,11.999397348085356,16.01673254923896,0.001402917195312622,0.0003574339568790605,0.14782331586830846,0.010016938783896624,0.0011133691800528896,1.6033753421531045e-06,1.3225051214466312e-05
55,56,0.011137631613391649,1.0539888003318722e-05,2.0400538382578422e-07,20.40053838257842,4.4655226318439235e-08,3.942999706258547e-09,3.9531189169157756e-08,9.18018482432329e-08,3.981522980675849e-09,11.990657693915587,16.015564798239403,0.001404214149565968,0.00015364529926446005,0.1479787608785747,0.010015827946246269,0.0011162437016806884,1.5955291758026097e-06,1.3465910329304085e-05
56,57,0.011137393645769263,1.0528084530026931e-05,2.0400576845883607e-07,20.400576845883606,4.341156929217828e-08,4.543844877068485e-09,4.5066860971219946e-08,9.109224275985504e-08,3.9821721891295224e-09,11.996756778678675,16.0173629113784,0.001403122064076193,0.00024866435129870064,0.14810643109000374,0.010015711124948985,0.0011139177530120968,1.6814460028056091e-06,1.3247579153619822e-05
57,58,0.011137218759243542,1.0525559271964076e-05,2.0400596795769697e-07,20.400596795769697,4.3099139739211796e-08,4.925386633332862e-09,4.3369238944069246e-08,9.170879313605906e-08,3.9824906311801536e-09,11.99011695821247,16.01827932358168,0.0014028629150179097,0.00020524957260398895,0.14814312473746347,0.01001555231147825,0.0011130136176070856,1.7251465277360114e-06,1.3148202650445532e-05
58,59,0.01113693376165269,1.0521459870377e-05,2.0400609048885714e-07,20.400609048885713,4.272307967801418e-08,5.224760889701584e-09,4.324353740220109e-08,9.321786971553314e-08,3.982382545488677e-09,11.986332575162926,16.018868485383514,0.0014024066563409635,0.00021273389045312283,0.14814509541335777,0.010015568482991663,0.0011128362478127467,1.7250386549385727e-06,1.3127371256459618e-05
59,60,0.011136492033774151,1.0521766900773034e-05,2.040059019835838e-07,20.40059019835838,4.025391480362494e-08,4.8562982289515395e-09,4.311128540592146e-08,9.278650065720083e-08,3.982443572671971e-09,11.988636395102532,16.018641375476033,0.0014022475030929982,0.00020042686931284441,0.14816492084019464,0.010015292807873031,0.0011125727850955951,1.7371486453254972e-06,1.3149659262732915e-05
60,61,0.01113592262027874,1.0528181565878914e-05,2.0400515070750388e-07,20.400515070750387,3.8822622305656625e-08,3.839370222926631e-09,4.029874376852576e-08,9.174572471396735e-08,3.982344934918942e-09,11.990356111014501,16.017671014993976,0.0014022133320515274,0.00015974378470811468,0.14817265217591316,0.010015210237108396,0.0011136290480133048,1.6857037356577943e-06,1.3166028053943046e-05
61,62,0.011135708628160074,1.0525246152242254e-05,2.040042895892908e-07,20.40042895892908,4.019374231579293e-08,3.018876720101879e-09,4.640571888333812e-08,9.411033549608444e-08,3.981971224748838e-09,11.993129819806686,16.01697329314111,0.0014018278795922393,0.00020567659107614104,0.14813238415741875,0.010013667350957486,0.0011133864594835468,1.7080965874052845e-06,1.3662399803763672e-05
62,63,0.011135551304608242,1.05259923121414e-05,2.040046767829786e-07,20.400467678297858,3.9511144636331796e-08,3.343661949242267e-09,4.186979490123355e-08,9.271725195899043e-08,3.982141161681903e-09,11.988308829190157,16.017252879916885,0.001401978144513432,0.00014186105326002388,0.14815208584295878,0.010014417743126704,0.0011135054159012885,1.6971098949913645e-06,1.3418578294633933e-05
63,64,0.011135050852451828,1.0526505672904937e-05,2.0400419659613305e-07,20.400419659613306,3.7576895357819654e-08,3.3642274955247495e-09,4.056389341921089e-08,9.375176910809972e-08,3.981971420753813e-09,11.987609257860234,16.017323248053103,0.0014020060331604988,8.608062417182714e-05,0.14818104499284987,0.010013991405253633,0.0011134077315895275,1.6960674501349464e-06,1.3522107208696241e-05
64,65,0.011134529885455238,1.051668857864714e-05,2.0400414409925857e-07,20.400414409925858,3.614907071509647e-08,3.1968437389703897e-09,4.283741458732886e-08,9.529159020431758e-08,3.981114041277037e-09,11.993648518525667,16.01818425373427,0.0014005510987532511,7.642966304518031e-05,0.14818279784857233,0.010014098049906169,0.001111334858959167,1.6699039078037e-06,1.3916032271826767e-05
65,66,0.011134648934278076,1.0503251305973817e-05,2.0400496860891218e-07,20.400496860891216,3.6489005584021126e-08,3.889375984419365e-09,3.984913262821975e-08,1.0469818771062546e-07,3.980389926710224e-09,12.003108368051652,16.020726749946814,0.001400292740905036,0.00016140259017407974,0.14822394182103982,0.010014731479694238,0.0011089493640178403,1.6499905685118484e-06,1.4199351249840985e-05
66,67,0.01113428634174826,1.0508739276659651e-05,2.04004444849393e-07,20.4004444849393,3.6292654052081947e-08,3.4122936419526307e-09,4.09928617093289e-08,9.910886139424019e-08,3.98075618004748e-09,11.996098086242009,16.01925707252692,0.0014003200003207769,9.910999448909867e-05,0.14820134532425758,0.010014378963778922,0.001110257788115967,1.6608861040903082e-06,1.4043477697744499e-05
67,68,0.011133998541332027,1.0495936207242325e-05,2.040044500665193e-07,20.40044500665193,3.92160455049253e-08,3.4163146162307787e-09,4.225709923120341e-08,1.010654113318786e-07,3.980136199162731e-09,11.99454186906318,16.01842223518268,0.0013996362540047837,7.464491918990282e-05,0.14814926118641428,0.010014694966312042,0.001108799384440059,1.6409637278034197e-06,1.4304384942690464e-05
68,69,0.011133847562507015,1.0495398676911366e-05,2.0400446945417408e-07,20.400446945417407,3.963259076424801e-08,3.3978878433095596e-09,3.806363302017313e-08,9.853555224916232e-08,3.979212256275117e-09,12.000756514497889,16.018897334028573,0.001399860805504457,0.00010324416688601856,0.14810687289418123,0.010014559425494219,0.0011067209626697103,1.6896468628158103e-06,1.4488387360360362e-05
69,70,0.011133659530791092,1.0498428926263644e-05,2.0400421608640593e-07,20.400421608640592,3.749731079727516e-08,3.1570955562545455e-09,3.5408421465365414e-08,9.711843206176071e-08,3.978515318577286e-09,12.007764111369784,16.01825991671147,0.001399950516795772,6.743776942852908e-05,0.14817251882678734,0.010014743237636174,0.0011065627872933245,1.6895550664590132e-06,1.4459302267318888e-05
