
Aspect ratio at max_mode 1: 3.5110982166058085
Mean iota at 1: -0.18276397680066928
Quasisymmetry objective at max_mode 1: 0.02073411065522524
Magnetic well at max_mode 1: -0.06064328046198125
Mercier objective at max_mode 1: 0.0
Total beta at at max_mode 1: 0.0
Squared flux at max_mode 1: 0.026957816732874913
fun_coils#16 - J=2.5e-03, Jf=2.5e-03, ⟨B·n⟩=1.5e-02, B·n max=5.8e-02, ║∇J coils║=6.2e-02, C-C-Sep=0.13 J_CC=2.3e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=5.7e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.7])=10.4, curvature=[0.9, 7.1], mean squared curvature=[0.9, 9.7], coils dofs=0.42824667169680314, 1.6947158286371085, 8.59030402752537e-18, -0.0032786344555252997, 1.0773073766303447, 3.5997302050313644e-20
fun_coils#17 - J=2.3e-03, Jf=2.3e-03, ⟨B·n⟩=1.4e-02, B·n max=5.2e-02, ║∇J coils║=3.6e-02, C-C-Sep=0.14 J_CC=4.0e-07, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=6.6e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.7])=10.4, curvature=[0.9, 7.5], mean squared curvature=[0.9, 9.9], coils dofs=0.4287051325310689, 1.6946000058698343, 8.977640187731479e-18, -0.003416273714568149, 1.0772467831699772, 1.0287837881160883e-20
fun_coils#18 - J=2.1e-03, Jf=1.9e-03, ⟨B·n⟩=1.2e-02, B·n max=4.7e-02, ║∇J coils║=2.4e-01, C-C-Sep=0.16 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.7e-04, J_ALS=1.2e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.6, curvature=[1.0, 10.1], mean squared curvature=[0.9, 11.7], coils dofs=0.4315055673491138, 1.6939040988174028, 1.0967470198465567e-17, -0.004110940365462681, 1.0768865522719684, -1.0776986378313767e-19
fun_coils#19 - J=2.1e-03, Jf=2.1e-03, ⟨B·n⟩=1.4e-02, B·n max=5.0e-02, ║∇J coils║=2.7e-02, C-C-Sep=0.15 J_CC=3.2e-08, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=7.9e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.7])=10.5, curvature=[0.9, 8.1], mean squared curvature=[0.9, 10.3], coils dofs=0.42948433072719633, 1.6944063753962975, 9.531294193521435e-18, -0.003609559056472588, 1.0771465518544296, -2.2560756766721044e-20
fun_coils#20 - J=4.7e-03, Jf=1.7e-03, ⟨B·n⟩=1.2e-02, B·n max=4.8e-02, ║∇J coils║=1.0e+00, C-C-Sep=0.17 J_CC=0.0e+00, J_CURVATURE=1.5e-05, J_MSC=3.1e-03, J_ALS=1.6e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.9])=10.7, curvature=[1.0, 11.9], mean squared curvature=[0.9, 13.5], coils dofs=0.43282790254151116, 1.6935840917497764, 1.2235389584142406e-17, -0.0046704721700818845, 1.0767136620355693, -1.2382130725688454e-19
fun_coils#21 - J=2.0e-03, Jf=2.0e-03, ⟨B·n⟩=1.3e-02, B·n max=5.0e-02, ║∇J coils║=2.2e-02, C-C-Sep=0.15 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=9.5e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.5, curvature=[0.9, 8.8], mean squared curvature=[0.9, 10.8], coils dofs=0.43029571343870754, 1.69420683228139, 1.018749551715791e-17, -0.003867010251363255, 1.0770415027229863, -4.713359820355523e-20
fun_coils#22 - J=1.6e-02, Jf=1.4e-03, ⟨B·n⟩=1.1e-02, B·n max=4.8e-02, ║∇J coils║=3.0e+00, C-C-Sep=0.18 J_CC=0.0e+00, J_CURVATURE=5.0e-04, J_MSC=1.4e-02, J_ALS=2.1e-09, J_LENGTH_PENALTY=3.7e-05 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[1.0, 14.1], mean squared curvature=[0.9, 16.4], coils dofs=0.4332606935085453, 1.6934964596892872, 1.4767033744232393e-17, -0.005520737687255062, 1.0766430622701053, 6.047973500321818e-19
fun_coils#23 - J=1.9e-03, Jf=1.9e-03, ⟨B·n⟩=1.3e-02, B·n max=4.9e-02, ║∇J coils║=4.8e-02, C-C-Sep=0.16 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-05, J_ALS=1.1e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.6, curvature=[1.0, 9.3], mean squared curvature=[0.9, 11.2], coils dofs=0.43064819728297815, 1.6941223815072763, 1.0731921854348056e-17, -0.0040636092807829925, 1.0769941351794492, 3.0369495045131815e-20
fun_coils#24 - J=1.8e-03, Jf=1.7e-03, ⟨B·n⟩=1.2e-02, B·n max=4.6e-02, ║∇J coils║=6.6e-02, C-C-Sep=0.16 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.4e-05, J_ALS=1.2e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.6, curvature=[1.0, 9.6], mean squared curvature=[0.9, 11.2], coils dofs=0.43085277833672264, 1.6940825005911802, 1.2037116044589855e-17, -0.004519919528306532, 1.0769597541102764, 2.9250632162661905e-19
fun_coils#25 - J=1.8e-03, Jf=1.3e-03, ⟨B·n⟩=1.1e-02, B·n max=3.7e-02, ║∇J coils║=7.6e-02, C-C-Sep=0.19 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.7e-09, J_LENGTH_PENALTY=4.3e-04 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[1.0, 9.6], mean squared curvature=[0.9, 11.0], coils dofs=0.4311084677404835, 1.6940648889448686, 1.6911398109394872e-17, -0.006240549759566508, 1.0768942576331515, 1.5107766251038047e-18
