       0.10000D+01       0.00000D+00       0.91500D-01       0.39755D+00       0.00000D+00
       0.20000D+01       0.00000D+00       0.95466D-01       0.38251D+00       0.17947D+00
       0.30000D+01       0.54491D-06       0.91837D-01       0.37726D+00       0.23450D+00
       0.40000D+01       0.23762D-02       0.83296D-03       0.38204D+00       0.26356D+00
       0.50000D+01       0.29073D-02       0.92677D-01       0.38565D+00       0.20897D+00
       0.60000D+01       0.31309D-02       0.97003D-01       0.38252D+00       0.23539D+00
       0.70000D+01       0.27356D-02       0.93691D-01       0.38031D+00       0.25113D+00
       0.80000D+01       0.35421D-02       0.33255D-02       0.38205D+00       0.26367D+00
       0.90000D+01       0.37409D-02       0.95357D-01       0.38429D+00       0.23314D+00
       0.10000D+02       0.37774D-02       0.10006D+00       0.38253D+00       0.24849D+00
       0.11000D+02       0.34850D-02       0.97050D-01       0.38114D+00       0.25735D+00
       0.12000D+02       0.39626D-02       0.74589D-02       0.38206D+00       0.26533D+00
       0.13000D+02       0.40650D-02       0.99514D-01       0.38378D+00       0.24397D+00
       0.14000D+02       0.40597D-02       0.10463D+00       0.38254D+00       0.25410D+00
       0.15000D+02       0.38381D-02       0.10189D+00       0.38153D+00       0.26026D+00
       0.16000D+02       0.41673D-02       0.13202D-01       0.38208D+00       0.26615D+00
       0.17000D+02       0.42329D-02       0.10511D+00       0.38352D+00       0.24972D+00
       0.18000D+02       0.42124D-02       0.11065D+00       0.38256D+00       0.25724D+00
       0.19000D+02       0.40381D-02       0.10817D+00       0.38177D+00       0.26118D+00
       0.20000D+02       0.42804D-02       0.20511D-01       0.38211D+00       0.26498D+00
       0.21000D+02       0.43401D-02       0.11210D+00       0.38337D+00       0.25169D+00
       0.22000D+02       0.42977D-02       0.11809D+00       0.38259D+00       0.25776D+00
       0.23000D+02       0.41572D-02       0.11586D+00       0.38194D+00       0.26101D+00
       0.24000D+02       0.43488D-02       0.29331D-01       0.38214D+00       0.26425D+00
       0.25000D+02       0.43949D-02       0.12041D+00       0.38328D+00       0.25309D+00
       0.26000D+02       0.43516D-02       0.12688D+00       0.38261D+00       0.25818D+00
       0.27000D+02       0.42364D-02       0.12488D+00       0.38207D+00       0.26095D+00
       0.28000D+02       0.43957D-02       0.39595D-01       0.38217D+00       0.26378D+00
       0.29000D+02       0.44407D-02       0.12998D+00       0.38323D+00       0.25415D+00
       0.30000D+02       0.43964D-02       0.13696D+00       0.38264D+00       0.25911D+00
       0.31000D+02       0.43004D-02       0.13516D+00       0.38217D+00       0.26151D+00
       0.32000D+02       0.44351D-02       0.51225D-01       0.38221D+00       0.26400D+00
       0.33000D+02       0.44712D-02       0.14073D+00       0.38320D+00       0.25551D+00
       0.34000D+02       0.44272D-02       0.14824D+00       0.38268D+00       0.25981D+00
       0.35000D+02       0.43466D-02       0.14664D+00       0.38226D+00       0.26193D+00
