
fun_coils#12 - J=4.7e-03, Jf=4.6e-03, ⟨B·n⟩=8.8e-02, B·n max=5.5e-01, ║∇J coils║=1.6e-01, C-C-Sep=0.17 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=9.7e-05, J_MSC=1.4e-02, J_ALS=4.8e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.7, 2.8])=19.2, curvature=[0.9, 0.9, 4.1, 4.4], mean squared curvature=[0.9, 0.9, 7.4, 8.6], coils dofs=6.914332219333807, 6.9140185049988965, 6.916578632784109, -6.917186476670574, -0.005531817137962624, -0.0015127657709920815
fun_coils#13 - J=3.9e-03, Jf=3.5e-03, ⟨B·n⟩=7.4e-02, B·n max=5.1e-01, ║∇J coils║=3.5e-01, C-C-Sep=0.17 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=4.4e-04, J_MSC=4.8e-02, J_ALS=6.1e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.8, 2.9])=19.3, curvature=[0.9, 0.9, 4.2, 5.2], mean squared curvature=[0.9, 0.9, 7.4, 10.1], coils dofs=6.914176536832616, 6.913827646630908, 6.916753026996818, -6.917337425112948, -0.006315491767029105, -0.0017364390144733158
fun_coils#14 - J=3.1e-03, Jf=3.1e-03, ⟨B·n⟩=6.8e-02, B·n max=4.9e-01, ║∇J coils║=1.3e-01, C-C-Sep=0.17 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=6.5e-05, J_MSC=4.2e-02, J_ALS=6.5e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.8, 2.9])=19.3, curvature=[0.9, 0.9, 4.3, 4.2], mean squared curvature=[0.9, 0.9, 7.5, 9.9], coils dofs=6.914120577778247, 6.913757708379814, 6.916819254730631, -6.917390491505419, -0.0066457420813286535, -0.0018374552744006827
fun_coils#15 - J=2.8e-03, Jf=2.7e-03, ⟨B·n⟩=6.2e-02, B·n max=4.8e-01, ║∇J coils║=1.1e-01, C-C-Sep=0.17 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=6.2e-05, J_MSC=5.2e-02, J_ALS=7.2e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.8, 2.9])=19.3, curvature=[0.9, 1.0, 4.2, 4.3], mean squared curvature=[0.9, 0.9, 7.5, 10.2], coils dofs=6.914049350840657, 6.913668323182323, 6.916900639757638, -6.917461149257597, -0.0070597119503558355, -0.0019656098158721564
fun_coils#16 - J=2.2e-03, Jf=2.1e-03, ⟨B·n⟩=5.1e-02, B·n max=4.2e-01, ║∇J coils║=2.2e-01, C-C-Sep=0.17 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=1.4e-04, J_MSC=5.0e-02, J_ALS=8.6e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.8, 2.9])=19.4, curvature=[1.0, 1.0, 4.1, 4.9], mean squared curvature=[0.9, 0.8, 7.5, 10.1], coils dofs=6.9139334454921295, 6.91351591505183, 6.917040447712709, -6.9175785981003886, -0.00789381659721797, -0.002252369951504756
fun_coils#17 - J=1.9e-03, Jf=1.8e-03, ⟨B·n⟩=4.7e-02, B·n max=3.7e-01, ║∇J coils║=1.9e-01, C-C-Sep=0.18 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=1.1e-04, J_MSC=2.1e-02, J_ALS=8.3e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.8, 2.9])=19.4, curvature=[1.0, 1.0, 4.0, 4.7], mean squared curvature=[0.9, 0.8, 7.3, 9.0], coils dofs=6.913932850037281, 6.913505569125969, 6.917052052524732, -6.917582260801789, -0.008130913483492345, -0.002365841880018517
fun_coils#18 - J=1.7e-03, Jf=1.7e-03, ⟨B·n⟩=4.5e-02, B·n max=3.6e-01, ║∇J coils║=6.8e-02, C-C-Sep=0.18 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=1.2e-05, J_MSC=8.4e-03, J_ALS=7.9e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.8, 2.9])=19.4, curvature=[1.0, 1.0, 4.0, 4.2], mean squared curvature=[0.9, 0.8, 7.2, 8.3], coils dofs=6.913958181006141, 6.9135342196408445, 6.9170232103952465, -6.917561338505878, -0.008046411184069938, -0.002352149548657991
fun_coils#19 - J=1.5e-03, Jf=1.5e-03, ⟨B·n⟩=4.4e-02, B·n max=3.1e-01, ║∇J coils║=4.6e-02, C-C-Sep=0.18 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=1.1e-06, J_MSC=7.5e-03, J_ALS=8.3e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.8, 2.9])=19.4, curvature=[1.0, 1.0, 4.0, 4.1], mean squared curvature=[0.9, 0.8, 7.4, 8.2], coils dofs=6.913913518995534, 6.9134731135820955, 6.917076638048384, -6.917610473312999, -0.008420950029584538, -0.0024912670772702424
fun_coils#20 - J=1.3e-03, Jf=1.3e-03, ⟨B·n⟩=4.4e-02, B·n max=2.8e-01, ║∇J coils║=5.3e-02, C-C-Sep=0.19 J_length=1.9e-07, J_CC=0.0e+00, J_CURVATURE=1.2e-05, J_MSC=9.0e-03, J_ALS=9.1e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.9, 3.0])=19.5, curvature=[1.0, 1.0, 4.2, 3.9], mean squared curvature=[0.9, 0.8, 7.9, 8.0], coils dofs=6.913844278073293, 6.913375723411929, 6.9171610417392, -6.91768974756719, -0.009107293450366826, -0.0027613540679308065
fun_coils#21 - J=2.6e-03, Jf=1.1e-03, ⟨B·n⟩=4.3e-02, B·n max=2.4e-01, ║∇J coils║=7.2e-01, C-C-Sep=0.18 J_length=2.0e-07, J_CC=0.0e+00, J_CURVATURE=1.4e-03, J_MSC=2.2e-02, J_ALS=1.0e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 6.8, 2.9, 3.0])=19.6, curvature=[1.0, 1.0, 5.7, 5.8], mean squared curvature=[0.9, 0.8, 8.7, 8.2], coils dofs=6.913755922091923, 6.9132415060505945, 6.917226888822946, -6.917851213139772, -0.010371167399338256, -0.0033188007687034744
