
fun_coils#118 - J=1.4e-04, Jf=1.4e-04, ⟨B·n⟩=1.3e-02, B·n max=4.8e-02, ║∇J coils║=4.0e-03, C-C-Sep=0.30 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=7.1e-08, J_MSC=1.9e-02, J_ALS=1.5e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.9, 6.9, 3.5, 3.3])=20.6, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.6, 8.1], coils dofs=6.907537181659944, 6.908557797757465, 6.921715915851428, -6.925008276839079, -0.013376349206917201, -0.008591204293018509
fun_coils#119 - J=1.4e-04, Jf=1.4e-04, ⟨B·n⟩=1.3e-02, B·n max=4.5e-02, ║∇J coils║=7.7e-03, C-C-Sep=0.30 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=2.4e-07, J_MSC=2.1e-02, J_ALS=1.5e-09, J_LENGTH_PENALTY=8.4e-07 Coil lengths=sum([6.9, 6.9, 3.5, 3.3])=20.6, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.8, 8.0], coils dofs=6.907114394549233, 6.908187190490526, 6.922223969331821, -6.925345062068844, -0.013273877064568411, -0.00865299436166266
fun_coils#120 - J=1.4e-04, Jf=1.4e-04, ⟨B·n⟩=1.3e-02, B·n max=4.6e-02, ║∇J coils║=4.8e-03, C-C-Sep=0.30 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.0e-02, J_ALS=1.5e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.9, 6.9, 3.5, 3.3])=20.6, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.7, 8.0], coils dofs=6.907173097301501, 6.9082306633889985, 6.922157590246562, -6.925304463262431, -0.013266229360025614, -0.008650517813237675
fun_coils#121 - J=1.4e-04, Jf=1.4e-04, ⟨B·n⟩=1.3e-02, B·n max=4.6e-02, ║∇J coils║=3.7e-03, C-C-Sep=0.30 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=5.2e-09, J_MSC=2.0e-02, J_ALS=1.5e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.9, 6.9, 3.5, 3.3])=20.6, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.7, 8.0], coils dofs=6.907079220919833, 6.90814569613221, 6.922272668436474, -6.925379270612577, -0.013253300453838088, -0.008664396360531037
fun_coils#122 - J=1.4e-04, Jf=1.4e-04, ⟨B·n⟩=1.3e-02, B·n max=4.9e-02, ║∇J coils║=3.2e-02, C-C-Sep=0.30 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=6.6e-06, J_MSC=2.2e-02, J_ALS=1.5e-09, J_LENGTH_PENALTY=1.7e-07 Coil lengths=sum([6.9, 6.9, 3.5, 3.3])=20.6, curvature=[1.0, 1.1, 4.0, 4.2], mean squared curvature=[0.8, 0.9, 8.8, 8.0], coils dofs=6.906686994533611, 6.907783984988122, 6.92273848116326, -6.925715505095022, -0.013237959828214388, -0.00875729447442281
fun_coils#123 - J=1.4e-04, Jf=1.4e-04, ⟨B·n⟩=1.3e-02, B·n max=4.7e-02, ║∇J coils║=8.4e-03, C-C-Sep=0.30 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=4.3e-07, J_MSC=2.1e-02, J_ALS=1.5e-09, J_LENGTH_PENALTY=1.1e-09 Coil lengths=sum([6.9, 6.9, 3.5, 3.3])=20.6, curvature=[1.0, 1.1, 4.0, 4.1], mean squared curvature=[0.8, 0.9, 8.8, 8.0], coils dofs=6.906972428987262, 6.908047212619967, 6.922399495807239, -6.92547081756464, -0.013249123643927416, -0.008689689837622768
fun_coils#124 - J=1.4e-04, Jf=1.4e-04, ⟨B·n⟩=1.3e-02, B·n max=5.0e-02, ║∇J coils║=6.0e-03, C-C-Sep=0.30 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=3.3e-08, J_MSC=2.0e-02, J_ALS=1.5e-09, J_LENGTH_PENALTY=1.1e-07 Coil lengths=sum([6.9, 6.9, 3.5, 3.3])=20.6, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.7, 8.0], coils dofs=6.906837130254691, 6.907918410295306, 6.922535531999261, -6.925615756311317, -0.013285791096962924, -0.008772994802921997
fun_coils#125 - J=1.4e-04, Jf=1.3e-04, ⟨B·n⟩=1.3e-02, B·n max=5.0e-02, ║∇J coils║=4.6e-03, C-C-Sep=0.30 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=9.1e-08, J_MSC=2.0e-02, J_ALS=1.5e-09, J_LENGTH_PENALTY=2.0e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.3])=20.6, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.7, 8.1], coils dofs=6.906779924061242, 6.907859179786498, 6.922600763856743, -6.92567660488, -0.013284685461304067, -0.008797231642966714
fun_coils#126 - J=1.3e-04, Jf=1.3e-04, ⟨B·n⟩=1.3e-02, B·n max=4.9e-02, ║∇J coils║=5.3e-03, C-C-Sep=0.30 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=2.4e-07, J_MSC=2.0e-02, J_ALS=1.5e-09, J_LENGTH_PENALTY=3.7e-13 Coil lengths=sum([6.9, 6.9, 3.5, 3.3])=20.6, curvature=[1.0, 1.1, 3.9, 4.1], mean squared curvature=[0.8, 0.9, 8.7, 8.1], coils dofs=6.906585873886577, 6.907658629169483, 6.922810932049276, -6.925893237230772, -0.013328301839178863, -0.008903021314786382
fun_coils#127 - J=1.3e-04, Jf=1.3e-04, ⟨B·n⟩=1.3e-02, B·n max=5.0e-02, ║∇J coils║=6.3e-03, C-C-Sep=0.30 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=4.9e-07, J_MSC=2.0e-02, J_ALS=1.6e-09, J_LENGTH_PENALTY=1.4e-11 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.6, curvature=[1.0, 1.1, 3.9, 4.1], mean squared curvature=[0.8, 0.9, 8.6, 8.1], coils dofs=6.906480455541705, 6.907549376924407, 6.922922644635736, -6.926014898539202, -0.013366704743227539, -0.008964561746560722
fun_coils#128 - J=1.3e-04, Jf=1.3e-04, ⟨B·n⟩=1.3e-02, B·n max=5.1e-02, ║∇J coils║=8.0e-03, C-C-Sep=0.30 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=1.9e-02, J_ALS=1.6e-09, J_LENGTH_PENALTY=1.1e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.6, curvature=[1.0, 1.1, 4.0, 4.1], mean squared curvature=[0.8, 0.9, 8.6, 8.2], coils dofs=6.90635478700271, 6.907419774675864, 6.923050343721158, -6.926167892851338, -0.013414512035622711, -0.00904261887564578
fun_coils#129 - J=1.3e-04, Jf=1.3e-04, ⟨B·n⟩=1.3e-02, B·n max=5.0e-02, ║∇J coils║=3.3e-03, C-C-Sep=0.30 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=2.4e-07, J_MSC=1.9e-02, J_ALS=1.5e-09, J_LENGTH_PENALTY=6.7e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.6, curvature=[1.0, 1.1, 3.9, 4.0], mean squared curvature=[0.8, 0.9, 8.6, 8.1], coils dofs=6.906390919176439, 6.907459609799806, 6.923004965098233, -6.926134576163414, -0.01338882726123257, -0.009018412230532732
fun_coils#130 - J=1.3e-04, Jf=1.3e-04, ⟨B·n⟩=1.3e-02, B·n max=5.2e-02, ║∇J coils║=2.2e-03, C-C-Sep=0.30 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=2.5e-07, J_MSC=1.9e-02, J_ALS=1.6e-09, J_LENGTH_PENALTY=7.9e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.6, 8.1], coils dofs=6.906298134123795, 6.907373845422982, 6.923114220733461, -6.926216573429389, -0.013376277283326033, -0.009035624169985677
fun_coils#131 - J=1.3e-04, Jf=1.3e-04, ⟨B·n⟩=1.2e-02, B·n max=5.4e-02, ║∇J coils║=2.0e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=3.3e-07, J_MSC=2.0e-02, J_ALS=1.6e-09, J_LENGTH_PENALTY=5.3e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.7, 8.1], coils dofs=6.906140670946506, 6.90722571220548, 6.923304675499659, -6.9263540782628645, -0.0133758961571922, -0.009066034278860888
fun_coils#132 - J=1.3e-04, Jf=1.3e-04, ⟨B·n⟩=1.2e-02, B·n max=5.5e-02, ║∇J coils║=4.1e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=6.8e-07, J_MSC=2.1e-02, J_ALS=1.6e-09, J_LENGTH_PENALTY=6.0e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.7, 8.1], coils dofs=6.905906605981744, 6.9070042050684455, 6.923584860675725, -6.92656439672101, -0.013395602572982526, -0.009125792980833481
fun_coils#133 - J=1.3e-04, Jf=1.3e-04, ⟨B·n⟩=1.2e-02, B·n max=5.6e-02, ║∇J coils║=3.3e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=1.4e-07, J_MSC=2.0e-02, J_ALS=1.6e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.7, 8.1], coils dofs=6.9058344454507115, 6.906933381274656, 6.92367815369525, -6.926627410325388, -0.013457120586358255, -0.009149674192249442
fun_coils#134 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.6e-02, ║∇J coils║=2.1e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=1.0e-07, J_MSC=2.0e-02, J_ALS=1.6e-09, J_LENGTH_PENALTY=3.1e-09 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.6, 8.1], coils dofs=6.905639921354931, 6.906742888091318, 6.923887044773476, -6.926842270675539, -0.013552732430410669, -0.009256294662677198
fun_coils#135 - J=1.3e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.7e-02, ║∇J coils║=2.3e-02, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=8.3e-06, J_MSC=2.0e-02, J_ALS=1.6e-09, J_LENGTH_PENALTY=1.1e-07 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.2, 4.1], mean squared curvature=[0.8, 0.9, 8.6, 8.2], coils dofs=6.905286679911908, 6.906404291055576, 6.924266530149656, -6.927219753619193, -0.01364284793619787, -0.009427901101228597
fun_coils#136 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.6e-02, ║∇J coils║=2.8e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=2.3e-07, J_MSC=1.9e-02, J_ALS=1.6e-09, J_LENGTH_PENALTY=7.9e-09 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.6, 8.1], coils dofs=6.9055860936524835, 6.906691291935631, 6.923944871583767, -6.926899792350788, -0.013566464427964333, -0.009282444426514129
fun_coils#137 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.5e-02, ║∇J coils║=3.4e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=4.0e-07, J_MSC=1.9e-02, J_ALS=1.6e-09, J_LENGTH_PENALTY=5.8e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.6, 8.1], coils dofs=6.905538460112221, 6.906644092774592, 6.923960489292426, -6.926994891041819, -0.013582015936997784, -0.009355930723381265
fun_coils#138 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.5e-02, ║∇J coils║=3.1e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=2.7e-07, J_MSC=1.8e-02, J_ALS=1.6e-09, J_LENGTH_PENALTY=5.1e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.5, 8.1], coils dofs=6.905479316280194, 6.90658914996835, 6.924008785712455, -6.927074446747368, -0.013581979812445763, -0.00939455627925488
fun_coils#139 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.6e-02, ║∇J coils║=2.0e-02, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=2.6e-06, J_MSC=1.7e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=5.7e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.2], mean squared curvature=[0.8, 0.9, 8.4, 8.2], coils dofs=6.905016077349554, 6.90616308636367, 6.9244278119096725, -6.9276452969634414, -0.013587900378983447, -0.009635959491713303
fun_coils#140 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.5e-02, ║∇J coils║=3.4e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=2.0e-07, J_MSC=1.8e-02, J_ALS=1.6e-09, J_LENGTH_PENALTY=4.6e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.5, 8.1], coils dofs=6.905393987602273, 6.9065106689908395, 6.924085970398495, -6.927179597439606, -0.013583070381657002, -0.009439022785851105
fun_coils#141 - J=1.4e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.6e-02, ║∇J coils║=7.5e-02, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=1.8e-05, J_MSC=1.6e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=5.8e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.8, curvature=[1.0, 1.1, 4.0, 4.5], mean squared curvature=[0.8, 0.9, 8.4, 8.2], coils dofs=6.904828978599187, 6.90599998374028, 6.924601239699179, -6.92786127695208, -0.013560850866621059, -0.009705119163926378
fun_coils#142 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.6e-02, ║∇J coils║=2.1e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=6.6e-08, J_MSC=1.7e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=3.8e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.5, 8.1], coils dofs=6.905220390859265, 6.906353763002236, 6.924244284818057, -6.927389040727225, -0.013576243525057567, -0.009520779827434165
fun_coils#143 - J=2.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.6e-02, ║∇J coils║=2.0e-01, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=1.0e-04, J_MSC=1.7e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=1.9e-07 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.8, curvature=[1.0, 1.1, 4.0, 5.0], mean squared curvature=[0.8, 0.9, 8.3, 8.3], coils dofs=6.904561508741357, 6.9057510799844195, 6.924870289719128, -6.928161418936154, -0.013593467271589985, -0.009829090535230366
fun_coils#144 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.6e-02, ║∇J coils║=2.2e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=7.2e-08, J_MSC=1.7e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=4.0e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.4, 8.1], coils dofs=6.905175102516012, 6.906312337511027, 6.924287313341774, -6.927442130238225, -0.013577427401389687, -0.009541971601779662
fun_coils#145 - J=1.5e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.6e-02, ║∇J coils║=9.8e-02, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=2.9e-05, J_MSC=1.7e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=1.0e-07 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.8, curvature=[1.0, 1.1, 4.0, 4.6], mean squared curvature=[0.8, 0.9, 8.4, 8.2], coils dofs=6.9047701306247395, 6.905941907543466, 6.924672077750828, -6.927916860778858, -0.013588013715721884, -0.009731470097857126
fun_coils#146 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.6e-02, ║∇J coils║=2.5e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=8.4e-08, J_MSC=1.7e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=4.3e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.4, 8.2], coils dofs=6.905127014882957, 6.906268351494376, 6.924333001474985, -6.927498501232188, -0.013578684453570309, -0.0095644732477958
fun_coils#147 - J=3.1e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.6e-02, ║∇J coils║=2.9e-01, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=1.9e-04, J_MSC=1.7e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=1.7e-07 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.8, curvature=[1.0, 1.1, 4.0, 5.3], mean squared curvature=[0.8, 0.9, 8.3, 8.3], coils dofs=6.9044119388104415, 6.905619777932924, 6.925012590234294, -6.9283309455610205, -0.013576624485397789, -0.009886449022228044
fun_coils#148 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.6e-02, ║∇J coils║=2.5e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=8.2e-08, J_MSC=1.7e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=4.3e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.4, 8.2], coils dofs=6.905114447130999, 6.906256952551018, 6.924344945523023, -6.927513131778848, -0.0135786482487943, -0.009570132102601932
fun_coils#149 - J=1.8e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.6e-02, ║∇J coils║=1.5e-01, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=6.4e-05, J_MSC=1.7e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=8.9e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.8, curvature=[1.0, 1.1, 4.0, 4.8], mean squared curvature=[0.8, 0.9, 8.3, 8.2], coils dofs=6.904650791639431, 6.9058364173030755, 6.924785591032462, -6.928052888875082, -0.013577312564952603, -0.009778901269555166
fun_coils#150 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.6e-02, ║∇J coils║=3.3e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=1.1e-07, J_MSC=1.7e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=4.3e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.4, 8.2], coils dofs=6.905100063930994, 6.906243906997389, 6.924358614923276, -6.927529875750203, -0.013578606814133894, -0.009576608395318842
fun_coils#151 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.6e-02, ║∇J coils║=2.1e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=3.8e-08, J_MSC=1.6e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=3.2e-09 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.7, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.4, 8.1], coils dofs=6.905019912254105, 6.9061722004239705, 6.9244269874480056, -6.9276329064502, -0.013598632302766674, -0.00962741212010138
fun_coils#152 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.5e-02, ║∇J coils║=2.1e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=1.7e-08, J_MSC=1.4e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=7.8e-09 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.8, curvature=[1.0, 1.1, 4.0, 4.0], mean squared curvature=[0.8, 0.9, 8.3, 8.1], coils dofs=6.904821137668656, 6.905994157224827, 6.924589114048242, -6.927896958284655, -0.013650687499806332, -0.009766222675238351
fun_coils#153 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.4e-02, ║∇J coils║=1.9e-02, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=2.2e-06, J_MSC=1.2e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=2.8e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.8, curvature=[1.0, 1.1, 3.9, 4.2], mean squared curvature=[0.8, 0.9, 8.1, 8.1], coils dofs=6.90457753908394, 6.905776426566594, 6.9247830977378815, -6.928225367550609, -0.01369472786170091, -0.009932483498237402
fun_coils#154 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.5e-02, ║∇J coils║=2.2e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=1.5e-08, J_MSC=1.3e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=1.1e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.8, curvature=[1.0, 1.1, 3.9, 4.0], mean squared curvature=[0.8, 0.9, 8.2, 8.1], coils dofs=6.904748871722411, 6.905929565256601, 6.924646661241729, -6.92799438416415, -0.013663752511776699, -0.009815545604234376
fun_coils#155 - J=1.4e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.2e-02, ║∇J coils║=5.7e-02, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=1.9e-05, J_MSC=1.1e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=1.4e-07 Coil lengths=sum([6.9, 6.9, 3.5, 3.5])=20.8, curvature=[1.0, 1.1, 3.9, 4.5], mean squared curvature=[0.8, 0.9, 8.0, 8.1], coils dofs=6.90415256793561, 6.905394387788794, 6.925127715473094, -6.928784962840792, -0.013740338755246604, -0.010192342080386935
fun_coils#156 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.5e-02, ║∇J coils║=5.4e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=1.3e-07, J_MSC=1.3e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=1.4e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.8, curvature=[1.0, 1.1, 3.9, 4.0], mean squared curvature=[0.8, 0.9, 8.2, 8.1], coils dofs=6.904697567032851, 6.905883519743471, 6.924688050108524, -6.928062403845519, -0.013670341826707642, -0.009847964359010024
fun_coils#157 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.4e-02, ║∇J coils║=7.1e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=7.4e-07, J_MSC=1.2e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=6.5e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.8, curvature=[1.0, 1.1, 3.9, 4.1], mean squared curvature=[0.8, 0.9, 8.1, 8.1], coils dofs=6.904460531204028, 6.905676688259887, 6.9248685180259635, -6.928378762671733, -0.013648572065352735, -0.009980685397702516
fun_coils#158 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.4e-02, ║∇J coils║=3.5e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=8.3e-08, J_MSC=1.2e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=2.8e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.8, curvature=[1.0, 1.1, 3.9, 4.0], mean squared curvature=[0.8, 0.9, 8.2, 8.0], coils dofs=6.904415345809335, 6.905632145939709, 6.9249076535916885, -6.928437392113812, -0.013651196518065067, -0.009994330225033224
fun_coils#159 - J=1.2e-04, Jf=1.2e-04, ⟨B·n⟩=1.2e-02, B·n max=5.4e-02, ║∇J coils║=2.7e-03, C-C-Sep=0.29 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=1.3e-07, J_MSC=1.2e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=1.8e-08 Coil lengths=sum([6.9, 6.9, 3.5, 3.4])=20.8, curvature=[1.0, 1.1, 3.9, 4.0], mean squared curvature=[0.8, 0.9, 8.2, 8.0], coils dofs=6.904288271506294, 6.905518286594127, 6.925017928004789, -6.928593319142075, -0.01364419552863155, -0.01005247958150682
fun_coils#160 - J=1.2e-04, Jf=1.1e-04, ⟨B·n⟩=1.2e-02, B·n max=5.2e-02, ║∇J coils║=7.3e-03, C-C-Sep=0.30 J_length=2.1e-07, J_CC=0.0e+00, J_CURVATURE=6.2e-07, J_MSC=1.2e-02, J_ALS=1.7e-09, J_LENGTH_PENALTY=2.6e-09 Coil lengths=sum([7.0, 6.9, 3.5, 3.5])=20.8, curvature=[1.0, 1.1, 3.9, 4.1], mean squared curvature=[0.8, 0.9, 8.2, 8.0], coils dofs=6.903980723015717, 6.905242371586658, 6.925283228769089, -6.928973965564089, -0.013645021274172312, -0.01020175478302519
