index,Nfeval,J,Jf,J_length,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
0,1,0.612948961545082,0.49405149798014264,1.5079644737231008e-07,15.079644737231007,0.00034466642405898274,0.11855264634443297,0.0,0.0,4.221638438096821e-40,6.666666666666669,11.111111111111114,0.27730204185849844,0.9630346315766917,0.07841371226364838
1,2,0.09633389174917152,0.09553672377846681,1.1338287515133365e-07,11.338287515133365,0.0005471973586287312,0.0,0.00024985722920081737,0.0,5.134123512784767e-09,23.162826702674806,40.56670355324838,0.10202491973164737,0.9670130305398036,0.04306516253175624
2,3,0.17051239744968893,0.08029917286235354,1.3108816148456263e-07,13.108816148456263,0.0026310797504308587,0.018179395898376537,0.06940261785036651,0.9814633775727711,4.560556003477138e-09,121.13926965824957,125.3993843531359,0.09297759216564708,6.835023064843851,0.003961655148279486
3,4,0.05119156227103559,0.03397016439801779,1.1659527380280004e-07,11.659527380280004,0.000671199491450899,0.0,0.016550081786293105,0.10576375805288499,4.8333439640425835e-09,64.35568821524593,66.35092238355453,0.0617010682246657,3.5072752656944415,0.04253489379088062
4,5,0.056295799955832386,0.05414116682939246,1.1787648231853634e-07,11.787648231853634,0.0005825875830758385,0.0,0.0015719276668817632,0.0,3.695460515140152e-09,26.24797392796992,40.83319150239481,0.07743006176189828,0.7926813838103103,0.04493268868968323
5,6,0.0393854386776434,0.0372506001556862,1.168004474061546e-07,11.68004474061546,0.0006434756843476977,0.0,0.0014912460371620923,1.2081895188817048e-06,4.33766806464407e-09,29.001484997796553,48.02812274175188,0.06561009096097409,0.5958064763673891,0.042962741386364384
6,7,0.03299313345040843,0.029750754689360087,1.1709916730055628e-07,11.709916730055628,0.0006887204523963089,0.0,0.0025535412094847337,0.001457974209818075,4.773989600397421e-09,32.17808573680376,54.320238823357144,0.05811127878474005,0.6903274221936095,0.042100470489195914
7,8,0.13350727770432796,0.07412282215059804,1.2595739828258171e-07,12.595739828258171,0.0012559448337256928,0.00866062900508316,0.04946775575752277,0.5316839146788668,7.1639030500430094e-09,112.23606397514777,114.94759376000795,0.07467336128564542,6.406321533695723,0.03146844161776906
8,9,0.020386223329153533,0.01906372378930684,1.1830085224225901e-07,11.8300852242259,0.0007642367123929764,9.598020840960073e-06,0.0005485465057605155,0.0,5.539745538345635e-09,26.08411609336825,51.677312625452736,0.04448974169823716,0.3485593140901168,0.04335700674959049
9,10,0.020188241067380364,0.015009570640118096,1.2233941483212248e-07,12.233941483212249,0.0009594660684087156,0.0032781951461573096,0.00094088687328141,0.0011174637024022197,6.039321054681841e-09,26.745148037137135,58.133907654000055,0.03536117981075247,0.5016516974292563,0.037851182490830686
10,11,0.0163928158946608,0.014540234714979443,1.1993628135145092e-07,11.993628135145093,0.0008393015017292917,0.0005713008181326447,0.00044185892353806796,3.377738339139052e-05,5.76373502189362e-09,24.546236164096726,54.26935439528977,0.03759586802076177,0.28454419954039195,0.04086438843847959
11,12,0.012545631051001375,0.00999422811895655,1.202512575826819e-07,12.025125758268189,0.0006555208906665825,0.0007534460588954871,0.0011423157312251714,1.6706426381016232e-06,5.726846622635065e-09,29.082784962416053,51.39555298823777,0.03111183849268074,0.4995242916895059,0.04204198691697242
12,13,0.010681098352485045,0.009428345121522717,1.1987311941524145e-07,11.987311941524146,0.0004418254181135448,0.00046687551938995434,0.0003439324203394128,0.0,5.567848764415641e-09,25.71539325163102,48.947291280744324,0.03034862461586109,0.21736400040656853,0.051442577347020825
13,14,0.009865625315336395,0.009243157248714195,1.1927385039931616e-07,11.927385039931616,0.000357397730881457,0.00017939509243287524,8.555596945747096e-05,0.0,5.519614466894121e-09,22.661460375351837,47.25097022122429,0.029752582644369908,0.1226270887276003,0.05420693436227727
14,15,0.008813239516093281,0.008450187685759704,1.1900706948421721e-07,11.900706948421721,0.0002240787019281351,9.661006100012353e-05,4.224406033583529e-05,0.0,5.52319852613319e-09,21.824358027101937,47.62377077824857,0.02866787705995174,0.10900603654032454,0.06020154079096032
15,16,0.007345966969251282,0.005392198539122336,1.1917577475828556e-07,11.917577475828555,2.5104652149947504e-05,0.00013108805867055308,0.001797456543533687,0.00027104880837745425,5.3964326408525105e-09,36.333742354917554,57.28014903249185,0.02337164532706082,0.6296098631228616,0.07864375063286141
16,17,0.005327547909111134,0.005064704095659138,1.1884876645324548e-07,11.884876645324548,1.4219179120472573e-05,7.332303957541679e-05,0.00017518274598965226,0.0,5.297673648001785e-09,23.200914445697745,50.33069142477226,0.02268291503284907,0.1341357631568311,0.08534096117084779
17,18,0.0049407958014931926,0.004707941436935361,1.1892447138171201e-07,11.892447138171201,1.9873243168614674e-05,8.453548634544515e-05,0.00012832671057238972,0.0,5.245318600363889e-09,22.992839539667592,50.64610150626553,0.021995437871007315,0.11945766026946422,0.08071554173280768
18,19,0.003798338900102021,0.0035498251197926714,1.1896198835072044e-07,11.896198835072044,5.0336040505949954e-05,6.107434329167588e-05,0.00013698443452337333,2.764548665554226e-06,5.06685542764571e-09,23.35085701568001,50.16677734965169,0.01915309595121332,0.1246339391672088,0.07020789148904687
19,20,0.0030386356298988757,0.0027556674464983147,1.1911188172388012e-07,11.911188172388012,4.1976897252025044e-05,0.00011353969180252339,0.0001273324824642889,0.0,5.013384394734071e-09,23.48205030621217,49.86694458533002,0.016597454335587104,0.11177090008341231,0.07340236640726411
20,21,0.002507096652359638,0.002335401889139336,1.1898826306839763e-07,11.898826306839762,3.191149849587665e-05,0.00011667677868845548,2.2987497772901974e-05,0.0,4.979022940951609e-09,21.530538787117397,49.713365537401145,0.014998669512771453,0.06325558666032108,0.07907694337381385
21,22,0.0021122015299042483,0.0019394597333948324,1.1900461793191895e-07,11.900461793191894,2.693132265748899e-05,0.00012090346787409966,2.4788001359895473e-05,0.0,4.919322832670206e-09,21.749218101605976,50.52315014547141,0.013577351684962193,0.05513342502593695,0.08106322948092835
22,23,0.002142878786973871,0.0014714982235920107,1.181477537153379e-07,11.81477537153379,2.1916012646997566e-05,3.408788979666066e-05,0.0006152585131844868,4.4385876768546e-06,4.552629688675075e-09,29.722986877299128,53.41217710310165,0.011408360148789128,0.3131660900924297,0.07911763930652652
23,24,0.0017481540587670204,0.0015999900659167928,1.1846321391294214e-07,11.846321391294214,1.980665834719035e-05,4.3944694740274205e-05,8.429417654885015e-05,0.0,4.7243121828979474e-09,24.024232680703346,50.72884590635674,0.012040112832403863,0.10526113888439564,0.08003422493866785
24,25,0.0012820839621212228,0.001223828953386577,1.1811388211025459e-07,11.81138821102546,1.2009063513196992e-05,2.8047449315615504e-05,1.8080382023722894e-05,0.0,4.505890241885513e-09,20.962068782350876,49.77847549781987,0.01032656293973596,0.04685394232988446,0.0861080863316997
25,26,0.0010531879445897965,0.000953175271996895,1.1816100750270703e-07,11.816100750270703,1.1767834300749593e-05,4.495726275743583e-05,4.3169414527213376e-05,0.0,4.3945469774762865e-09,22.068317054568414,51.16660931739494,0.008970486042778909,0.05668663693875996,0.08686145402980411
26,27,0.0008071775718952718,0.0007278431413079932,1.1768743278828289e-07,11.768743278828289,1.731460892148643e-05,3.091400046848998e-06,5.881073418615479e-05,0.0,4.2006832878756984e-09,22.47000890900551,50.253281319629,0.008086567857916309,0.055974347141506564,0.08440613760556948
27,28,0.0006344251490293299,0.000616761166487108,1.1739112097725629e-07,11.739112097725629,1.2576514392028624e-05,0.0,4.970077029215989e-06,0.0,4.087352220780343e-09,20.78735171580282,49.47965507902633,0.007425739267566966,0.027663193420397646,0.08424695772341259
28,29,0.0005360664844272952,0.0005181019557664214,1.1748038744763313e-07,11.748038744763313,6.421065184589726e-06,3.786857512135037e-06,7.63912557670144e-06,0.0,4.036886441127264e-09,20.883129456071373,50.00304358578072,0.006833606736609855,0.021993315346876305,0.0874998037689139
29,30,0.0004442491787483802,0.00043194549930717014,1.17399844696742e-07,11.7399844696742,2.1228256026004826e-06,4.2540515136129285e-06,5.809402480299974e-06,0.0,3.972987790064182e-09,20.90863687145817,50.515963273578585,0.006301396055606212,0.02633219125477889,0.09212020758529417
