ln,lt,growth_rate,omega,ky,weighted_growth_rate
2.0,3.5,0.1784445594965692,0.4635069425358951,4.0,0.09899154390750732
3.0,3.5,0.14981899242982652,0.3003841849967228,4.0,0.017201371316655292
2.5,3.5,0.17357052909538156,0.38378274310056737,4.0,0.05300523853878038
3.5,3.5,0.11116333261472977,0.20948126955080207,4.0,-0.005786463746999928
4.0,3.5,0.06143720834907318,0.09951157942934759,4.0,-0.011427319704142846
4.5,3.5,0.011758982759326984,0.012842370199047852,4.0,-0.011787467270340076
5.0,3.5,-0.004682613020937852,0.006315082316009195,2.867484657747546,-0.011341502900174341
5.5,3.5,-0.004407561514167804,-0.03878205465041997,1.4736125994561549,-0.010878951768485693
6.0,3.5,-0.004368642252510422,-0.5179633868942611,0.2,-0.011527749647028919
0.5,4.0,0.19851846735535567,0.33150644145451685,1.0563903801010006,0.20962693543408378
1.0,4.0,0.2025774950709885,0.22429030698472685,1.0563903801010006,0.19545106678784674
1.5,4.0,0.21157939754557456,0.6032445869244257,4.0,0.1836160465403766
2.0,4.0,0.22388538705665678,0.5241667586074286,4.0,0.14460464443260745
2.5,4.0,0.22589197824324567,0.4455932491154578,4.0,0.09004734681193736
3.0,4.0,0.21333646631311998,0.3662173549863659,4.0,0.04624255855176394
3.5,4.0,0.18837358783887292,0.28422898736833985,4.0,0.008495956186544338
4.0,4.0,0.1497427434941061,0.19691771076112086,4.0,-0.005020092641264101
5.0,4.0,0.03934260991159037,0.00848426559290078,4.0,-0.010525249633501882
4.5,4.0,0.09723274065031091,0.09824653321311917,4.0,-0.00892737763725446
5.5,4.0,-0.00443088961415975,-0.026797691572454197,2.867484657747546,-0.01107337402514406
6.0,4.0,-0.004321949264613632,-0.5178487245808568,0.2,-0.011537759592252401
0.5,4.5,0.2218049285356577,0.3625146552791095,1.0563903801010006,0.23655602501653025
1.0,4.5,0.22732665612454123,0.2560595814198817,1.0563903801010006,0.2275892846782274
1.5,4.5,0.23863077283266387,0.6670275041276739,4.0,0.21133406777738709
2.0,4.5,0.2592090397114129,0.5845563109231847,4.0,0.1859520286690079
2.5,4.5,0.2680882547196921,0.5052217391265362,4.0,0.1294177601946019
3.5,4.5,0.24862362403808358,0.3476032340939737,4.0,0.02954119730757167
3.0,4.5,0.26374158512013635,0.42666664516514313,4.0,0.08518535717207251
4.0,4.5,0.22196835272970825,0.26664865476877414,4.0,0.008912463452460469
4.5,4.5,0.18225064218528494,0.18187251453082365,4.0,-0.001624504111418065
5.5,4.5,0.05863886864103909,0.0024496131355115566,4.0,-0.009543386292825085
5.0,4.5,0.12780415584423013,0.08997038737648089,4.0,-0.007175006174865078
6.0,4.5,-0.003937229965023971,-0.517496793980256,0.2,-0.011342161381985228
0.5,5.0,0.24317560668298535,0.3926726119217974,1.0563903801010006,0.26013011424601046
1.5,5.0,0.26366554837990513,0.7340589891263859,4.0,0.23840475574440084
1.0,5.0,0.25094322981076816,0.28655942112256977,1.0563903801010006,0.25727399805233964
2.0,5.0,0.28844833544061343,0.6462844861981115,4.0,0.22284523087312622
2.5,5.0,0.3035007959971141,0.5645524956871376,4.0,0.16903939037799798
3.0,5.0,0.30570365343048256,0.48530320706162894,4.0,0.12316158956766028
3.5,5.0,0.2981176382567876,0.4068455122630015,4.0,0.059062251126861344
4.0,5.0,0.2804874649605199,0.32809160835847223,4.0,0.028819518785066157
4.5,5.0,0.2518881613295225,0.24796730137587927,4.0,0.009087883428176867
5.0,5.0,0.2106196482243592,0.16509728834807713,4.0,0.0003843468262189426
5.5,5.0,0.15409895491621903,0.07771748417570916,4.0,-0.005097589205221929
6.0,5.0,0.07712093727304145,-0.0058785087180722355,4.0,-0.009327189418809117
0.5,5.5,0.2629713769859759,0.42218928476545203,1.0563903801010006,0.2821068292273243
1.0,5.5,0.2733309916295688,0.9025084291750328,4.0,0.28635237208170006
2.0,5.5,0.31543608587728844,0.7096623881885176,4.0,0.2537526783635483
1.5,5.5,0.2886040366335109,0.8020733262558309,4.0,0.26820861543717944
2.5,5.5,0.33431656520524483,0.6245570982243768,4.0,0.21153824098413798
3.0,5.5,0.3417300393544095,0.5435610069298843,4.0,0.15938626076624401
3.5,5.5,0.3401484045188675,0.46453341260929676,4.0,0.10092300169347079
4.0,5.5,0.32956462971564754,0.3862390315115491,4.0,0.05660290315510349
4.5,5.5,0.3094521471805924,0.3078010605690075,4.0,0.02573792924373537
5.0,5.5,0.2787602095380152,0.2283855966954487,4.0,0.00970130908691752
