index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep,Jquasisymmetry,Jiota,Jmercier,Jaspect,Jwell
10,11,0.0635666640292118,8.368287763670426e-07,10.557426418664306,0.0,0.0,0.0,0.0,9.796992044111561e-09,12.385829271390223,14.15982689102308,0.0023282165953375563,7.415013702395085e-05,0.15001720942472352,0.020748799782981588,1.703787038073675e-05,0.0,0.0003161971218652061,
11,12,0.06352195300889744,8.358841101604529e-07,10.557430770748406,0.0,0.0,0.0,0.0,9.7969506376795e-09,12.385377715337054,14.159504213779096,0.0023282640818658882,7.933083646429057e-05,0.15001151260483783,0.020740724443705304,1.7237175985665803e-05,0.0,0.00032480376542887575,
12,13,0.06350165342032016,8.355833917131694e-07,10.557434643233854,0.0,0.0,0.0,0.0,9.796911702850851e-09,12.384871559903905,14.159124123210411,0.002327912241745263,7.75737154756147e-05,0.15000619311330207,0.02072677705327456,1.736115920878082e-05,0.0,0.0003322496041569146,
13,14,0.06346547084752154,8.347590565216775e-07,10.557438039430881,0.0,0.0,0.0,0.0,9.796887963873233e-09,12.384792912904238,14.159119014563855,0.002326568178021102,8.251969476154719e-05,0.15000257464071345,0.020726784953363688,1.7417839994026375e-05,0.0,0.0003367102699400453,
14,15,0.06340772436229274,8.334064336405887e-07,10.55744584754472,1.679366558784415e-14,0.0,0.0,0.0,9.79683549018313e-09,12.384924803640732,14.159404607090803,0.0023235981032189864,6.673172334433287e-05,0.14999533211926525,0.020726844034323143,1.750050472640397e-05,0.0,0.0003457109844834822,
15,16,0.0632970603679343,8.309067017574368e-07,10.557457721593927,2.063446092748162e-13,0.0,0.0,0.0,9.796735418649821e-09,12.38452641438925,14.159388791924538,0.0023212484467533823,6.21999648831291e-05,0.14998363772229034,0.020723430236641333,1.7655846466398815e-05,0.0,0.0003618894905941548,
16,17,0.06296713438852619,8.230855224633375e-07,10.557505322766282,3.072497887015519e-12,0.0,0.0,0.0,9.796334837573908e-09,12.382933853377562,14.159339277854858,0.00231439144156688,6.16952204649099e-05,0.14993686157154737,0.020709971718581053,1.8260413394546667e-05,0.0,0.0004303120460596026,
17,18,0.06405919524156951,8.39399182052515e-07,10.55763854648343,1.492169853104115e-11,0.0,0.0,0.0,9.79526919186232e-09,12.381127866433948,14.160901331589614,0.0023381866733651144,0.0004589767244279382,0.14986147016206378,0.02081476863072381,1.903861847657592e-05,0.0,0.0005935717789344858,
18,19,0.06286909084800413,8.199794840461552e-07,10.557535056281981,4.9316043656429125e-12,0.0,0.0,0.0,9.796096753458865e-09,12.382461242772491,14.159684617816515,0.0023116461896029463,0.00011754420800755485,0.1499200093272407,0.020731153755085295,1.843764876929052e-05,0.0,0.0004645349850270159,
19,20,0.06272099300104374,8.164912990869495e-07,10.557570247254999,6.5106323480322e-12,0.0,0.0,0.0,9.795781350606007e-09,12.381505781385009,14.159329881125387,0.002305349002518606,0.00013924963151904553,0.14990809281826237,0.02071541747324898,1.883009582847989e-05,0.0,0.0005025950160149079,
