index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
32,33,1.1655428096995223e-07,1.0636891707201356e-07,10.799794629859564,0.0,0.0,0.0,0.0,1.018536389793867e-08,13.471202485722767,14.556581499328079,0.0009510881601007557,6.266934110720983e-06,0.1637443375906998
33,34,1.1654510157906761e-07,1.0635965883708159e-07,10.799827223597239,0.0,0.0,0.0,0.0,1.018544274198602e-08,13.476472936471726,14.561118549026217,0.000951182029174823,2.4044015781229814e-06,0.16374792352942263
34,35,1.1654226907641162e-07,1.0635678842771928e-07,10.79982768950551,0.0,0.0,0.0,0.0,1.0185480648692335e-08,13.477796937300194,14.56181860631946,0.0009511898569858544,2.9789572972232467e-06,0.16375039240433556
35,36,1.1653847066154948e-07,1.0635294983956147e-07,10.799832708665278,0.0,0.0,0.0,0.0,1.0185520821988005e-08,13.481026012013182,14.563262129086123,0.0009511945136381593,3.4011662587666113e-06,0.16375174547098278
36,37,1.1652596178999305e-07,1.0634031181177196e-07,10.799873125581751,0.0,0.0,0.0,0.0,1.0185649978221087e-08,13.497086080828144,14.57070503848038,0.0009511639714967777,3.431711454386489e-06,0.16375127717358126
37,38,1.165087291088657e-07,1.0632284829792282e-07,10.799962670151672,0.0,0.0,0.0,0.0,1.0185880810942878e-08,13.528871679865054,14.584221545663699,0.0009508737455468096,5.6786733887018786e-06,0.16374900161516026
38,39,1.1649168343980326e-07,1.0630543916499102e-07,10.800104771408753,0.0,0.0,0.0,0.0,1.0186244274812232e-08,13.576770540337876,14.605316292109201,0.0009509879344530456,4.251255427109458e-06,0.16373309119939425
39,40,1.1647920202224458e-07,1.0629282965558512e-07,10.800149142289946,0.0,0.0,0.0,0.0,1.0186372366659455e-08,13.591970709366317,14.610668247914406,0.0009509411028218893,2.476600369372782e-06,0.16372967206483693
40,41,1.1646674295007483e-07,1.0628018321244536e-07,10.800198141679461,0.0,0.0,0.0,0.0,1.0186559737629468e-08,13.609427841405939,14.61624973335517,0.0009510065482118679,3.1540775168748937e-06,0.16372380377446594
41,42,1.1645542055796017e-07,1.0626861372075632e-07,10.800241187202388,0.0,0.0,0.0,0.0,1.0186806837203853e-08,13.628930993898145,14.622400593337938,0.0009512283654649217,3.1801814682134076e-06,0.16371952371142337
