
fun_coils#24 - J=6.6e-04, Jf=6.6e-04, ⟨B·n⟩=1.8e-02, B·n max=7.5e-02, ║∇J coils║=1.2e-02, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=1.5e-06, J_MSC=0.0e+00, J_ALS=5.5e-10, J_LENGTH_PENALTY=2.1e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.0, 5.8], mean squared curvature=[0.8, 6.2], coils dofs=3.569425533176309, 3.6018047422220185, 3.2450455007469016e-17, -0.015756672297420844, 1.0939283356488274, -6.1288275625314445e-18
fun_coils#25 - J=6.5e-04, Jf=6.4e-04, ⟨B·n⟩=1.7e-02, B·n max=7.6e-02, ║∇J coils║=9.2e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=2.3e-09, J_MSC=0.0e+00, J_ALS=5.2e-10, J_LENGTH_PENALTY=3.5e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.0, 5.5], mean squared curvature=[0.8, 6.1], coils dofs=3.5696068285975375, 3.601666170776497, 3.370555996998445e-17, -0.01592350939986439, 1.0937866396895406, -6.1718440800699595e-18
fun_coils#26 - J=6.3e-04, Jf=6.3e-04, ⟨B·n⟩=1.7e-02, B·n max=7.4e-02, ║∇J coils║=5.2e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=4.9e-10, J_LENGTH_PENALTY=5.0e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.0, 5.4], mean squared curvature=[0.8, 6.0], coils dofs=3.5699064089126797, 3.6014121890753894, 3.43125900984024e-17, -0.01588658036597047, 1.093582627519118, -6.198546533527543e-18
fun_coils#27 - J=6.3e-04, Jf=6.2e-04, ⟨B·n⟩=1.7e-02, B·n max=7.4e-02, ║∇J coils║=2.7e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=4.7e-10, J_LENGTH_PENALTY=5.9e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.0, 5.3], mean squared curvature=[0.8, 6.0], coils dofs=3.5700097513506956, 3.601365992765281, 3.626363339249911e-17, -0.016093588093840785, 1.0935100970201668, -6.1840400758450596e-18
fun_coils#28 - J=6.3e-04, Jf=6.2e-04, ⟨B·n⟩=1.7e-02, B·n max=7.4e-02, ║∇J coils║=3.1e-03, C-C-Sep=0.23 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=4.6e-10, J_LENGTH_PENALTY=4.6e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.0, 5.3], mean squared curvature=[0.8, 6.0], coils dofs=3.5699965019404862, 3.6014238445309794, 3.8305605446293284e-17, -0.016292802474461292, 1.093521864346661, -6.2387623009252545e-18
fun_coils#29 - J=6.2e-04, Jf=6.2e-04, ⟨B·n⟩=1.7e-02, B·n max=7.5e-02, ║∇J coils║=4.0e-03, C-C-Sep=0.23 J_CC=0.0e+00, J_CURVATURE=1.5e-08, J_MSC=0.0e+00, J_ALS=4.5e-10, J_LENGTH_PENALTY=3.4e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.0, 5.5], mean squared curvature=[0.8, 6.0], coils dofs=3.5698899629714655, 3.6016166225721786, 4.14450848841081e-17, -0.016703339171225774, 1.0936081535100706, -6.364965918163303e-18
fun_coils#30 - J=6.2e-04, Jf=6.1e-04, ⟨B·n⟩=1.7e-02, B·n max=7.5e-02, ║∇J coils║=4.6e-03, C-C-Sep=0.23 J_CC=0.0e+00, J_CURVATURE=2.6e-06, J_MSC=0.0e+00, J_ALS=4.4e-10, J_LENGTH_PENALTY=3.1e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.0, 5.8], mean squared curvature=[0.8, 6.1], coils dofs=3.5697346824721814, 3.6018984828112446, 4.568907537353263e-17, -0.01719918342870158, 1.0937522809144626, -6.575208454690638e-18
fun_coils#31 - J=6.2e-04, Jf=6.1e-04, ⟨B·n⟩=1.7e-02, B·n max=7.4e-02, ║∇J coils║=3.0e-03, C-C-Sep=0.23 J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=0.0e+00, J_ALS=4.5e-10, J_LENGTH_PENALTY=3.2e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.0, 5.7], mean squared curvature=[0.8, 6.0], coils dofs=3.569737527525212, 3.601898574672858, 4.53965618145216e-17, -0.017169650404524513, 1.0937585990034726, -6.601693672150078e-18
fun_coils#32 - J=6.1e-04, Jf=6.1e-04, ⟨B·n⟩=1.7e-02, B·n max=7.4e-02, ║∇J coils║=2.8e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=8.9e-07, J_MSC=0.0e+00, J_ALS=4.4e-10, J_LENGTH_PENALTY=4.5e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.0, 5.7], mean squared curvature=[0.8, 6.0], coils dofs=3.569635034777598, 3.6020921133388875, 4.772033024195285e-17, -0.017448808957429687, 1.0938741983564035, -6.816453902366543e-18
fun_coils#33 - J=6.1e-04, Jf=6.0e-04, ⟨B·n⟩=1.7e-02, B·n max=7.3e-02, ║∇J coils║=4.1e-03, C-C-Sep=0.24 J_CC=0.0e+00, J_CURVATURE=6.1e-07, J_MSC=0.0e+00, J_ALS=4.3e-10, J_LENGTH_PENALTY=7.7e-06 Coil lengths=sum([6.9, 3.5])=10.4, curvature=[1.0, 5.7], mean squared curvature=[0.8, 6.1], coils dofs=3.569366784669977, 3.602607098532172, 5.358467726915016e-17, -0.01828580259588603, 1.0941630430498808, -7.339494324161304e-18
