
Aspect ratio at max_mode 2: 3.5002081088544355
Mean iota at 2: -0.19001560730518047
Quasisymmetry objective at max_mode 2: 0.0001676728654140051
Magnetic well at max_mode 2: 0.04668572872063573
Mercier objective at max_mode 2: 818687.0353914317
Total beta at at max_mode 2: 0.011204949624037671
Squared flux at max_mode 2: 0.07478096126169573
fun_coils#30 - J=2.2e-03, Jf=2.2e-03, ⟨B·n⟩=2.6e-02, B·n max=9.3e-02, ║∇J coils║=1.1e-02, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=5.5e-10, J_LENGTH_PENALTY=2.4e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.2], mean squared curvature=[0.9, 7.2], coils dofs=3.5635097918592273, 3.607486209280808, 0.2943390533105912, 0.000404472605957871, 0.45931118568559776, -0.0018022905788215408
fun_coils#31 - J=2.2e-03, Jf=2.1e-03, ⟨B·n⟩=2.6e-02, B·n max=9.2e-02, ║∇J coils║=1.1e-02, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=5.7e-10, J_LENGTH_PENALTY=2.4e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.3], mean squared curvature=[0.9, 7.2], coils dofs=3.5629269124287783, 3.608067320495767, 0.294058020581432, 0.0005339435138841756, 0.45944377371716744, -0.0019948329464002093
fun_coils#32 - J=2.2e-03, Jf=2.1e-03, ⟨B·n⟩=2.6e-02, B·n max=9.1e-02, ║∇J coils║=1.5e-02, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=6.1e-10, J_LENGTH_PENALTY=2.5e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.3], mean squared curvature=[0.9, 7.3], coils dofs=3.5619331864766006, 3.6090618842029913, 0.2936577961210656, 0.0006853742702522626, 0.4599907549133704, -0.0022006913027731254
fun_coils#33 - J=2.1e-03, Jf=2.1e-03, ⟨B·n⟩=2.6e-02, B·n max=8.9e-02, ║∇J coils║=1.7e-02, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=6.8e-10, J_LENGTH_PENALTY=3.2e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.2], mean squared curvature=[0.9, 7.5], coils dofs=3.5599944826829626, 3.6110076356408367, 0.2928968160250096, 0.0010760451675008022, 0.4616791020796921, -0.0027138755277750356
fun_coils#34 - J=2.1e-03, Jf=2.1e-03, ⟨B·n⟩=2.5e-02, B·n max=8.7e-02, ║∇J coils║=1.9e-02, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=7.8e-10, J_LENGTH_PENALTY=4.5e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.1], mean squared curvature=[0.9, 7.8], coils dofs=3.5573906163704443, 3.613632184229792, 0.2923867094520625, 0.001373015442568771, 0.4647764952292178, -0.0030210957436978664
fun_coils#35 - J=2.1e-03, Jf=2.0e-03, ⟨B·n⟩=2.5e-02, B·n max=8.6e-02, ║∇J coils║=8.6e-03, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=8.3e-10, J_LENGTH_PENALTY=3.8e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.1], mean squared curvature=[0.9, 8.0], coils dofs=3.5560799068636753, 3.6149611973247247, 0.29226163331760563, 0.0018253072977169767, 0.4668625432785167, -0.003625450599012534
fun_coils#36 - J=2.1e-03, Jf=2.0e-03, ⟨B·n⟩=2.6e-02, B·n max=8.7e-02, ║∇J coils║=9.5e-03, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=8.3e-10, J_LENGTH_PENALTY=2.5e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.1], mean squared curvature=[0.9, 8.0], coils dofs=3.5555010335148634, 3.6155560277954413, 0.29296992560880586, 0.001994472640424658, 0.46801447248467043, -0.003852496864156896
fun_coils#37 - J=2.1e-03, Jf=2.0e-03, ⟨B·n⟩=2.6e-02, B·n max=8.6e-02, ║∇J coils║=1.9e-02, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.7e-06, J_ALS=8.6e-10, J_LENGTH_PENALTY=2.9e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.1], mean squared curvature=[0.9, 8.1], coils dofs=3.5546097031835977, 3.6164597432392096, 0.2935676722036583, 0.002174991794312596, 0.4692746114443974, -0.004102906653991003
fun_coils#38 - J=2.1e-03, Jf=2.0e-03, ⟨B·n⟩=2.6e-02, B·n max=8.6e-02, ║∇J coils║=2.7e-02, C-C-Sep=0.30 J_CC=0.0e+00, J_CURVATURE=1.9e-08, J_MSC=2.3e-06, J_ALS=8.2e-10, J_LENGTH_PENALTY=3.6e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.5], mean squared curvature=[0.9, 8.1], coils dofs=3.5537296947516492, 3.6173654813095153, 0.29677318155156435, 0.0023614053872993627, 0.4710940890392465, -0.004440048697481819
fun_coils#39 - J=2.1e-03, Jf=2.0e-03, ⟨B·n⟩=2.6e-02, B·n max=8.6e-02, ║∇J coils║=1.5e-02, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.1e-07, J_ALS=8.4e-10, J_LENGTH_PENALTY=3.0e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.2], mean squared curvature=[0.9, 8.0], coils dofs=3.5542630235510804, 3.6168165590718435, 0.2948304837432057, 0.002248429495096703, 0.469991395285388, -0.0042357238810768975
fun_coils#40 - J=2.1e-03, Jf=2.0e-03, ⟨B·n⟩=2.5e-02, B·n max=8.6e-02, ║∇J coils║=9.0e-03, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.4e-11, J_ALS=8.4e-10, J_LENGTH_PENALTY=2.9e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.3], mean squared curvature=[0.9, 8.0], coils dofs=3.5544418158570954, 3.616633719672159, 0.2945407187495901, 0.002168765173475728, 0.46974003898929295, -0.004123163411261718
fun_coils#41 - J=2.0e-03, Jf=2.0e-03, ⟨B·n⟩=2.5e-02, B·n max=8.5e-02, ║∇J coils║=1.8e-02, C-C-Sep=0.30 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.2e-06, J_ALS=8.5e-10, J_LENGTH_PENALTY=3.1e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.5], mean squared curvature=[0.9, 8.1], coils dofs=3.553872941223286, 3.6172058826053606, 0.2948421318260328, 0.0022034801004839157, 0.4702869547828442, -0.004172294638946788
fun_coils#42 - J=2.0e-03, Jf=2.0e-03, ⟨B·n⟩=2.5e-02, B·n max=8.5e-02, ║∇J coils║=6.0e-03, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.9e-07, J_ALS=8.4e-10, J_LENGTH_PENALTY=3.2e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.4], mean squared curvature=[0.9, 8.0], coils dofs=3.5538739735630744, 3.6172007323429174, 0.29482221783047363, 0.0022004648551360154, 0.4698895478998346, -0.004168057778793601
fun_coils#43 - J=2.0e-03, Jf=2.0e-03, ⟨B·n⟩=2.6e-02, B·n max=8.5e-02, ║∇J coils║=5.9e-03, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.0e-07, J_ALS=8.4e-10, J_LENGTH_PENALTY=3.0e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.4], mean squared curvature=[0.9, 8.0], coils dofs=3.553701260650888, 3.61737484022565, 0.2950009376415854, 0.002227433102224461, 0.4699786150199227, -0.004201679171353286
fun_coils#44 - J=2.0e-03, Jf=2.0e-03, ⟨B·n⟩=2.6e-02, B·n max=8.4e-02, ║∇J coils║=7.4e-03, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.8e-07, J_ALS=8.6e-10, J_LENGTH_PENALTY=2.6e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.4], mean squared curvature=[0.9, 8.0], coils dofs=3.552586733170134, 3.6184963538605124, 0.29593530694570186, 0.0023711501470700205, 0.470532701083169, -0.004359705104072991
fun_coils#45 - J=2.0e-03, Jf=2.0e-03, ⟨B·n⟩=2.6e-02, B·n max=8.5e-02, ║∇J coils║=6.9e-03, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.0e-06, J_ALS=8.7e-10, J_LENGTH_PENALTY=2.4e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.4], mean squared curvature=[0.9, 8.0], coils dofs=3.5514701605326, 3.6196158144022887, 0.2964661127513276, 0.002496916523558332, 0.470871721288583, -0.0044333080184349935
fun_coils#46 - J=2.0e-03, Jf=2.0e-03, ⟨B·n⟩=2.6e-02, B·n max=8.7e-02, ║∇J coils║=5.8e-03, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=9.0e-07, J_ALS=8.9e-10, J_LENGTH_PENALTY=2.5e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.4], mean squared curvature=[0.9, 8.0], coils dofs=3.550186075077581, 3.6208967857383247, 0.2968025577727178, 0.0026058470260655977, 0.4707208316464491, -0.004427961984735577
fun_coils#47 - J=2.0e-03, Jf=2.0e-03, ⟨B·n⟩=2.6e-02, B·n max=8.7e-02, ║∇J coils║=3.4e-03, C-C-Sep=0.29 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.1e-07, J_ALS=9.0e-10, J_LENGTH_PENALTY=2.6e-05 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 5.3], mean squared curvature=[0.9, 8.0], coils dofs=3.549695953233724, 3.6213839066324947, 0.29667741512394813, 0.0026204843485367205, 0.4705962724221548, -0.004405073608233645
