index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
0,1,1.1887712725484686e-06,1.187466653026538e-06,10.432122301917317,0.0,0.0,0.0,3.946255945753343e-12,1.30067326598479e-09,9.99463229104033,10.857427660112068,0.0046095215202273535,1.0580374106395915e-05,0.24646536282496231
1,2,5.007432854060036,0.2128996986541627,20.274027468774186,0.0011675564151906867,4.501284947119553,0.0633553143972092,0.22872521919591685,1.1827800332208728e-07,47.58707389073334,32.24542986162274,3.1869634815842263,22.719624036406522,0.053570855545170715
2,3,1.1887700403333895e-06,1.1874691504376881e-06,10.432122146292572,0.0,0.0,0.0,2.1801231827935604e-13,1.3006718833830055e-09,9.99453869161357,10.85735970150473,0.004609690875702093,3.216059617463967e-05,0.24646346047601553
3,4,1.188770044062709e-06,1.18745691490868e-06,10.432123268120112,0.0,0.0,0.0,1.2458174731477871e-11,1.3006709792973453e-09,9.994674939733905,10.857496669436918,0.004609678258274224,3.731388645868559e-05,0.24646337838137292
4,5,1.1887676809761462e-06,1.1874630189073465e-06,10.432122706983716,0.0,0.0,0.0,3.9906372808464505e-12,1.30067143151884e-09,9.994606788766795,10.857428158281174,0.004609684569505332,1.0131858831235866e-05,0.24646341944478814
5,6,1.188766719564519e-06,1.1874621920087784e-06,10.432122611110795,0.0,0.0,0.0,3.855616743985165e-12,1.3006719389965685e-09,9.994617599048427,10.857426633931066,0.004609645076533148,5.76209659228379e-06,0.24646405041357536
