index,Nfeval,J,Jf,J_length,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
12,13,4.9367865837116234e-05,4.8959597025168564e-05,2.1174218920571274e-07,21.174218920571274,1.5973443389618654e-07,4.716250299692565e-09,3.207593854607314e-08,0.17982257978616084,1.1265636759077457e-08,15.098187225192605,27.95388536016582,0.007549667694389642,0.0008802900139079681,0.14192834243003472
13,14,4.935398457767844e-05,4.895174632778614e-05,2.1174143556985087e-07,21.174143556985086,1.5878908782460648e-07,2.197879498653712e-09,2.9509846999196194e-08,0.17984995799278175,1.1265555059941982e-08,15.093196454363568,27.95505985035849,0.007549727601491998,0.0006454643491764013,0.1419430529068556
14,15,4.933057765928205e-05,4.892342765122726e-05,2.1174079147565606e-07,21.174079147565607,1.5578868829307006e-07,2.76253991138883e-10,3.9344274294929076e-08,0.17996330000930652,1.12653764855316e-08,15.094179392680386,27.959673442210224,0.007551002395995828,0.0008602210765091525,0.14199597237354936
15,16,4.9391962788590324e-05,4.885575620700162e-05,2.1174081206217137e-07,21.174081206217135,1.481727268191671e-07,0.0,1.7629304270736976e-07,0.1801732794351415,1.126515840113603e-08,15.10488849109014,27.970348424528332,0.0075541395840304955,0.0029760309009859627,0.14213158012760674
16,17,4.931197410937843e-05,4.88966471138997e-05,2.1174079375719545e-07,21.174079375719543,1.5322304625462872e-07,1.0985693201431056e-11,5.035216977370353e-08,0.18003229416838348,1.126530286888603e-08,15.094579630104862,27.96320208714708,0.007551909408426299,0.0008574543252759897,0.14204113677344948
17,18,4.928842400514077e-05,4.888028230779515e-05,2.1174212721039298e-07,21.174212721039297,1.5118924052474667e-07,6.944430628741601e-10,4.451588654760942e-08,0.18006602442693076,1.1265327101814884e-08,15.091469390257375,27.965377422455866,0.007553369818300499,0.0006846703064191664,0.14207743659498984
18,19,4.9265651747641374e-05,4.8851286186841807e-05,2.1174410178672956e-07,21.174410178672957,1.484196976254408e-07,3.48855647131473e-09,5.071320491608735e-08,0.1801463166495969,1.1265330306518502e-08,15.09130458136838,27.969775470949493,0.007551890925731695,0.000666361469007555,0.14212653368955638
19,20,4.923941714241455e-05,4.881593059053547e-05,2.1174633869033014e-07,21.174633869033013,1.4509174923922548e-07,9.715233470773143e-09,5.693323047874825e-08,0.18013942722763307,1.1265416117168798e-08,15.091139898909322,27.972867540945174,0.007550697769666448,0.0007669009944799271,0.14218598045945102
20,21,4.920245891788107e-05,4.875871816998545e-05,2.1174882315793905e-07,21.174882315793905,1.402580542300122e-07,1.9396940199051054e-08,7.233693030861215e-08,0.180063454271449,1.1265627585588224e-08,15.090197998119372,27.97683768858942,0.007548534530975404,0.0010880757498710398,0.14227248516973673
21,22,4.916633089216898e-05,4.870612814892885e-05,2.1174993777115972e-07,21.174993777115972,1.3647638352769684e-07,2.2550462820803422e-08,8.942595912046733e-08,0.17999868419768963,1.126582942746829e-08,15.086745764241485,27.981784832914272,0.00754610265656073,0.0010728266806843665,0.14233785236853838
22,23,4.913489461649546e-05,4.867141081154657e-05,2.1174894130598398e-07,21.174894130598396,1.3513949643198837e-07,1.4957976387618208e-08,1.0163739082329733e-07,0.1798637390126307,1.126606699721141e-08,15.080926557466896,27.98365199338914,0.007546885716494089,0.001030417223999541,0.1423573872945529
23,24,4.910808793438669e-05,4.867276693997352e-05,2.1174729870693472e-07,21.174729870693472,1.370244150097957e-07,7.92126551462509e-09,7.862801518181185e-08,0.17979249401552683,1.1266133754764034e-08,15.079642493085503,27.982072476436215,0.007548331974980185,0.0007346116695152897,0.14231903635146448
24,25,4.9082819481382e-05,4.866120334840646e-05,2.1174631582521796e-07,21.174631582521794,1.373825717055126e-07,3.027227053849732e-09,6.946001839096173e-08,0.17974988623700988,1.1266323855016787e-08,15.075110248543552,27.98459006153218,0.007553009427333368,0.0006107191790307025,0.14231034426368244
25,26,4.9065663375854545e-05,4.864038475837193e-05,2.1174726375062638e-07,21.174726375062637,1.3686921011756796e-07,2.820904306615677e-09,7.38412393078073e-08,0.1797615862860094,1.126670561465812e-08,15.074746219956584,27.989336863023066,0.007555934730882428,0.0006057352494020853,0.14231572660290726
26,27,4.905179293930795e-05,4.862629829786494e-05,2.1174914486951693e-07,21.174914486951693,1.366468473400481e-07,5.418912660221488e-09,7.167973657321994e-08,0.1797586938117419,1.126706323268082e-08,15.06944345145632,27.991243509592458,0.007556436112667084,0.00040240332691379585,0.14231922028830274
27,28,4.9045348267429065e-05,4.8614812600551984e-05,2.117509074751521e-07,21.17509074751521,1.3637802562626523e-07,9.109744702945972e-09,7.329698907271367e-08,0.1796981218677901,1.1267429518638967e-08,15.069328853927317,27.99129182360815,0.0075552979571724506,0.0004209997396412995,0.14232366181245512
28,29,4.903955269722766e-05,4.861153537043116e-05,2.1175275324560925e-07,21.175275324560925,1.3629219017679331e-07,1.4262780667739471e-08,6.570960270635966e-08,0.17961127426240645,1.1267955155373217e-08,15.069478399455535,27.989870964593308,0.007553757652461615,0.0004550894457990545,0.14232502372798453
29,30,4.903429575869395e-05,4.860767253445206e-05,2.1175371973643622e-07,21.17537197364362,1.3591416875457256e-07,1.6083863959169743e-08,6.287147179171165e-08,0.17956573856001193,1.1268372311252983e-08,15.06863771668271,27.98995229811379,0.007552356627611584,0.00040724224381852737,0.1423316244064074
30,31,4.902493236841093e-05,4.8602667162681986e-05,2.1175499180667252e-07,21.175499180667252,1.3492773654872237e-07,1.5463873915609063e-08,6.011860345793489e-08,0.17951018532628216,1.1269236526326728e-08,15.068077288710732,27.98940074375544,0.007549192021518444,0.0005576809416057684,0.14235045210921815
31,32,4.901245385936587e-05,4.8587902031575594e-05,2.1175693809170007e-07,21.175693809170006,1.3136490028528095e-07,1.3088520335621018e-08,6.834146907766962e-08,0.179537195010438,1.1270377620453054e-08,15.069351926914106,27.99281067211437,0.007546996961122305,0.0007021335952037924,0.14241874132384238
