       0.10000D+01       0.00000D+00      -0.33440D-01       0.54199D+00       0.00000D+00
       0.20000D+01       0.24529D-02       0.83525D-02       0.54979D+00       0.22910D+00
       0.30000D+01       0.49255D-02      -0.29035D-01       0.55301D+00       0.26617D+00
       0.40000D+01       0.90940D-02      -0.50290D-02       0.55001D+00       0.30809D+00
       0.50000D+01       0.92255D-02      -0.39570D-01       0.54876D+00       0.24697D+00
       0.60000D+01       0.82098D-02       0.58973D-02       0.54984D+00       0.35931D+00
       0.70000D+01       0.86185D-02      -0.26202D-01       0.55146D+00       0.35835D+00
       0.80000D+01       0.12202D-01      -0.15750D-01       0.55011D+00       0.36690D+00
       0.90000D+01       0.12916D-01      -0.42626D-01       0.54960D+00       0.32637D+00
       0.10000D+02       0.12342D-01       0.51354D-02       0.54992D+00       0.34189D+00
       0.11000D+02       0.12034D-01      -0.20387D-01       0.55107D+00       0.37335D+00
       0.12000D+02       0.14887D-01      -0.24125D-01       0.55024D+00       0.37615D+00
       0.13000D+02       0.15291D-01      -0.39766D-01       0.54998D+00       0.34732D+00
       0.14000D+02       0.15438D-01       0.75939D-02       0.55000D+00       0.35778D+00
       0.15000D+02       0.14794D-01      -0.99109D-02       0.55091D+00       0.38128D+00
       0.16000D+02       0.16901D-01      -0.26864D-01       0.55037D+00       0.38237D+00
       0.17000D+02       0.16530D-01      -0.33459D-01       0.55021D+00       0.35994D+00
       0.18000D+02       0.17275D-01       0.98094D-02       0.55007D+00       0.36799D+00
       0.19000D+02       0.16537D-01       0.15016D-02       0.55082D+00       0.38712D+00
       0.20000D+02       0.17990D-01      -0.27130D-01       0.55048D+00       0.38728D+00
       0.21000D+02       0.17170D-01      -0.28461D-01       0.55036D+00       0.36888D+00
       0.22000D+02       0.18227D-01       0.71470D-02       0.55013D+00       0.37558D+00
       0.23000D+02       0.17547D-01       0.86410D-02       0.55075D+00       0.39134D+00
       0.24000D+02       0.18394D-01      -0.29613D-01       0.55056D+00       0.39035D+00
       0.25000D+02       0.17775D-01      -0.26994D-01       0.55045D+00       0.37478D+00
       0.26000D+02       0.18871D-01      -0.17111D-02       0.55018D+00       0.38028D+00
       0.27000D+02       0.18332D-01       0.94742D-02       0.55070D+00       0.39329D+00
       0.28000D+02       0.18634D-01      -0.35438D-01       0.55062D+00       0.39202D+00
       0.29000D+02       0.18478D-01      -0.26528D-01       0.55051D+00       0.37854D+00
       0.30000D+02       0.19423D-01      -0.13429D-01       0.55022D+00       0.38291D+00
       0.31000D+02       0.19048D-01       0.66463D-02       0.55064D+00       0.39451D+00
       0.32000D+02       0.18923D-01      -0.41198D-01       0.55066D+00       0.39346D+00
       0.33000D+02       0.18979D-01      -0.22182D-01       0.55053D+00       0.38159D+00
       0.34000D+02       0.19656D-01      -0.22679D-01       0.55025D+00       0.38509D+00
       0.35000D+02       0.19423D-01       0.49868D-02       0.55059D+00       0.39553D+00
       0.36000D+02       0.19079D-01      -0.42300D-01       0.55067D+00       0.38623D+00
       0.37000D+02       0.18981D-01      -0.12416D-01       0.55052D+00       0.37587D+00
       0.38000D+02       0.19253D-01      -0.27157D-01       0.55026D+00       0.37861D+00
       0.39000D+02       0.19106D-01       0.66620D-02       0.55053D+00       0.38806D+00
       0.40000D+02       0.18779D-01      -0.37791D-01       0.55066D+00       0.37854D+00
       0.41000D+02       0.18465D-01      -0.25525D-02       0.55048D+00       0.36942D+00
       0.42000D+02       0.18339D-01      -0.30056D-01       0.55026D+00       0.37175D+00
       0.43000D+02       0.18191D-01       0.87394D-02       0.55046D+00       0.38103D+00
       0.44000D+02       0.18001D-01      -0.31792D-01       0.55063D+00       0.37991D+00
       0.45000D+02       0.17787D-01      -0.49668D-03       0.55044D+00       0.38137D+00
       0.46000D+02       0.17510D-01      -0.35290D-01       0.55027D+00       0.37319D+00
       0.47000D+02       0.17280D-01       0.77032D-02       0.55041D+00       0.37478D+00
       0.48000D+02       0.17181D-01      -0.28197D-01       0.55061D+00       0.37388D+00
       0.49000D+02       0.17329D-01      -0.80559D-02       0.55041D+00       0.37515D+00
       0.50000D+02       0.17208D-01      -0.41048D-01       0.55028D+00       0.36772D+00
       0.51000D+02       0.16972D-01       0.53124D-02       0.55037D+00       0.37896D+00
       0.52000D+02       0.16872D-01      -0.24948D-01       0.55058D+00       0.37880D+00
       0.53000D+02       0.17302D-01      -0.18828D-01       0.55040D+00       0.37951D+00
       0.54000D+02       0.17355D-01      -0.42367D-01       0.55032D+00       0.37253D+00
       0.55000D+02       0.17225D-01       0.56201D-02       0.55035D+00       0.37452D+00
       0.56000D+02       0.17070D-01      -0.17624D-01       0.55057D+00       0.38008D+00
       0.57000D+02       0.17603D-01      -0.25500D-01       0.55041D+00       0.38058D+00
       0.58000D+02       0.17607D-01      -0.38002D-01       0.55035D+00       0.37404D+00
       0.59000D+02       0.17669D-01       0.85274D-02       0.55034D+00       0.37625D+00
       0.60000D+02       0.17459D-01      -0.62969D-02       0.55057D+00       0.38177D+00
       0.61000D+02       0.17961D-01      -0.26963D-01       0.55044D+00       0.38208D+00
       0.62000D+02       0.17785D-01      -0.31621D-01       0.55039D+00       0.37593D+00
       0.63000D+02       0.18033D-01       0.96716D-02       0.55034D+00       0.37814D+00
       0.64000D+02       0.17797D-01       0.42977D-02       0.55056D+00       0.38362D+00
       0.65000D+02       0.18192D-01      -0.27498D-01       0.55047D+00       0.38354D+00
       0.66000D+02       0.17913D-01      -0.27670D-01       0.55043D+00       0.38339D+00
       0.67000D+02       0.18282D-01       0.50493D-02       0.55034D+00       0.38331D+00
       0.68000D+02       0.18056D-01       0.95213D-02       0.55055D+00       0.38850D+00
       0.69000D+02       0.18297D-01      -0.31106D-01       0.55050D+00       0.38822D+00
       0.70000D+02       0.18121D-01      -0.26970D-01       0.55046D+00       0.38269D+00
       0.71000D+02       0.18531D-01      -0.52021D-02       0.55035D+00       0.38460D+00
       0.72000D+02       0.18341D-01       0.87859D-02       0.55054D+00       0.38941D+00
       0.73000D+02       0.18405D-01      -0.37420D-01       0.55052D+00       0.38899D+00
       0.74000D+02       0.18385D-01      -0.25812D-01       0.55048D+00       0.38375D+00
       0.75000D+02       0.18758D-01      -0.16698D-01       0.55036D+00       0.38543D+00
