index,Nfeval,J,Jf,J_length,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
10,11,3.2055384736902165e-05,3.118117072000223e-05,9.898298860194802e-08,9.898298860194801,6.029048278008164e-07,1.5110864691788492e-08,0.0,1.5721533580538264e-07,2.1099189538825093e-09,16.952493294946542,26.955705214275596,0.0017586885506639476,0.0022614719915459167,0.07412646780203619
11,12,3.1695546444456125e-05,3.0946234936992114e-05,9.89792929751051e-08,9.89792929751051,6.059604480393441e-07,1.5958157890550125e-08,0.0,2.841360855900956e-08,2.109560702537115e-09,16.949254361728066,26.927004739768837,0.0017541394174343853,0.0015098761349008573,0.07419367582679146
12,13,3.146734763800005e-05,3.0714471831474496e-05,9.898271430599927e-08,9.898271430599927,6.121569208880093e-07,3.124936882662514e-08,0.0,1.048680250491736e-08,2.109972929948848e-09,16.944268560508227,26.922667174406293,0.0017451254626058646,0.0011143547190865999,0.07406314134405281
13,14,3.1109849726343104e-05,3.028392368845309e-05,9.899030105337055e-08,9.899030105337054,6.556504700394578e-07,5.964626874356966e-08,0.0,1.1638998053619277e-08,2.1105116188490995e-09,16.933269515435523,26.92699826118671,0.0017299929587836838,0.0009651006583151295,0.07330076517201951
14,15,3.086046379620962e-05,3.001799333800454e-05,9.899357320004329e-08,9.899357320004329,6.973741295102907e-07,3.204034340065873e-08,0.0,1.4062412094083028e-08,2.1098095965840733e-09,16.91708384422717,26.93319426868817,0.0017226433095374597,0.0008519163677901693,0.07296767343028518
15,16,3.064544100043859e-05,2.9678333088801918e-05,9.901088872715853e-08,9.901088872715853,7.449777559225722e-07,3.024110323045631e-08,0.0,9.28781637564877e-08,2.1098495914131005e-09,16.890173540410025,26.953808523648103,0.0017117192481397915,0.0012464978248445519,0.07296589494284417
16,17,3.057495695137938e-05,2.9611036917932485e-05,9.902134082114618e-08,9.902134082114618,7.476590435067215e-07,9.800787301959301e-08,0.0,1.9231776099436656e-08,2.109465823160941e-09,16.872348251048955,26.95496404319737,0.0017123628423240799,0.0009271479425576345,0.07332339605821216
17,18,3.050138606417313e-05,2.9657188049052757e-05,9.901100379841124e-08,9.901100379841123,7.155002062150894e-07,2.345053568760019e-08,0.0,6.2362694192721356e-09,2.109256807971292e-09,16.882276541632177,26.948793718186103,0.0017150313012370393,0.0006148433131783768,0.07352090964895155
18,19,3.0452565954495436e-05,2.960399469142781e-05,9.901133920477782e-08,9.901133920477783,7.033388786039276e-07,2.3961664147963102e-08,0.0,2.225938111095569e-08,2.1092769202421297e-09,16.878205607710765,26.957717792181377,0.0017135616404358573,0.0003553191727542812,0.07359850500539593
19,20,3.040567060762177e-05,2.9548953728441988e-05,9.901295425485785e-08,9.901295425485785,6.884442194642695e-07,3.179601907991267e-08,0.0,3.746368638074167e-08,2.1094085458508695e-09,16.86894652830243,26.97199428046384,0.0017124411715064012,0.0004944447993008216,0.07369422406375953
20,21,3.0344927718895994e-05,2.949499746916667e-05,9.901419766327703e-08,9.901419766327702,6.798549838964774e-07,3.539281212560649e-08,0.0,3.566825604396163e-08,2.110060763506045e-09,16.85329490359742,26.991499935854897,0.0017130596387933447,0.0004968694151050545,0.07362725368297125
21,22,3.042643541536532e-05,2.9435661240380663e-05,9.901147722348732e-08,9.901147722348732,6.78136266273513e-07,3.009991853858916e-08,0.0,1.835265129490688e-07,2.1107907386515334e-09,16.823628369726947,27.02918404718323,0.001711878898085143,0.00376991996671789,0.07357135851224342
