Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7),objective_function
     0,  1.8046e+00,  1.2184570678329371e-01, -5.4898997189751345e-02,  1.4702701910252733e-01, -5.5147526352542567e-03,  1.1523610691020722e-01,  6.9734478991332977e-02,  1.6300755880314657e-01, -6.4393380613626330e-03,  1.8092668201002485e-01
     1,  6.7732e+00,  1.2184826995527334e-01, -5.4898316122804089e-02,  1.4702712310116536e-01, -5.5143892709207448e-03,  1.1523958916855541e-01,  6.9732316346963225e-02,  1.6300632242823912e-01, -6.4390030417635601e-03,  1.8092668235526724e-01
     2,  8.7746e+00,  1.2184638013067443e-01, -5.4898869485664602e-02,  1.4702709094555669e-01, -5.5146847025616084e-03,  1.1523700803911838e-01,  6.9734019999178887e-02,  1.6300724808357880e-01, -6.4392875600884887e-03,  1.8092668206107101e-01
     3,  1.0911e+01,  1.2184588754229116e-01, -5.4898988396533135e-02,  1.4702705642666267e-01, -5.5147453704767826e-03,  1.1523634126369220e-01,  6.9734405916720046e-02,  1.6300748383484193e-01, -6.4393393398274896e-03,  1.8092668201730056e-01
     4,  1.2933e+01,  1.2184575386133512e-01, -5.4899000193206669e-02,  1.4702703078888854e-01, -5.5147523729331587e-03,  1.1523616578604083e-01,  6.9734469832852614e-02,  1.6300754050079985e-01, -6.4393408544315819e-03,  1.8092668201067949e-01
     5,  1.4018e+01,  1.2184571872301656e-01, -5.4898998680372027e-02,  1.4702702156974634e-01, -5.5147524474858768e-03,  1.1523612146024011e-01,  6.9734477840212361e-02,  1.6300755369539688e-01, -6.4393390204388976e-03,  1.8092668200998965e-01
     6,  2.2379e+01,  1.2184572169266678e-01, -5.4898999057429738e-02,  1.4702702223674693e-01, -5.5147524443300254e-03,  1.1523612511799922e-01,  6.9734477542033740e-02,  1.6300755246904755e-01, -6.4393392565261090e-03,  1.8092668200991399e-01
