       0.10000D+01       0.00000D+00       0.94358D-02       0.46055D+00       0.00000D+00
       0.20000D+01       0.13698D-01      -0.15009D-01       0.45860D+00       0.41134D+00
       0.30000D+01       0.12282D-01       0.16589D-01       0.46311D+00       0.28178D+00
       0.40000D+01       0.94033D-02       0.11158D-01       0.46753D+00       0.27139D+00
       0.50000D+01       0.10708D-01      -0.17795D-01       0.46748D+00       0.22643D+00
       0.60000D+01       0.10578D-01      -0.32705D-02       0.46586D+00       0.25948D+00
       0.70000D+01       0.12940D-01      -0.16296D-01       0.46483D+00       0.33987D+00
       0.80000D+01       0.15772D-01       0.63454D-02       0.46469D+00       0.30669D+00
       0.90000D+01       0.14322D-01       0.19776D-01       0.46640D+00       0.29843D+00
       0.10000D+02       0.14016D-01      -0.97566D-02       0.46725D+00       0.26910D+00
       0.11000D+02       0.19675D-01       0.10954D-01       0.46634D+00       0.30017D+00
       0.12000D+02       0.17617D-01       0.73335D-02       0.46592D+00       0.27509D+00
       0.13000D+02       0.23979D-01      -0.63534D-02       0.46525D+00       0.31507D+00
       0.14000D+02       0.23254D-01       0.21047D-01       0.46603D+00       0.30899D+00
       0.15000D+02       0.22191D-01       0.40179D-02       0.46693D+00       0.28891D+00
       0.16000D+02       0.25202D-01      -0.92121D-02       0.46661D+00       0.29168D+00
       0.17000D+02       0.25523D-01       0.26172D-02       0.46618D+00       0.28029D+00
       0.18000D+02       0.24331D-01      -0.18148D-01       0.46568D+00       0.28755D+00
       0.19000D+02       0.23738D-01       0.13219D-01       0.46587D+00       0.27434D+00
       0.20000D+02       0.22421D-01       0.14611D-01       0.46663D+00       0.27328D+00
       0.21000D+02       0.21918D-01      -0.16985D-01       0.46680D+00       0.26183D+00
       0.22000D+02       0.21098D-01       0.21299D-02       0.46636D+00       0.26894D+00
       0.23000D+02       0.21584D-01      -0.95636D-02       0.46608D+00       0.27504D+00
       0.24000D+02       0.23600D-01       0.22288D-02       0.46585D+00       0.26820D+00
       0.25000D+02       0.22939D-01       0.21438D-01       0.46638D+00       0.26688D+00
       0.26000D+02       0.22593D-01      -0.46590D-02       0.46679D+00       0.25698D+00
       0.27000D+02       0.25596D-01       0.70813D-02       0.46646D+00       0.26920D+00
       0.28000D+02       0.24380D-01       0.11470D-01       0.46627D+00       0.25956D+00
       0.29000D+02       0.26075D-01      -0.11307D-01       0.46594D+00       0.27867D+00
       0.30000D+02       0.25696D-01       0.18982D-01       0.46621D+00       0.27723D+00
       0.31000D+02       0.24934D-01       0.80742D-02       0.46667D+00       0.27595D+00
       0.32000D+02       0.25411D-01      -0.15633D-01       0.46661D+00       0.26951D+00
       0.33000D+02       0.25368D-01      -0.31075D-02       0.46636D+00       0.27383D+00
       0.34000D+02       0.24842D-01      -0.18696D-01       0.46611D+00       0.28997D+00
       0.35000D+02       0.24745D-01       0.95458D-02       0.46612D+00       0.28325D+00
       0.36000D+02       0.24020D-01       0.17682D-01       0.46652D+00       0.28178D+00
       0.37000D+02       0.23716D-01      -0.13617D-01       0.46669D+00       0.27452D+00
       0.38000D+02       0.24016D-01       0.88304D-02       0.46644D+00       0.27793D+00
       0.39000D+02       0.23729D-01      -0.20158D-04       0.46630D+00       0.27078D+00
       0.40000D+02       0.25574D-01      -0.23021D-02       0.46610D+00       0.28895D+00
       0.41000D+02       0.25233D-01       0.21811D-01       0.46638D+00       0.28742D+00
       0.42000D+02       0.24888D-01       0.28000D-03       0.46667D+00       0.28081D+00
       0.43000D+02       0.26516D-01      -0.16340D-02       0.46650D+00       0.28231D+00
       0.44000D+02       0.26276D-01       0.84849D-02       0.46636D+00       0.28107D+00
       0.45000D+02       0.26302D-01      -0.15674D-01       0.46615D+00       0.28374D+00
       0.46000D+02       0.26024D-01       0.16043D-01       0.46627D+00       0.27804D+00
       0.47000D+02       0.25431D-01       0.11770D-01       0.46658D+00       0.27748D+00
       0.48000D+02       0.25314D-01      -0.17895D-01       0.46661D+00       0.27265D+00
       0.49000D+02       0.24899D-01      -0.27061D-02       0.46642D+00       0.27580D+00
       0.50000D+02       0.24934D-01      -0.15434D-01       0.46627D+00       0.27873D+00
       0.51000D+02       0.25327D-01       0.56657D-02       0.46621D+00       0.27505D+00
       0.52000D+02       0.24893D-01       0.20137D-01       0.46647D+00       0.27572D+00
       0.53000D+02       0.24701D-01      -0.88996D-02       0.46664D+00       0.27063D+00
       0.54000D+02       0.25750D-01       0.10787D-01       0.46647D+00       0.27672D+00
       0.55000D+02       0.25072D-01       0.85043D-02       0.46637D+00       0.27168D+00
       0.56000D+02       0.26403D-01      -0.72072D-02       0.46621D+00       0.28123D+00
       0.57000D+02       0.26192D-01       0.20775D-01       0.46638D+00       0.28036D+00
       0.58000D+02       0.25847D-01       0.47437D-02       0.46661D+00       0.27564D+00
       0.59000D+02       0.26526D-01      -0.10577D-01       0.46653D+00       0.27656D+00
       0.60000D+02       0.26600D-01       0.13763D-02       0.46641D+00       0.27216D+00
       0.61000D+02       0.26194D-01      -0.18462D-01       0.46626D+00       0.27451D+00
       0.62000D+02       0.26001D-01       0.12608D-01       0.46630D+00       0.27067D+00
