Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
    27,  1.9118e+01,  1.2716077825171651e-01, -5.2750848838619427e-02,  1.4596387045917902e-01, -4.6012871998694378e-03,  1.2169750630815838e-01,  6.4480624917338650e-02,  1.6145842821018921e-01, -4.9254339462173162e-03
    28,  1.9119e+01,  1.2716204985949903e-01, -5.2750848838619427e-02,  1.4596387045917902e-01, -4.6012871998694378e-03,  1.2169750630815838e-01,  6.4480624917338650e-02,  1.6145842821018921e-01, -4.9254339462173162e-03
    29,  1.9119e+01,  1.2716077825171651e-01, -5.2750321330131043e-02,  1.4596387045917902e-01, -4.6012871998694378e-03,  1.2169750630815838e-01,  6.4480624917338650e-02,  1.6145842821018921e-01, -4.9254339462173162e-03
    30,  1.9119e+01,  1.2716077825171651e-01, -5.2750848838619427e-02,  1.4596533009788362e-01, -4.6012871998694378e-03,  1.2169750630815838e-01,  6.4480624917338650e-02,  1.6145842821018921e-01, -4.9254339462173162e-03
    31,  1.9119e+01,  1.2716077825171651e-01, -5.2750848838619427e-02,  1.4596387045917902e-01, -4.6011871998694375e-03,  1.2169750630815838e-01,  6.4480624917338650e-02,  1.6145842821018921e-01, -4.9254339462173162e-03
    32,  1.9119e+01,  1.2716077825171651e-01, -5.2750848838619427e-02,  1.4596387045917902e-01, -4.6012871998694378e-03,  1.2169872328322147e-01,  6.4480624917338650e-02,  1.6145842821018921e-01, -4.9254339462173162e-03
    33,  1.9119e+01,  1.2716077825171651e-01, -5.2750848838619427e-02,  1.4596387045917902e-01, -4.6012871998694378e-03,  1.2169750630815838e-01,  6.4481269723587822e-02,  1.6145842821018921e-01, -4.9254339462173162e-03
    34,  1.9119e+01,  1.2716077825171651e-01, -5.2750848838619427e-02,  1.4596387045917902e-01, -4.6012871998694378e-03,  1.2169750630815838e-01,  6.4480624917338650e-02,  1.6146004279447132e-01, -4.9254339462173162e-03
    35,  1.9119e+01,  1.2716077825171651e-01, -5.2750848838619427e-02,  1.4596387045917902e-01, -4.6012871998694378e-03,  1.2169750630815838e-01,  6.4480624917338650e-02,  1.6145842821018921e-01, -4.9253339462173159e-03
    36,  2.7853e+01,  1.1943281305179163e-01, -5.6187431111567175e-02,  1.4725751399260106e-01, -4.8153372355584350e-03,  1.1322713486647024e-01,  6.9690962189361452e-02,  1.6337770908696578e-01, -5.5192902231999711e-03
    37,  2.7853e+01,  1.1943400737992214e-01, -5.6187431111567175e-02,  1.4725751399260106e-01, -4.8153372355584350e-03,  1.1322713486647024e-01,  6.9690962189361452e-02,  1.6337770908696578e-01, -5.5192902231999711e-03
    38,  2.7853e+01,  1.1943281305179163e-01, -5.6186869237256062e-02,  1.4725751399260106e-01, -4.8153372355584350e-03,  1.1322713486647024e-01,  6.9690962189361452e-02,  1.6337770908696578e-01, -5.5192902231999711e-03
    39,  2.7853e+01,  1.1943281305179163e-01, -5.6187431111567175e-02,  1.4725898656774100e-01, -4.8153372355584350e-03,  1.1322713486647024e-01,  6.9690962189361452e-02,  1.6337770908696578e-01, -5.5192902231999711e-03
    40,  2.7853e+01,  1.1943281305179163e-01, -5.6187431111567175e-02,  1.4725751399260106e-01, -4.8152372355584347e-03,  1.1322713486647024e-01,  6.9690962189361452e-02,  1.6337770908696578e-01, -5.5192902231999711e-03
    41,  2.7853e+01,  1.1943281305179163e-01, -5.6187431111567175e-02,  1.4725751399260106e-01, -4.8153372355584350e-03,  1.1322826713781890e-01,  6.9690962189361452e-02,  1.6337770908696578e-01, -5.5192902231999711e-03
    42,  2.7853e+01,  1.1943281305179163e-01, -5.6187431111567175e-02,  1.4725751399260106e-01, -4.8153372355584350e-03,  1.1322713486647024e-01,  6.9691659098983352e-02,  1.6337770908696578e-01, -5.5192902231999711e-03
    43,  2.7853e+01,  1.1943281305179163e-01, -5.6187431111567175e-02,  1.4725751399260106e-01, -4.8153372355584350e-03,  1.1322713486647024e-01,  6.9690962189361452e-02,  1.6337934286405664e-01, -5.5192902231999711e-03
    44,  2.7853e+01,  1.1943281305179163e-01, -5.6187431111567175e-02,  1.4725751399260106e-01, -4.8153372355584350e-03,  1.1322713486647024e-01,  6.9690962189361452e-02,  1.6337770908696578e-01, -5.5191902231999709e-03
    45,  3.8755e+01,  1.2205341812657176e-01, -5.4334283613883962e-02,  1.4593906700876802e-01, -5.7798401994290337e-03,  1.1417005766459939e-01,  7.0531185286726653e-02,  1.6431683747263287e-01, -6.5399303657109635e-03
