
Aspect ratio at max_mode 1: 7.029045080496752
Mean iota at 1: -0.7661471930831253
Quasisymmetry objective at max_mode 1: 0.18008306530895946
Magnetic well at max_mode 1: -0.07973621662490926
Squared flux at max_mode 1: 0.45182462086251485
fun_coils#12 - J=3.1e-02, Jf=1.8e-02, ⟨B·n⟩=4.3e-02, B·n max=1.7e-01, ║∇J coils║=2.3e+00, C-C-Sep=0.01 J_length=1.2e-07, J_CC=6.4e-04, J_CURVATURE=2.6e-06, J_MSC=1.2e-02, J_ALS=5.8e-09, J_LENGTH_PENALTY=8.6e-04 Coil lengths=sum([3.0, 3.1, 3.1, 3.2])=12.5, curvature=[8.4, 6.3, 5.7, 5.2], mean squared curvature=[13.2, 11.4, 11.9, 12.8], coils dofs=1.1210968157358756, 1.151944902066199, 1.1868223919841328, 1.09227528658092, -0.020321519419933404, 0.4045271583968788
fun_coils#13 - J=2.6e-02, Jf=2.1e-02, ⟨B·n⟩=4.7e-02, B·n max=1.5e-01, ║∇J coils║=1.0e+00, C-C-Sep=0.02 J_length=1.2e-07, J_CC=5.3e-04, J_CURVATURE=0.0e+00, J_MSC=4.4e-03, J_ALS=5.5e-09, J_LENGTH_PENALTY=5.1e-05 Coil lengths=sum([3.0, 3.1, 3.1, 3.1])=12.3, curvature=[7.2, 5.4, 6.0, 4.9], mean squared curvature=[11.4, 10.4, 11.5, 12.1], coils dofs=1.123207832126357, 1.1531369615059812, 1.1873080348866973, 1.09853034187791, -0.01690962837169143, 0.40300017962469403
fun_coils#14 - J=2.2e-02, Jf=1.8e-02, ⟨B·n⟩=4.4e-02, B·n max=1.4e-01, ║∇J coils║=5.8e-01, C-C-Sep=0.02 J_length=1.2e-07, J_CC=5.2e-04, J_CURVATURE=0.0e+00, J_MSC=3.4e-03, J_ALS=5.7e-09, J_LENGTH_PENALTY=3.2e-04 Coil lengths=sum([3.0, 3.1, 3.1, 3.2])=12.3, curvature=[6.1, 6.0, 5.5, 5.1], mean squared curvature=[9.6, 10.9, 11.1, 12.2], coils dofs=1.1221950693557623, 1.1525509018036562, 1.1870327409314685, 1.097370589194312, -0.018491109677417884, 0.4024511666698528
fun_coils#15 - J=2.0e-02, Jf=1.8e-02, ⟨B·n⟩=4.4e-02, B·n max=1.4e-01, ║∇J coils║=2.6e-01, C-C-Sep=0.02 J_length=1.2e-07, J_CC=4.6e-04, J_CURVATURE=0.0e+00, J_MSC=1.2e-03, J_ALS=5.6e-09, J_LENGTH_PENALTY=2.1e-04 Coil lengths=sum([3.0, 3.1, 3.1, 3.2])=12.3, curvature=[5.9, 5.6, 5.3, 5.0], mean squared curvature=[9.2, 10.1, 10.5, 11.5], coils dofs=1.123320129544086, 1.1532469145496125, 1.1872649281464298, 1.0981102328232275, -0.017971487635248393, 0.40337571686123735
fun_coils#16 - J=1.8e-02, Jf=1.6e-02, ⟨B·n⟩=4.1e-02, B·n max=1.4e-01, ║∇J coils║=2.1e-01, C-C-Sep=0.02 J_length=1.2e-07, J_CC=4.1e-04, J_CURVATURE=0.0e+00, J_MSC=7.4e-04, J_ALS=5.7e-09, J_LENGTH_PENALTY=4.5e-04 Coil lengths=sum([3.0, 3.1, 3.1, 3.2])=12.4, curvature=[6.7, 5.4, 5.3, 5.0], mean squared curvature=[9.3, 10.1, 10.4, 11.1], coils dofs=1.1230679482257566, 1.153109553774194, 1.1871303035225809, 1.0983105379243336, -0.01892279659282926, 0.402718343738322
fun_coils#17 - J=1.5e-02, Jf=1.2e-02, ⟨B·n⟩=3.5e-02, B·n max=1.3e-01, ║∇J coils║=1.2e+00, C-C-Sep=0.04 J_length=1.2e-07, J_CC=1.9e-04, J_CURVATURE=3.8e-04, J_MSC=1.5e-03, J_ALS=5.8e-09, J_LENGTH_PENALTY=9.2e-04 Coil lengths=sum([3.0, 3.1, 3.1, 3.2])=12.4, curvature=[13.4, 5.6, 5.0, 5.0], mean squared curvature=[10.7, 10.5, 10.5, 11.5], coils dofs=1.1236902915415388, 1.1534101596696569, 1.1869307955742028, 1.1073416668666407, -0.019438799325627112, 0.39619552010217396
fun_coils#18 - J=1.3e-02, Jf=1.2e-02, ⟨B·n⟩=3.5e-02, B·n max=1.3e-01, ║∇J coils║=2.0e-01, C-C-Sep=0.04 J_length=1.2e-07, J_CC=1.3e-04, J_CURVATURE=0.0e+00, J_MSC=2.1e-04, J_ALS=5.7e-09, J_LENGTH_PENALTY=5.6e-04 Coil lengths=sum([3.0, 3.1, 3.1, 3.2])=12.4, curvature=[6.0, 5.4, 4.9, 4.9], mean squared curvature=[8.2, 9.9, 10.2, 10.6], coils dofs=1.124383943280027, 1.1537791591998994, 1.187018497974225, 1.1117085442337618, -0.018400624393033173, 0.3938352005790659
fun_coils#19 - J=1.3e-02, Jf=1.2e-02, ⟨B·n⟩=3.4e-02, B·n max=1.3e-01, ║∇J coils║=1.9e-01, C-C-Sep=0.04 J_length=1.2e-07, J_CC=1.1e-04, J_CURVATURE=0.0e+00, J_MSC=1.8e-04, J_ALS=5.8e-09, J_LENGTH_PENALTY=7.0e-04 Coil lengths=sum([3.0, 3.1, 3.1, 3.2])=12.4, curvature=[5.9, 5.4, 4.9, 4.9], mean squared curvature=[8.1, 10.0, 10.4, 10.5], coils dofs=1.1243959976981104, 1.1537675536138319, 1.1869568386615075, 1.1134298624270698, -0.0185895430116522, 0.3924014409841586
fun_coils#20 - J=1.2e-02, Jf=1.1e-02, ⟨B·n⟩=3.3e-02, B·n max=1.2e-01, ║∇J coils║=1.4e-01, C-C-Sep=0.05 J_length=1.2e-07, J_CC=6.3e-05, J_CURVATURE=0.0e+00, J_MSC=4.7e-05, J_ALS=5.8e-09, J_LENGTH_PENALTY=7.1e-04 Coil lengths=sum([3.0, 3.1, 3.2, 3.2])=12.4, curvature=[5.8, 5.4, 5.2, 4.9], mean squared curvature=[8.0, 10.1, 9.9, 10.3], coils dofs=1.124990129239837, 1.1540809038651145, 1.186985187087184, 1.1167514250048203, -0.01889997302297786, 0.3899888861337112
fun_coils#21 - J=1.1e-02, Jf=1.0e-02, ⟨B·n⟩=3.2e-02, B·n max=1.1e-01, ║∇J coils║=1.8e-01, C-C-Sep=0.06 J_length=1.2e-07, J_CC=3.2e-05, J_CURVATURE=0.0e+00, J_MSC=1.0e-04, J_ALS=5.8e-09, J_LENGTH_PENALTY=7.5e-04 Coil lengths=sum([2.9, 3.1, 3.2, 3.2])=12.4, curvature=[5.5, 5.4, 5.6, 5.1], mean squared curvature=[8.0, 9.6, 9.8, 10.5], coils dofs=1.1260878133609504, 1.1546795716487723, 1.1870963400720647, 1.1205158869849965, -0.01969589481238265, 0.38727676435214964
