
Aspect ratio at max_mode 2: 3.5000599815782794
Mean iota at 2: -0.18997786721298834
Quasisymmetry objective at max_mode 2: 7.291122244589269e-05
Magnetic well at max_mode 2: -0.22843395231587996
Mercier objective at max_mode 2: 0.0
Total beta at at max_mode 2: 0.0
Squared flux at max_mode 2: 0.03401536678962765
fun_coils#13 - J=1.1e-02, Jf=1.1e-02, ⟨B·n⟩=2.9e-02, B·n max=6.9e-02, ║∇J coils║=1.2e-01, C-C-Sep=0.25 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.8e-06, J_ALS=1.3e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.9])=9.6, curvature=[0.9, 9.0], mean squared curvature=[0.9, 11.1], coils dofs=0.4070355869487916, 1.6998684783422566, 0.29166146169792295, 7.438192322936588e-18, 0.45035241086706235, -1.1702922340611924e-17
fun_coils#14 - J=9.3e-03, Jf=7.9e-03, ⟨B·n⟩=2.4e-02, B·n max=6.8e-02, ║∇J coils║=8.3e-01, C-C-Sep=0.20 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-03, J_ALS=1.8e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.0])=9.8, curvature=[0.9, 8.4], mean squared curvature=[0.9, 12.7], coils dofs=0.4094442658460701, 1.699291360044056, 0.2944542896693761, 1.0482334007872174e-17, 0.4643803921007392, -1.5691049888159865e-17
fun_coils#15 - J=7.8e-03, Jf=7.7e-03, ⟨B·n⟩=2.5e-02, B·n max=1.0e-01, ║∇J coils║=3.6e-01, C-C-Sep=0.17 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.7e-04, J_ALS=1.8e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.1])=9.9, curvature=[0.9, 6.6], mean squared curvature=[0.9, 11.6], coils dofs=0.41172645901739713, 1.6987442297733322, 0.2981176802125695, 1.2050084521871345e-17, 0.4758135032193293, -1.7610285423756362e-17
fun_coils#16 - J=6.7e-03, Jf=6.6e-03, ⟨B·n⟩=2.1e-02, B·n max=7.3e-02, ║∇J coils║=1.6e-01, C-C-Sep=0.17 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.6e-05, J_ALS=1.6e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.1])=9.9, curvature=[0.9, 6.5], mean squared curvature=[0.9, 11.3], coils dofs=0.41198909430566316, 1.6986810589674322, 0.30092839068768645, 1.0979697959345452e-17, 0.4743087408972611, -1.618785650006123e-17
fun_coils#17 - J=5.8e-03, Jf=5.7e-03, ⟨B·n⟩=1.9e-02, B·n max=5.2e-02, ║∇J coils║=1.4e-01, C-C-Sep=0.14 J_CC=6.3e-07, J_CURVATURE=0.0e+00, J_MSC=8.4e-05, J_ALS=1.8e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.2])=10.0, curvature=[0.9, 5.9], mean squared curvature=[0.9, 11.4], coils dofs=0.41381017492374245, 1.6982441684166991, 0.3068361162735496, 7.2575673932231e-18, 0.48090127432574203, -9.924485491418626e-18
fun_coils#18 - J=5.2e-03, Jf=5.2e-03, ⟨B·n⟩=1.8e-02, B·n max=4.5e-02, ║∇J coils║=8.5e-02, C-C-Sep=0.12 J_CC=1.9e-05, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.9e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.3])=10.1, curvature=[0.9, 5.5], mean squared curvature=[0.9, 11.0], coils dofs=0.41559532223767265, 1.6978162836279382, 0.3125055681871258, -7.467008855483624e-19, 0.4891122511666033, 2.5121645107268204e-18
fun_coils#19 - J=4.9e-03, Jf=4.8e-03, ⟨B·n⟩=1.7e-02, B·n max=4.7e-02, ║∇J coils║=8.2e-02, C-C-Sep=0.11 J_CC=4.3e-05, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.0e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.4])=10.2, curvature=[0.9, 5.2], mean squared curvature=[0.9, 10.9], coils dofs=0.4165370602020013, 1.6975917200761008, 0.31594067355896516, -5.043569558601369e-18, 0.4952602235081645, 1.0370339734199646e-17
fun_coils#20 - J=4.4e-03, Jf=4.4e-03, ⟨B·n⟩=1.7e-02, B·n max=5.0e-02, ║∇J coils║=7.2e-02, C-C-Sep=0.11 J_CC=3.9e-05, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.2e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.5])=10.2, curvature=[0.9, 5.3], mean squared curvature=[0.9, 10.6], coils dofs=0.4171976670468513, 1.697437694595643, 0.3204192682426229, -3.594149400026271e-18, 0.5035333119488202, 7.910728174585475e-18
fun_coils#21 - J=3.8e-03, Jf=3.7e-03, ⟨B·n⟩=1.6e-02, B·n max=4.3e-02, ║∇J coils║=7.4e-02, C-C-Sep=0.12 J_CC=1.9e-05, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.6e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.6])=10.4, curvature=[0.9, 5.9], mean squared curvature=[0.9, 10.3], coils dofs=0.41820919446750804, 1.6972037981478159, 0.32966647432825974, 6.136994859823179e-18, 0.5181714768608484, 5.420910665082457e-18
fun_coils#22 - J=3.0e-03, Jf=3.0e-03, ⟨B·n⟩=1.5e-02, B·n max=3.7e-02, ║∇J coils║=7.6e-02, C-C-Sep=0.13 J_CC=4.8e-06, J_CURVATURE=0.0e+00, J_MSC=8.8e-06, J_ALS=4.0e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.8])=10.6, curvature=[0.9, 8.5], mean squared curvature=[0.9, 11.1], coils dofs=0.41988777161202334, 1.6968128210802305, 0.345876519710876, -1.105085294546455e-16, 0.5386736780955639, 8.993600468033065e-17
fun_coils#23 - J=3.0e-03, Jf=2.4e-03, ⟨B·n⟩=1.3e-02, B·n max=3.8e-02, ║∇J coils║=1.2e-01, C-C-Sep=0.14 J_CC=2.1e-07, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=7.1e-10, J_LENGTH_PENALTY=6.3e-04 Coil lengths=sum([6.8, 4.1])=10.9, curvature=[0.9, 8.5], mean squared curvature=[0.9, 10.1], coils dofs=0.42212631777469783, 1.6962902281166423, 0.3705428092687448, 1.0276978433676789e-15, 0.5647479665890169, -3.7597899264607094e-17
fun_coils#24 - J=2.8e-03, Jf=2.8e-03, ⟨B·n⟩=1.4e-02, B·n max=3.7e-02, ║∇J coils║=5.7e-02, C-C-Sep=0.13 J_CC=2.6e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=4.7e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.9])=10.7, curvature=[0.9, 8.6], mean squared curvature=[0.9, 10.7], coils dofs=0.4205264107330466, 1.6966637295330094, 0.3529136126888122, 2.1421254603743388e-16, 0.54611246178581, 5.355161302733439e-17
fun_coils#25 - J=9.1e-03, Jf=2.1e-03, ⟨B·n⟩=1.3e-02, B·n max=3.8e-02, ║∇J coils║=5.4e-01, C-C-Sep=0.16 J_CC=0.0e+00, J_CURVATURE=3.6e-06, J_MSC=3.9e-04, J_ALS=1.1e-09, J_LENGTH_PENALTY=6.6e-03 Coil lengths=sum([6.8, 4.4])=11.1, curvature=[0.9, 11.4], mean squared curvature=[0.9, 11.9], coils dofs=0.4237773496418907, 1.6959051414893274, 0.38855431812428665, -7.193812456842286e-16, 0.5842005871960826, -9.412170309296494e-16
fun_coils#26 - J=2.7e-03, Jf=2.7e-03, ⟨B·n⟩=1.4e-02, B·n max=3.7e-02, ║∇J coils║=5.4e-02, C-C-Sep=0.14 J_CC=1.6e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=5.2e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 4.0])=10.7, curvature=[0.9, 8.9], mean squared curvature=[0.9, 10.8], coils dofs=0.4208748829605959, 1.6965824155271831, 0.3567339846991074, 1.141394541247037e-16, 0.5501951758192193, -5.3078888183505365e-17
fun_coils#27 - J=9.2e-03, Jf=1.9e-03, ⟨B·n⟩=1.2e-02, B·n max=3.4e-02, ║∇J coils║=7.4e-01, C-C-Sep=0.16 J_CC=0.0e+00, J_CURVATURE=1.2e-04, J_MSC=9.5e-04, J_ALS=1.1e-09, J_LENGTH_PENALTY=6.2e-03 Coil lengths=sum([6.8, 4.4])=11.1, curvature=[0.9, 13.3], mean squared curvature=[0.9, 12.4], coils dofs=0.4238870288838422, 1.6958727090317856, 0.3921388860343579, 3.7874054900504176e-14, 0.5809805671050429, 2.2053106824206418e-14
fun_coils#28 - J=2.6e-03, Jf=2.6e-03, ⟨B·n⟩=1.3e-02, B·n max=3.7e-02, ║∇J coils║=5.0e-02, C-C-Sep=0.14 J_CC=1.1e-06, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=5.5e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 9.2], mean squared curvature=[0.9, 10.9], coils dofs=0.4211716096967737, 1.6965125022834726, 0.36022172436564515, 3.833871749391055e-15, 0.5532278471807561, 2.1246032370929896e-15
fun_coils#29 - J=5.0e-03, Jf=2.1e-03, ⟨B·n⟩=1.2e-02, B·n max=3.5e-02, ║∇J coils║=3.9e-01, C-C-Sep=0.15 J_CC=3.3e-09, J_CURVATURE=6.1e-06, J_MSC=2.5e-04, J_ALS=8.8e-10, J_LENGTH_PENALTY=2.6e-03 Coil lengths=sum([6.8, 4.2])=11.0, curvature=[0.9, 11.5], mean squared curvature=[0.9, 11.7], coils dofs=0.4229637863602389, 1.696090238737359, 0.38128705106699556, 2.6300392629125717e-14, 0.5715446423307854, 1.5277415604587855e-14
fun_coils#30 - J=2.5e-03, Jf=2.5e-03, ⟨B·n⟩=1.3e-02, B·n max=3.7e-02, ║∇J coils║=5.8e-02, C-C-Sep=0.14 J_CC=8.1e-07, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=5.8e-10, J_LENGTH_PENALTY=2.5e-05 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 9.5], mean squared curvature=[0.9, 10.9], coils dofs=0.4213711365096829, 1.6964654907910894, 0.36256697167596597, 6.335116966826288e-15, 0.5552670946687407, 3.588933615887628e-15
fun_coils#31 - J=2.9e-03, Jf=2.1e-03, ⟨B·n⟩=1.2e-02, B·n max=2.9e-02, ║∇J coils║=4.6e-01, C-C-Sep=0.18 J_CC=0.0e+00, J_CURVATURE=1.9e-05, J_MSC=7.2e-04, J_ALS=8.5e-10, J_LENGTH_PENALTY=1.6e-06 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 11.9], mean squared curvature=[0.9, 12.2], coils dofs=0.4209897969568177, 1.6965553738688266, 0.37695198421690135, -7.13422951961423e-14, 0.5514564660829567, -1.2529649573021685e-13
fun_coils#32 - J=2.3e-03, Jf=2.3e-03, ⟨B·n⟩=1.2e-02, B·n max=3.0e-02, ║∇J coils║=1.1e-01, C-C-Sep=0.16 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.4e-05, J_ALS=6.7e-10, J_LENGTH_PENALTY=5.5e-06 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 10.1], mean squared curvature=[0.9, 11.3], coils dofs=0.4212091616228076, 1.6965036688432718, 0.36867704014778213, -2.6658549578726888e-14, 0.5536485210655865, -5.1155460668311855e-14
fun_coils#33 - J=2.1e-03, Jf=2.0e-03, ⟨B·n⟩=1.2e-02, B·n max=2.9e-02, ║∇J coils║=8.1e-02, C-C-Sep=0.18 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.7e-05, J_ALS=8.3e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 10.6], mean squared curvature=[0.9, 11.2], coils dofs=0.421226056011564, 1.6964976633146873, 0.3780935356046726, -1.9751982222943802e-14, 0.5521444478911829, 4.963083630807876e-15
fun_coils#34 - J=1.9e-03, Jf=1.9e-03, ⟨B·n⟩=1.1e-02, B·n max=2.8e-02, ║∇J coils║=3.1e-02, C-C-Sep=0.18 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=8.8e-10, J_LENGTH_PENALTY=5.5e-06 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 10.3], mean squared curvature=[0.9, 10.8], coils dofs=0.42176422341935177, 1.69636562295282, 0.38247813603595743, -2.213821228510249e-13, 0.5545259775203318, -5.702963819241584e-13
fun_coils#35 - J=2.1e-03, Jf=1.7e-03, ⟨B·n⟩=1.1e-02, B·n max=3.4e-02, ║∇J coils║=2.9e-01, C-C-Sep=0.20 J_CC=0.0e+00, J_CURVATURE=6.4e-05, J_MSC=1.9e-04, J_ALS=1.1e-09, J_LENGTH_PENALTY=1.6e-04 Coil lengths=sum([6.8, 4.1])=10.8, curvature=[0.9, 12.8], mean squared curvature=[0.9, 11.6], coils dofs=0.4227041779173559, 1.696134374103816, 0.3949327509969805, 2.757181045459626e-13, 0.557933103384835, 1.193362460212913e-12
fun_coils#36 - J=1.8e-03, Jf=1.8e-03, ⟨B·n⟩=1.1e-02, B·n max=3.0e-02, ║∇J coils║=2.9e-02, C-C-Sep=0.19 J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=9.7e-10, J_LENGTH_PENALTY=3.3e-05 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 10.7], mean squared curvature=[0.9, 11.0], coils dofs=0.4221104343072868, 1.6962804476921902, 0.3870655105457876, -3.828654589997265e-14, 0.555780914938431, 7.930729043149188e-14
fun_coils#37 - J=2.2e-03, Jf=1.7e-03, ⟨B·n⟩=1.1e-02, B·n max=3.6e-02, ║∇J coils║=3.9e-01, C-C-Sep=0.20 J_CC=0.0e+00, J_CURVATURE=1.8e-04, J_MSC=2.8e-04, J_ALS=1.1e-09, J_LENGTH_PENALTY=1.2e-05 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 13.5], mean squared curvature=[0.9, 11.7], coils dofs=0.42324946665429164, 1.6959931342454448, 0.3964354904020387, -1.0541089104387071e-12, 0.5545777660027558, -1.2819041870448463e-12
fun_coils#38 - J=1.8e-03, Jf=1.8e-03, ⟨B·n⟩=1.1e-02, B·n max=3.2e-02, ║∇J coils║=4.7e-02, C-C-Sep=0.19 J_CC=0.0e+00, J_CURVATURE=4.6e-06, J_MSC=2.8e-06, J_ALS=1.0e-09, J_LENGTH_PENALTY=2.1e-05 Coil lengths=sum([6.8, 4.0])=10.8, curvature=[0.9, 11.5], mean squared curvature=[0.9, 11.1], coils dofs=0.42244526540009253, 1.6961959887427982, 0.38981991923583575, -3.3689870850394385e-13, 0.5554272360688189, -3.2083580273138454e-13
