Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7),objective_function
     0,  1.3519e+00,  1.0785204528150739e-01,  2.3753539850408640e-02,  1.6324550013133760e-01, -1.0936579887008641e-01, -1.3428765172481391e-01,  2.0013826031533261e-02,  2.3475137199245169e-01,  1.0131168823282501e-01,  9.9532670986154717e-03
     1,  1.3737e+01,  1.0786309909668718e-01,  2.3766074283509030e-02,  1.6321246768095241e-01, -1.0936826631190832e-01, -1.3426651112022733e-01,  2.0032256203903667e-02,  2.3481179829025367e-01,  1.0133496701957198e-01,  9.9532711255488539e-03
     2,  1.5035e+01,  1.0785428981043851e-01,  2.3756820019763078e-02,  1.6323733655473602e-01, -1.0936659572280406e-01, -1.3428159343418791e-01,  2.0018525473084678e-02,  2.3476632100462641e-01,  1.0131733941640157e-01,  9.9532674289636650e-03
     3,  1.6395e+01,  1.0785236233042567e-01,  2.3754483458099454e-02,  1.6324351555282071e-01, -1.0936613189047087e-01, -1.3428579824825351e-01,  2.0015070483753349e-02,  2.3475500251828990e-01,  1.0131296276369973e-01,  9.9532671495393549e-03
     4,  1.7931e+01,  1.0785208124447526e-01,  2.3753812424678944e-02,  1.6324503051714048e-01, -1.0936592910571820e-01, -1.3428711264198626e-01,  2.0014156288575512e-02,  2.3475224428826477e-01,  1.0131196783649944e-01,  9.9532671122411383e-03
