index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
22,23,1.258009296674244e-06,1.256244840403643e-06,10.426931841753172,0.0,0.0,0.0,3.4861785743443014e-12,1.7609700920267416e-09,9.485035972522569,10.857422320943389,0.0047229806113549475,2.338699162037875e-05,0.24652778037760337
23,24,1.2579035463975594e-06,1.2561395049247405e-06,10.426937416123167,0.0,0.0,0.0,3.2820376829918437e-12,1.7607594351358205e-09,9.489126758516624,10.857419839283299,0.0047221407901939134,2.4017827708334944e-05,0.24652317417146405
24,25,1.2576643764258443e-06,1.255897033573117e-06,10.426938778041556,0.0,0.0,0.0,7.177526947257559e-12,1.760165325780052e-09,9.501814103960275,10.85745863287998,0.004720967619871659,3.7814875434755856e-05,0.24652297488094518
25,26,1.257473825800598e-06,1.2557068537883705e-06,10.426924121725161,0.0,0.0,0.0,7.325340357269083e-12,1.75964667187026e-09,9.513246610270427,10.857459860298125,0.004718426522445215,3.6317307540074236e-05,0.24652305219883522
26,27,1.2572728739848022e-06,1.255505865058682e-06,10.426903593422658,0.0,0.0,0.0,7.99824976451604e-12,1.7590106763555572e-09,9.526935984611516,10.857465297570606,0.004717906565235628,4.329791780780709e-05,0.24652775368875415
27,28,1.2570164825972305e-06,1.2552519114421603e-06,10.42687178134652,0.0,0.0,0.0,6.411355222490226e-12,1.7581597998478924e-09,9.545140653444038,10.857452057709228,0.004715241572806722,4.129051056366266e-05,0.24652913051025116
28,29,1.2567277250149923e-06,1.2549680951059567e-06,10.426853223683263,0.0,0.0,0.0,2.1264591411817055e-12,1.7575034498943465e-09,9.557595081972147,10.857404034704198,0.0047148291019546325,3.578250233368501e-05,0.24652215962503948
29,30,1.2563364628629329e-06,1.2545755101684737e-06,10.426843371645928,0.0,0.0,0.0,4.598442046982103e-12,1.7563542524121058e-09,9.578734671183934,10.85743472068809,0.004714573273166014,4.1690330151704785e-05,0.24650314180170851
30,31,1.2558085409617138e-06,1.2540390797146732e-06,10.426841558069258,0.0,0.0,0.0,1.4466182140996e-11,1.7549950648994782e-09,9.603659630227545,10.857508915464212,0.004714204312008242,6.223826459978687e-05,0.24647521270813172
31,32,1.2549519676652097e-06,1.2530954697223155e-06,10.426857904966687,0.0,0.0,0.0,1.0415807946761191e-10,1.7523398634264817e-09,9.652606512502942,10.857795236952372,0.004714168031616299,0.00019488009241707275,0.24641314902725747
32,33,1.2546191332968381e-06,1.2528670816523139e-06,10.42687127522024,0.0,0.0,0.0,0.0,1.7520516445242538e-09,9.65544133767335,10.857185332754522,0.004715680500295589,5.660013382063123e-05,0.24638712458047798
33,34,1.2542113513331052e-06,1.2523679353349718e-06,10.426908669925972,0.0,0.0,0.0,9.31774862317012e-11,1.750238511901724e-09,9.693950230880485,10.857770508815022,0.004713990035283182,0.00018491180290019154,0.24637379663452313
34,35,1.2539982731837553e-06,1.2522392766729323e-06,10.426914236348988,0.0,0.0,0.0,8.587428750377309e-12,1.750409082072476e-09,9.692654532766989,10.857469873182334,0.004713462842784776,4.748408066950873e-05,0.24639241324594055
35,36,1.2538941306828865e-06,1.2521233212699397e-06,10.426915304296578,0.0,0.0,0.0,2.1087197614280872e-11,1.7497222153324758e-09,9.708058045865602,10.85754418435713,0.0047132885792727855,6.906184145707353e-05,0.24639595129633635
