Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
    10,  9.0128e+00,  1.0244411819991399e-01,  2.0692774954686844e-02,  1.7275871001649792e-01, -1.0924873903034905e-01, -1.3740084070076466e-01,  1.5696021159224881e-02,  2.1768748068465119e-01,  9.3936278052586017e-02
    11,  9.0129e+00,  1.0243411819991399e-01,  2.0702774954686844e-02,  1.7275871001649792e-01, -1.0924873903034905e-01, -1.3740084070076466e-01,  1.5696021159224881e-02,  2.1768748068465119e-01,  9.3936278052586017e-02
    12,  9.0129e+00,  1.0243411819991399e-01,  2.0692774954686844e-02,  1.7276871001649793e-01, -1.0924873903034905e-01, -1.3740084070076466e-01,  1.5696021159224881e-02,  2.1768748068465119e-01,  9.3936278052586017e-02
    13,  9.0129e+00,  1.0243411819991399e-01,  2.0692774954686844e-02,  1.7275871001649792e-01, -1.0923873903034906e-01, -1.3740084070076466e-01,  1.5696021159224881e-02,  2.1768748068465119e-01,  9.3936278052586017e-02
    14,  9.0129e+00,  1.0243411819991399e-01,  2.0692774954686844e-02,  1.7275871001649792e-01, -1.0924873903034905e-01, -1.3739084070076465e-01,  1.5696021159224881e-02,  2.1768748068465119e-01,  9.3936278052586017e-02
    15,  9.0129e+00,  1.0243411819991399e-01,  2.0692774954686844e-02,  1.7275871001649792e-01, -1.0924873903034905e-01, -1.3740084070076466e-01,  1.5706021159224880e-02,  2.1768748068465119e-01,  9.3936278052586017e-02
    16,  9.0130e+00,  1.0243411819991399e-01,  2.0692774954686844e-02,  1.7275871001649792e-01, -1.0924873903034905e-01, -1.3740084070076466e-01,  1.5696021159224881e-02,  2.1769748068465120e-01,  9.3936278052586017e-02
    17,  9.0130e+00,  1.0243411819991399e-01,  2.0692774954686844e-02,  1.7275871001649792e-01, -1.0924873903034905e-01, -1.3740084070076466e-01,  1.5696021159224881e-02,  2.1768748068465119e-01,  9.3946278052586013e-02
    18,  1.3343e+01,  1.0553218456748086e-01,  2.2778636228864245e-02,  1.6805011241375908e-01, -1.0962761654853845e-01, -1.3749627014433030e-01,  1.7755148251270815e-02,  2.2564414388785711e-01,  9.7080273673423007e-02
    19,  1.3343e+01,  1.0554218456748085e-01,  2.2778636228864245e-02,  1.6805011241375908e-01, -1.0962761654853845e-01, -1.3749627014433030e-01,  1.7755148251270815e-02,  2.2564414388785711e-01,  9.7080273673423007e-02
    20,  1.3343e+01,  1.0553218456748086e-01,  2.2788636228864245e-02,  1.6805011241375908e-01, -1.0962761654853845e-01, -1.3749627014433030e-01,  1.7755148251270815e-02,  2.2564414388785711e-01,  9.7080273673423007e-02
    21,  1.3343e+01,  1.0553218456748086e-01,  2.2778636228864245e-02,  1.6806011241375909e-01, -1.0962761654853845e-01, -1.3749627014433030e-01,  1.7755148251270815e-02,  2.2564414388785711e-01,  9.7080273673423007e-02
    22,  1.3343e+01,  1.0553218456748086e-01,  2.2778636228864245e-02,  1.6805011241375908e-01, -1.0961761654853845e-01, -1.3749627014433030e-01,  1.7755148251270815e-02,  2.2564414388785711e-01,  9.7080273673423007e-02
    23,  1.3343e+01,  1.0553218456748086e-01,  2.2778636228864245e-02,  1.6805011241375908e-01, -1.0962761654853845e-01, -1.3748627014433029e-01,  1.7755148251270815e-02,  2.2564414388785711e-01,  9.7080273673423007e-02
    24,  1.3343e+01,  1.0553218456748086e-01,  2.2778636228864245e-02,  1.6805011241375908e-01, -1.0962761654853845e-01, -1.3749627014433030e-01,  1.7765148251270815e-02,  2.2564414388785711e-01,  9.7080273673423007e-02
    25,  1.3343e+01,  1.0553218456748086e-01,  2.2778636228864245e-02,  1.6805011241375908e-01, -1.0962761654853845e-01, -1.3749627014433030e-01,  1.7755148251270815e-02,  2.2565414388785712e-01,  9.7080273673423007e-02
    26,  1.3343e+01,  1.0553218456748086e-01,  2.2778636228864245e-02,  1.6805011241375908e-01, -1.0962761654853845e-01, -1.3749627014433030e-01,  1.7755148251270815e-02,  2.2564414388785711e-01,  9.7090273673423003e-02
    27,  1.7682e+01,  1.0676104927087551e-01,  2.3193967360154152e-02,  1.6591166796738233e-01, -1.0949770274335668e-01, -1.3642239569317688e-01,  1.8742587378248902e-02,  2.2970228793836794e-01,  9.8966324863119862e-02
    28,  1.7682e+01,  1.0677104927087551e-01,  2.3193967360154152e-02,  1.6591166796738233e-01, -1.0949770274335668e-01, -1.3642239569317688e-01,  1.8742587378248902e-02,  2.2970228793836794e-01,  9.8966324863119862e-02
    29,  1.7682e+01,  1.0676104927087551e-01,  2.3203967360154152e-02,  1.6591166796738233e-01, -1.0949770274335668e-01, -1.3642239569317688e-01,  1.8742587378248902e-02,  2.2970228793836794e-01,  9.8966324863119862e-02
    30,  1.7682e+01,  1.0676104927087551e-01,  2.3193967360154152e-02,  1.6592166796738234e-01, -1.0949770274335668e-01, -1.3642239569317688e-01,  1.8742587378248902e-02,  2.2970228793836794e-01,  9.8966324863119862e-02
    31,  1.7682e+01,  1.0676104927087551e-01,  2.3193967360154152e-02,  1.6591166796738233e-01, -1.0948770274335669e-01, -1.3642239569317688e-01,  1.8742587378248902e-02,  2.2970228793836794e-01,  9.8966324863119862e-02
    32,  1.7682e+01,  1.0676104927087551e-01,  2.3193967360154152e-02,  1.6591166796738233e-01, -1.0949770274335668e-01, -1.3641239569317687e-01,  1.8742587378248902e-02,  2.2970228793836794e-01,  9.8966324863119862e-02
    33,  1.7682e+01,  1.0676104927087551e-01,  2.3193967360154152e-02,  1.6591166796738233e-01, -1.0949770274335668e-01, -1.3642239569317688e-01,  1.8752587378248902e-02,  2.2970228793836794e-01,  9.8966324863119862e-02
