index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep,Jquasisymmetry,Jmercier,Jaspect
0,1,50.74873237018463,0.009425742360425796,10.729133700949202,0.0,0.0007080230929626552,0.0,0.0,3.013388823595018e-06,16.434453208868604,23.89392573945379,5592.399859647287,0.0019806727483749095,0.13355429465103597,0.06475259161474917,42.9368617977929,8.556750964787142e-05
1,2,100.0,18.378279888142604,10.729163045547402,0.0,0.0007087889146492794,2.318310487386048e-06,0.0,3.0116525969838566e-06,17.61576659676598,24.014629745135608,48623.58429700835,44.325043013637185,0.13321877308649732,0.0,0.0,0.0
2,3,100.0,3.1437032990301383,10.72905684633357,0.0,0.0007072457509161474,0.0,0.0,3.013144336114234e-06,15.379227880916755,23.818853832511486,61655.753402022776,8.908171452914596,0.13347979607078686,0.0,0.0,0.0
3,4,100.0,0.5113734591209658,10.729099836042998,0.0,0.0007076640378358112,0.0,0.0,3.013345485128351e-06,15.389217344902479,23.85736960680557,33258.64534790025,1.4804400729642289,0.13353042639989507,0.0,0.0,0.0
4,5,100.0,0.035062324816277274,10.729122776040441,0.0,0.0007079060746408532,0.0,0.0,3.0133794389810484e-06,16.08754172334746,23.88187859042206,9469.283051788496,0.5099776146787462,0.13354723407339275,0.0,0.0,0.0
5,6,24.247506929570356,0.002714510538346913,10.729131084500358,0.0,0.0007079949858860954,0.0,0.0,3.013386892650252e-06,16.353476967650842,23.89102289307594,2949.965923184478,0.1347849139339176,0.13355264772625153,7.116073089938335,43.919831712227406,0.0038392840037606976
6,7,100.0,0.026262131158364566,10.71880017364626,0.0,0.0005904259126334307,0.0,0.0,3.0040816214212213e-06,15.958147195438887,23.879357285530908,7455.133567302852,0.721738195485358,0.13246077024563566,0.0,0.0,0.0
7,8,21.01054274385552,0.0020022510613409475,10.728207581448048,0.0,0.0006970509797186746,0.0,0.0,3.012556766212899e-06,16.31987615215695,23.88915491940445,2638.8300556719046,0.08783257454009513,0.1334574784489422,7.494651229645683,44.22876506402751,0.004318525080660218
8,9,20.20323005189091,0.0015741346646202534,10.723502040677094,0.0,0.0006426087315444286,0.0,0.0,3.0069168446215118e-06,16.304053210034837,23.857354265996975,2265.165129360644,0.06043162220566405,0.1333164301311021,9.098207657215339,44.144008799336795,0.006270829628948402
9,10,19.452498600222953,0.0014070784517416046,10.720425141816538,0.0,0.0006082060130755224,0.0,0.0,3.0022925168567145e-06,16.212012293175853,23.836178277780736,2152.9346956053173,0.07226759922663652,0.13337004263410893,9.353394562244235,43.19874472587687,0.007670251308800546
10,11,18.88276615291518,0.0014514220572213843,10.713001280010708,0.0,0.0005290961990258478,0.0,0.0,2.9905247170760582e-06,15.82772551317052,23.786375757924425,2250.567806975832,0.06486228160415723,0.1337108156152129,8.954298266207045,40.2580087149547,0.010923981886504992
11,12,18.46538763620657,0.0015060201768249634,10.705074847942225,0.0,0.00045071275481674636,0.0,0.0,2.977956556708468e-06,15.392326965330984,23.735958870102632,2348.7810801119176,0.05180484262952718,0.13409614005497014,8.651050570989076,37.11043029011508,0.015782624225439697
12,13,17.940732776765834,0.0014557769594493212,10.69688386925034,0.0,0.0003763124158802887,0.0,0.0,2.9651522441733122e-06,15.310963619993682,23.686340319331737,2318.0814539837293,0.047718106467266506,0.13434603502876563,8.742369454664743,35.534025188614955,0.023090684232211
13,14,17.274767254135362,0.0013676271033201757,10.685375745108406,0.0,0.0002831134252372232,0.0,0.0,2.947265660369375e-06,15.286051965596261,23.62547276496935,2179.561810042751,0.04619382506202245,0.13434617085387734,8.969924808801446,34.26476046610443,0.03640347424502471
14,15,16.562652963191162,0.0013223977768268508,10.668590942061979,0.0,0.00017091949459635108,0.0,0.0,2.9216455562942387e-06,15.278025723244735,23.558759863943425,2115.469403665906,0.04899568331610536,0.13434639656911157,9.017740856890969,33.25293146024357,0.06371752140264646
15,16,16.25991782257392,0.0013614384189207735,10.65010320313722,0.0,7.993811757148722e-05,0.0,0.0,2.8927788729119437e-06,15.279611972880446,23.51469477969059,2127.6947998452347,0.03811477961735839,0.13434670515483485,8.932691140995946,35.37205328314564,0.10588010475207334
16,17,15.863330008016215,0.0013146876200817368,10.642311655026834,0.0,5.1827955705529774e-05,0.0,0.0,2.8805683931343797e-06,15.276950513469263,23.50198136222648,2102.932998448126,0.03990076522040766,0.13434685925331805,8.884668870983061,35.76699332317741,0.13168041613117895
17,18,15.568166429501503,0.0012856114961018073,10.632925091734764,0.0,2.6023108949270644e-05,0.0,0.0,2.8666486192609273e-06,15.258642486486853,23.488740534155465,2101.6364164287043,0.04930742587615904,0.13434712302746088,8.808189894207546,37.29574521407777,0.18747026694232122
18,19,15.307053667943507,0.0012174609942319072,10.627419553592658,0.0,1.4986915832337478e-05,0.0,0.0,2.8593856172037126e-06,15.24961132104701,23.489174380465222,1942.4838428063465,0.04268445926587211,0.1343474018779849,8.867735513912503,36.6804902096689,0.26278167562360666
19,20,15.104297518986595,0.00123113232198649,10.623368966065133,0.0,8.801481215759856e-06,0.0,0.0,2.8544393726853215e-06,15.240684399634045,23.496531481026626,1918.355215309178,0.04178333410788719,0.13434770185519018,8.536131706706707,36.8787205747252,0.35422459940519935
20,21,14.783298018501984,0.0011766260920029455,10.622460830380465,0.0,7.644609022886458e-06,0.0,0.0,2.8550214411578763e-06,15.244562547053093,23.51449366621746,1900.3832314214633,0.04005888628884797,0.1343480121302968,8.421773635642516,36.27797817233589,0.4258957705245416
21,22,14.386128932763798,0.0010957755444508778,10.622561129298733,0.0,7.780732891747655e-06,0.0,0.0,2.858025126039829e-06,15.253696901926443,23.57011960950082,1845.482082371707,0.03470614360745693,0.1343485388172965,8.309462222972337,34.3135027621428,0.5445951974480973
22,23,13.95120828374533,0.0010443459681847074,10.625023135964543,0.0,1.1173718901670767e-05,0.0,0.0,2.8645991406217924e-06,15.352292209647857,23.68795436652487,1841.0497774207086,0.027683495687269855,0.13301524667278114,7.960744825234354,34.15690872325601,0.6985420273760586
23,24,13.512389152434515,0.0010420754694044935,10.630610174524346,4.251956520924667e-09,2.1117451247357248e-05,0.0,0.0,2.875595035955607e-06,16.24138618568647,23.88779116978057,1970.420222650337,0.03711443333769333,0.1293177732442992,7.306229963559382,35.292846978576385,0.875795350653433
24,25,13.251150823536427,0.0010223500655642665,10.638407395192536,5.568640882643602e-07,4.02324000872771e-05,3.454331077389408e-06,0.0,2.889916814221415e-06,17.666637846991666,24.166327055889496,1906.203874300665,0.06858555406454446,0.12519162899821995,6.856970135955758,39.11425431476389,1.046762799423565
25,26,13.077014202694723,0.0010021396495547093,10.643586739311562,2.4854964162596307e-06,5.633976795939044e-05,0.0,0.0,2.8952998005969776e-06,15.456826156438545,23.911436543998768,1946.1120592848763,0.04161491359946427,0.1225968922242585,6.619437500057221,39.23472333744188,1.1382756339827325
26,27,12.854452827400983,0.0009575806594073655,10.646195762306414,1.052126543031748e-05,6.563111239075383e-05,0.0,0.0,2.902152019778026e-06,16.072507881070347,24.080016614752395,1891.9772373390053,0.042309516636933914,0.11345634107435437,6.489872340420133,34.20752827555668,1.1814045407396236
27,28,12.955582350065459,0.0009211699930368046,10.647142928991872,3.304238826405914e-05,6.997721680429026e-05,8.48591393609537e-06,0.0,2.9069180359983075e-06,18.214537489272452,24.31031842036388,1840.2267591227344,0.09909766727454332,0.10376905791361184,6.5395879935450685,30.38978636891283,1.238082206134187
28,29,12.760099621009836,0.0009234913327272173,10.64650847704223,1.7748333789729977e-05,6.712900355422568e-05,0.0,0.0,2.9040365334285706e-06,16.613179692759495,24.162380305244536,1849.2219767121105,0.039285011924993896,0.10937974086309951,6.498753686388478,32.32454571438527,1.2049824015983404
29,30,12.63088731386717,0.00090885292877554,10.645519642685752,2.3860348776165516e-05,6.416031268197715e-05,0.0,0.0,2.903082906755487e-06,16.16749612643036,24.06975382634128,1800.3758180355817,0.03551967572455959,0.10696134379439753,6.3954935116240454,28.36342135129844,1.2365104365408823
30,31,12.493468247718713,0.0008779463549240601,10.6440810532482,2.6271797960402747e-05,6.017307316909481e-05,4.737988036742954e-07,0.0,2.903748730533455e-06,17.013232846708355,24.084762899633617,1798.6449747519991,0.041534417148011565,0.10659888869888286,6.362740405325543,26.573161354993278,1.2918839744543391
31,32,12.340996619951959,0.0008772035368258018,10.643192455197674,2.540762073018991e-05,5.8409194992662556e-05,0.0,0.0,2.905296674977604e-06,15.994432931242162,23.977399673101942,1864.037702351929,0.025980978708342248,0.10757860312576369,6.1622595294829665,26.06931151811922,1.3591088443508779
32,33,12.184121718836526,0.0008333768413509535,10.644454080423614,2.0909061287152195e-05,6.473037709837645e-05,0.0,0.0,2.911434349105299e-06,16.60462478305445,24.124838999399334,1831.3579689631126,0.020671987325469234,0.11045311569960979,6.133069802569114,25.61893028671556,1.4414133458394471
33,34,12.361267381374194,0.000780575257261384,10.648065021541992,1.572784760525926e-05,8.101249175692769e-05,5.5109786601215455e-05,0.0,2.920560311112479e-06,19.891207484048525,24.55832066986969,1819.627966677795,0.35396855074763295,0.11335382281698145,6.237928583147909,28.660693947174416,1.446609080546769
34,35,12.110351409231004,0.000806346363004368,10.645599903237244,1.9017153863356207e-05,6.982000003530281e-05,2.3881575562953282e-06,0.0,2.9145013342196985e-06,17.33636690245917,24.25436279056177,1814.753339927808,0.06468022292702875,0.11174221357241945,6.165225965481402,26.65852087021955,1.442694564781852
35,36,12.055053872367681,0.000770075203291921,10.647460271917039,1.698563978118009e-05,7.821088564909021e-05,2.076081016813061e-06,0.0,2.918889363106941e-06,17.45547681759598,24.31569027427139,1777.8570175371076,0.06572478008489391,0.11267383733154061,6.264868786115068,27.679205663658287,1.4388515907421313
36,37,12.032414886956303,0.0007454085535766312,10.649105640610896,1.564708548352692e-05,8.587371745657449e-05,0.0,0.0,2.921674023127293e-06,16.477581638704955,24.268044427388716,1739.9611211516942,0.02247724197350022,0.11331558541794107,6.355595868130452,28.11708178329132,1.427563866126536
37,38,11.996903684705387,0.0007431225094773964,10.649901044312877,1.4958510128265706e-05,8.971215214530757e-05,1.7822191101125541e-12,0.0,2.92276524120367e-06,16.51633141544573,24.29262534325249,1740.7810467366533,0.0222289403392584,0.1136642437583213,6.3325433900994135,28.5631535350708,1.4107806007339734
38,39,11.938255914866705,0.0007384068921740803,10.651148240414905,1.4101446227430412e-05,9.595629364331107e-05,2.6478578039670956e-10,0.0,2.9245010669449537e-06,16.57486769051281,24.34582885091923,1739.8908474700047,0.022347674736564748,0.11411057391744876,6.296973490727758,28.2431592015681,1.3843354346511036
39,40,11.866469244601706,0.0007290533929991372,10.652866805664624,1.3282851223513859e-05,0.00010532916155849393,1.2037461226247926e-09,0.0,2.9260721919047907e-06,16.646432525242187,24.40153146494699,1746.7692680403682,0.022198515209465086,0.11455771225085802,6.266834219247516,28.072267733623033,1.346671616758339
40,41,100.0,0.0007290381850191194,10.654260981845939,1.2885991468580079e-05,0.00011428896545813408,1.847037554315737e-08,0.0,2.9251905307029426e-06,16.73369616656675,24.43517005288541,1740.1732131893211,0.024367198695791598,0.11482208689860587,0.0,0.0,0.0
