
fun_coils#12 - J=1.3e-01, Jf=9.2e-03, ⟨B·n⟩=5.1e-02, B·n max=2.2e-01, ║∇J coils║=1.4e+01, C-C-Sep=0.03 J_CC=1.5e-03, J_CURVATURE=8.2e-03, J_MSC=1.1e-01, J_ALS=3.6e-06, J_LENGTH_PENALTY=1.5e-03 Coil lengths=sum([3.6, 3.8, 3.4])=10.7, curvature=[6.2, 16.2, 7.5], mean squared curvature=[8.8, 24.0, 9.4], coils dofs=2.8711860956804824, 2.8976966051372792, 1.233619473706025, 0.013347611429011644, 0.405837881056326, -0.03096843981976765
fun_coils#13 - J=2.4e-02, Jf=2.3e-02, ⟨B·n⟩=8.8e-02, B·n max=4.2e-01, ║∇J coils║=4.6e-01, C-C-Sep=0.09 J_CC=8.3e-05, J_CURVATURE=1.6e-04, J_MSC=1.3e-04, J_ALS=4.3e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.4])=10.6, curvature=[6.2, 9.0, 5.7], mean squared curvature=[7.7, 9.2, 9.5], coils dofs=2.869625977588612, 2.897014130044962, 1.221695667583961, 0.017295348852759167, 0.4190207874284478, -0.03923189918582692
fun_coils#14 - J=2.8e-02, Jf=8.2e-03, ⟨B·n⟩=5.2e-02, B·n max=2.1e-01, ║∇J coils║=4.1e+00, C-C-Sep=0.03 J_CC=1.2e-03, J_CURVATURE=2.4e-03, J_MSC=1.6e-02, J_ALS=3.7e-06, J_LENGTH_PENALTY=5.2e-04 Coil lengths=sum([3.6, 3.7, 3.4])=10.7, curvature=[5.7, 13.8, 6.8], mean squared curvature=[8.0, 14.6, 8.6], coils dofs=2.871509863928799, 2.8977795794605288, 1.2275623417154984, 0.01324502786835691, 0.4134786593591043, -0.031159969452102098
fun_coils#15 - J=1.7e-02, Jf=1.4e-02, ⟨B·n⟩=7.0e-02, B·n max=3.2e-01, ║∇J coils║=1.3e+00, C-C-Sep=0.06 J_CC=3.8e-04, J_CURVATURE=3.8e-04, J_MSC=2.1e-03, J_ALS=4.0e-06, J_LENGTH_PENALTY=1.1e-05 Coil lengths=sum([3.6, 3.6, 3.4])=10.6, curvature=[5.9, 9.4, 5.7], mean squared curvature=[7.6, 11.0, 8.9], coils dofs=2.8704709736533607, 2.897357463785496, 1.2243270983919465, 0.015478622854072439, 0.41653492811250675, -0.03561132573910428
fun_coils#16 - J=1.1e-02, Jf=9.1e-03, ⟨B·n⟩=5.6e-02, B·n max=2.2e-01, ║∇J coils║=3.9e-01, C-C-Sep=0.03 J_CC=1.0e-03, J_CURVATURE=5.0e-04, J_MSC=2.6e-04, J_ALS=3.7e-06, J_LENGTH_PENALTY=2.1e-04 Coil lengths=sum([3.6, 3.7, 3.4])=10.7, curvature=[5.4, 10.1, 6.5], mean squared curvature=[7.6, 9.7, 8.1], coils dofs=2.8717376970696127, 2.8978431216987532, 1.2233241048804164, 0.01315093089125722, 0.4184262383979799, -0.031269716352154066
fun_coils#17 - J=9.0e-03, Jf=7.5e-03, ⟨B·n⟩=5.0e-02, B·n max=2.0e-01, ║∇J coils║=2.7e-01, C-C-Sep=0.03 J_CC=1.0e-03, J_CURVATURE=2.2e-04, J_MSC=1.3e-04, J_ALS=3.6e-06, J_LENGTH_PENALTY=1.6e-04 Coil lengths=sum([3.6, 3.7, 3.4])=10.6, curvature=[5.5, 8.6, 6.6], mean squared curvature=[8.1, 9.5, 8.2], coils dofs=2.871770364733615, 2.8979009648041796, 1.2261793383864674, 0.012456799005490944, 0.41454714519639896, -0.029981752266398324
fun_coils#18 - J=6.9e-03, Jf=5.8e-03, ⟨B·n⟩=4.2e-02, B·n max=1.6e-01, ║∇J coils║=3.7e-01, C-C-Sep=0.04 J_CC=5.7e-04, J_CURVATURE=8.0e-05, J_MSC=4.3e-04, J_ALS=3.4e-06, J_LENGTH_PENALTY=9.6e-07 Coil lengths=sum([3.6, 3.6, 3.3])=10.5, curvature=[6.3, 7.6, 6.4], mean squared curvature=[9.9, 9.1, 8.8], coils dofs=2.872053756805709, 2.898125701078863, 1.2314763166024874, 0.010014790806241548, 0.40620235181629544, -0.02576745642453392
fun_coils#19 - J=5.8e-03, Jf=5.4e-03, ⟨B·n⟩=4.1e-02, B·n max=1.5e-01, ║∇J coils║=1.3e-01, C-C-Sep=0.05 J_CC=3.7e-04, J_CURVATURE=3.3e-06, J_MSC=0.0e+00, J_ALS=3.4e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.6, 3.3])=10.5, curvature=[5.4, 6.0, 6.4], mean squared curvature=[8.0, 8.7, 8.8], coils dofs=2.8721837066801714, 2.898146090045326, 1.2313719697040197, 0.008781581502354696, 0.4072950973719798, -0.02362006440761475
fun_coils#20 - J=5.3e-03, Jf=5.0e-03, ⟨B·n⟩=4.0e-02, B·n max=1.5e-01, ║∇J coils║=9.8e-02, C-C-Sep=0.06 J_CC=2.9e-04, J_CURVATURE=5.2e-07, J_MSC=0.0e+00, J_ALS=3.3e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.6, 3.3])=10.4, curvature=[5.4, 5.6, 6.2], mean squared curvature=[8.0, 8.6, 8.7], coils dofs=2.87228045369654, 2.8981222615082047, 1.2310295479601383, 0.008392798565678683, 0.4080116164525381, -0.023036216079170998
fun_coils#21 - J=4.1e-03, Jf=3.7e-03, ⟨B·n⟩=3.2e-02, B·n max=1.0e-01, ║∇J coils║=2.7e-01, C-C-Sep=0.10 J_CC=6.7e-05, J_CURVATURE=1.0e-04, J_MSC=2.6e-04, J_ALS=3.2e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.5, 3.3])=10.4, curvature=[7.8, 7.0, 6.2], mean squared curvature=[9.5, 8.9, 9.5], coils dofs=2.8724217837883472, 2.8978471519364564, 1.236213477770575, 0.004821831447703033, 0.40446102643962656, -0.017391199724065186
fun_coils#22 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=3.1e-02, B·n max=1.0e-01, ║∇J coils║=7.3e-02, C-C-Sep=0.10 J_CC=6.8e-05, J_CURVATURE=2.6e-06, J_MSC=7.8e-07, J_ALS=3.3e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.3])=10.4, curvature=[5.9, 6.3, 5.2], mean squared curvature=[8.4, 9.0, 8.2], coils dofs=2.8721819696947883, 2.897605279460908, 1.2374810614745926, 0.003951616377874118, 0.40599606145136563, -0.015871033306914206
fun_coils#23 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=3.0e-02, B·n max=9.9e-02, ║∇J coils║=8.7e-02, C-C-Sep=0.10 J_CC=5.5e-05, J_CURVATURE=3.8e-06, J_MSC=9.0e-06, J_ALS=3.2e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.3])=10.4, curvature=[6.3, 6.4, 5.0], mean squared curvature=[8.5, 9.1, 8.2], coils dofs=2.872221157146637, 2.8975717581125706, 1.2384128392645495, 0.00289138893952725, 0.4053921060662834, -0.014167023949624545
fun_coils#24 - J=3.3e-03, Jf=2.8e-03, ⟨B·n⟩=2.7e-02, B·n max=1.0e-01, ║∇J coils║=2.7e-01, C-C-Sep=0.10 J_CC=6.9e-05, J_CURVATURE=1.4e-04, J_MSC=3.0e-04, J_ALS=3.2e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.5, 3.2])=10.4, curvature=[8.6, 6.5, 6.0], mean squared curvature=[9.8, 8.6, 9.1], coils dofs=2.8722417546590853, 2.897341438131212, 1.2434126535401728, -0.002635103323739791, 0.40208469183388174, -0.0054508543738521886
fun_coils#25 - J=3.0e-03, Jf=3.0e-03, ⟨B·n⟩=2.8e-02, B·n max=8.7e-02, ║∇J coils║=5.9e-02, C-C-Sep=0.11 J_CC=2.7e-05, J_CURVATURE=2.6e-05, J_MSC=0.0e+00, J_ALS=3.2e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.5, 3.3])=10.4, curvature=[7.1, 6.3, 5.0], mean squared curvature=[9.0, 8.8, 8.4], coils dofs=2.8722298756256532, 2.8974742686740016, 1.240529151899719, 0.0005521449676177408, 0.4039921495591192, -0.010477658947923947
fun_coils#26 - J=2.9e-03, Jf=2.6e-03, ⟨B·n⟩=2.6e-02, B·n max=9.4e-02, ║∇J coils║=1.7e-01, C-C-Sep=0.10 J_CC=8.3e-05, J_CURVATURE=2.1e-05, J_MSC=2.1e-04, J_ALS=3.2e-06, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.2])=10.4, curvature=[6.8, 6.6, 6.3], mean squared curvature=[9.6, 9.2, 9.2], coils dofs=2.87213144242097, 2.8972331946286425, 1.2446870368503304, -0.0028528355346858947, 0.40157999576347836, -0.004891369126831347
