
Aspect ratio at max_mode 3: 8.000049435549561
Mean iota at 3: -1.2149684869207846
Quasisymmetry objective at max_mode 3: 0.00020184482462217156
Magnetic well at max_mode 3: 0.017487525846076272
Mercier objective at max_mode 3: 16.74320274723904
Total beta at at max_mode 3: 0.022956726693125592
Squared flux at max_mode 3: 0.5713868489248938
fun_coils#12 - J=2.9e-02, Jf=2.8e-02, ⟨B·n⟩=8.4e-02, B·n max=3.1e-01, ║∇J coils║=3.8e-01, C-C-Sep=0.04 J_CC=3.5e-04, J_CURVATURE=4.5e-04, J_MSC=0.0e+00, J_ALS=6.2e-07, J_LENGTH_PENALTY=1.7e-04 Coil lengths=sum([3.1, 3.2, 3.0, 2.9])=12.1, curvature=[10.8, 7.0, 6.5, 8.0], mean squared curvature=[11.8, 11.7, 11.3, 11.6], coils dofs=2.1330034329798284, 2.1563062973341824, 2.1768316820795097, 1.2242911489100397, 0.01801684390820064, 0.33186034279331267
fun_coils#13 - J=3.1e-02, Jf=2.2e-02, ⟨B·n⟩=7.1e-02, B·n max=2.8e-01, ║∇J coils║=3.0e+00, C-C-Sep=0.02 J_CC=6.3e-04, J_CURVATURE=1.1e-03, J_MSC=6.9e-03, J_ALS=6.5e-07, J_LENGTH_PENALTY=3.9e-04 Coil lengths=sum([3.0, 3.2, 3.1, 3.0])=12.3, curvature=[10.4, 8.2, 6.6, 9.9], mean squared curvature=[14.6, 12.7, 11.8, 14.6], coils dofs=2.1354029890096293, 2.15719157045371, 2.1768816619690954, 1.2408271911366817, 0.01624410633468468, 0.31583979551883
fun_coils#14 - J=2.7e-02, Jf=2.5e-02, ⟨B·n⟩=7.7e-02, B·n max=2.9e-01, ║∇J coils║=9.0e-01, C-C-Sep=0.02 J_CC=4.4e-04, J_CURVATURE=4.9e-04, J_MSC=5.8e-04, J_ALS=6.3e-07, J_LENGTH_PENALTY=2.4e-04 Coil lengths=sum([3.0, 3.2, 3.0, 2.9])=12.2, curvature=[10.0, 7.5, 6.6, 8.5], mean squared curvature=[12.7, 12.0, 11.5, 12.8], coils dofs=2.1340624831691035, 2.156697014889077, 2.176853740831574, 1.231589373428448, 0.017234441647344473, 0.32478963329013
fun_coils#15 - J=3.1e-02, Jf=2.1e-02, ⟨B·n⟩=7.1e-02, B·n max=2.8e-01, ║∇J coils║=2.6e+00, C-C-Sep=0.01 J_CC=6.8e-04, J_CURVATURE=5.4e-04, J_MSC=7.7e-03, J_ALS=6.4e-07, J_LENGTH_PENALTY=4.9e-04 Coil lengths=sum([3.0, 3.2, 3.1, 3.0])=12.3, curvature=[9.4, 7.4, 6.6, 7.5], mean squared curvature=[15.9, 12.3, 11.7, 12.3], coils dofs=2.1379362792835885, 2.1583879208512085, 2.177154683095797, 1.2437587529777332, 0.014932311465548374, 0.31437681721699745
fun_coils#16 - J=2.4e-02, Jf=2.3e-02, ⟨B·n⟩=7.3e-02, B·n max=2.9e-01, ║∇J coils║=6.0e-01, C-C-Sep=0.01 J_CC=5.5e-04, J_CURVATURE=1.9e-04, J_MSC=5.8e-04, J_ALS=6.3e-07, J_LENGTH_PENALTY=3.1e-04 Coil lengths=sum([3.0, 3.2, 3.1, 3.0])=12.2, curvature=[7.8, 7.3, 6.5, 7.5], mean squared curvature=[13.0, 12.0, 11.6, 12.5], coils dofs=2.13569324814342, 2.157408841256912, 2.176980429508335, 1.2367123580517037, 0.016265306164774472, 0.3204061150991323
fun_coils#17 - J=2.2e-02, Jf=2.0e-02, ⟨B·n⟩=6.9e-02, B·n max=2.7e-01, ║∇J coils║=3.2e-01, C-C-Sep=0.02 J_CC=6.5e-04, J_CURVATURE=7.5e-05, J_MSC=7.1e-05, J_ALS=6.6e-07, J_LENGTH_PENALTY=3.7e-04 Coil lengths=sum([3.0, 3.2, 3.1, 3.0])=12.3, curvature=[6.9, 7.6, 6.4, 6.8], mean squared curvature=[12.4, 12.0, 11.8, 11.9], coils dofs=2.1356329705729333, 2.1572534692301537, 2.1768688931530997, 1.2428047657481578, 0.015644650657793514, 0.3156484344226038
fun_coils#18 - J=1.8e-02, Jf=1.6e-02, ⟨B·n⟩=6.0e-02, B·n max=2.4e-01, ║∇J coils║=7.5e-01, C-C-Sep=0.02 J_CC=7.0e-04, J_CURVATURE=4.0e-04, J_MSC=7.0e-04, J_ALS=7.1e-07, J_LENGTH_PENALTY=7.7e-04 Coil lengths=sum([3.0, 3.2, 3.2, 3.1])=12.4, curvature=[8.3, 10.7, 7.2, 6.1], mean squared curvature=[13.2, 11.7, 12.2, 12.0], coils dofs=2.1376234172322626, 2.157931476072964, 2.176866081759099, 1.2568238537043197, 0.01290907959322787, 0.30601813637983966
fun_coils#19 - J=1.5e-02, Jf=1.2e-02, ⟨B·n⟩=5.4e-02, B·n max=2.1e-01, ║∇J coils║=4.3e-01, C-C-Sep=0.01 J_CC=6.3e-04, J_CURVATURE=4.8e-04, J_MSC=1.7e-05, J_ALS=7.5e-07, J_LENGTH_PENALTY=1.5e-03 Coil lengths=sum([3.0, 3.2, 3.2, 3.1])=12.5, curvature=[8.8, 10.7, 6.5, 6.5], mean squared curvature=[12.1, 11.9, 11.8, 12.2], coils dofs=2.1398671990853373, 2.1588068435459595, 2.176960087343067, 1.2648325240600775, 0.009428850105610368, 0.305363719910877
fun_coils#20 - J=1.3e-02, Jf=1.2e-02, ⟨B·n⟩=5.2e-02, B·n max=2.0e-01, ║∇J coils║=2.0e-01, C-C-Sep=0.00 J_CC=6.3e-04, J_CURVATURE=3.4e-05, J_MSC=0.0e+00, J_ALS=7.6e-07, J_LENGTH_PENALTY=9.5e-04 Coil lengths=sum([3.0, 3.2, 3.2, 3.1])=12.5, curvature=[7.2, 6.4, 5.9, 6.1], mean squared curvature=[11.6, 11.2, 11.6, 11.8], coils dofs=2.1384827637765302, 2.158112145996191, 2.1767818079393186, 1.2652313447682868, 0.00968206259530777, 0.30527864547937833
fun_coils#21 - J=1.2e-02, Jf=1.1e-02, ⟨B·n⟩=4.9e-02, B·n max=1.9e-01, ║∇J coils║=1.8e-01, C-C-Sep=0.01 J_CC=6.1e-04, J_CURVATURE=1.6e-05, J_MSC=0.0e+00, J_ALS=7.7e-07, J_LENGTH_PENALTY=6.6e-04 Coil lengths=sum([3.0, 3.2, 3.2, 3.1])=12.4, curvature=[6.7, 6.5, 5.4, 6.2], mean squared curvature=[11.6, 11.0, 11.3, 11.7], coils dofs=2.138279474913192, 2.157959758234781, 2.1767265733478927, 1.2667070309785031, 0.008787545605868582, 0.30601687872493843
fun_coils#22 - J=3.0e-01, Jf=5.0e-03, ⟨B·n⟩=3.4e-02, B·n max=1.1e-01, ║∇J coils║=1.1e+02, C-C-Sep=0.02 J_CC=4.0e-04, J_CURVATURE=2.2e-02, J_MSC=2.7e-01, J_ALS=8.2e-07, J_LENGTH_PENALTY=8.8e-04 Coil lengths=sum([3.1, 3.1, 3.2, 3.2])=12.6, curvature=[58.9, 17.5, 10.3, 5.8], mean squared curvature=[33.8, 20.5, 10.4, 11.4], coils dofs=2.1414025728785178, 2.158994668489092, 2.176850050309563, 1.2857504631051986, -0.001004613841437919, 0.30685333177190555
fun_coils#23 - J=1.0e-02, Jf=8.7e-03, ⟨B·n⟩=4.4e-02, B·n max=1.7e-01, ║∇J coils║=5.7e-01, C-C-Sep=0.02 J_CC=5.2e-04, J_CURVATURE=1.4e-04, J_MSC=4.0e-04, J_ALS=7.8e-07, J_LENGTH_PENALTY=4.3e-04 Coil lengths=sum([3.0, 3.2, 3.2, 3.1])=12.5, curvature=[7.3, 8.4, 5.9, 6.1], mean squared curvature=[12.9, 11.7, 10.6, 11.5], coils dofs=2.1390623364748826, 2.1582191773970663, 2.176757525104168, 1.2714806151504285, 0.006332961944916712, 0.30622655096253704
fun_coils#24 - J=9.4e-03, Jf=7.4e-03, ⟨B·n⟩=4.2e-02, B·n max=1.6e-01, ║∇J coils║=1.7e+00, C-C-Sep=0.04 J_CC=4.6e-04, J_CURVATURE=8.3e-04, J_MSC=7.2e-04, J_ALS=7.5e-07, J_LENGTH_PENALTY=4.0e-05 Coil lengths=sum([3.0, 3.1, 3.1, 3.1])=12.4, curvature=[9.4, 9.2, 7.9, 6.0], mean squared curvature=[12.6, 13.0, 10.1, 11.3], coils dofs=2.139180836696175, 2.158280541362333, 2.176829474979628, 1.2696344471717183, 0.004288501193844338, 0.31299856797909165
