index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
0,1,0.38233650587830686,0.37757823284465586,11.309733552923255,0.0004278014507215692,0.004330471582929413,0.0,0.0,3.636155735003101e-37,5.000000000000002,8.333333333333336,0.4584921459893723,0.6459640969065911,0.10442095377604117
1,2,0.18811217646763354,0.1107680720683877,12.811923712693588,0.007680489353909301,0.069654502107014,2.768100910471146e-07,0.0,8.8361282314912e-06,13.0099307906142,13.380834270760289,0.21512050826899817,1.7807812989170184,0.014736937309449158
2,3,0.1633442497088831,0.15878154464368394,11.21513025078275,0.001028954409501892,0.0035324327103981724,0.0,0.0,1.3179452990805365e-06,6.6162144267319825,9.672502777510612,0.26128045753398277,0.5746467741474657,0.07580360662186758
3,4,2.8228141788357384,1.0084886431212907,16.933990194290804,0.0030810332148095876,0.6503491523097662,0.15075525947341728,1.0101189670870807,2.1123629373746283e-05,271.3241388520004,73.90279783624577,0.5090649464542363,539.2537108727446,0.015590370248091182
4,5,0.1489932620608299,0.14489260110262578,11.196396936741845,0.0007990231759766103,0.0033001529519228186,0.0,0.0,1.48483030471677e-06,6.841604297811875,9.8393385495785,0.24730483019279328,0.5663736992337206,0.08254131521237808
5,6,0.07787088767322234,0.06827789465923916,11.357486499250122,0.0026582472659734155,0.006846076973227428,8.461226755139953e-05,0.0,4.056507230952628e-06,14.161593953447383,14.894707089907694,0.16915287817746627,0.8222923962298005,0.006711978144628077
6,7,0.10926554238482496,0.046811087829277676,11.09916451291223,0.0025745541744839427,0.002516293172744964,0.012378192545735585,0.044982207488000275,3.207174582511737e-06,43.19639631767313,25.233000598834778,0.13971600719434193,15.108932836037319,0.014194134381507241
7,8,0.05478477513883438,0.04946231746327968,11.184580943217101,0.0018875912941087284,0.003368329421208665,6.278273116746603e-05,0.0,3.754229069850893e-06,13.26443994396775,13.987413182464145,0.14137638036181324,0.37039810896935743,0.020223809417764978
8,9,0.038336753797370775,0.036550448732091304,10.944373448127973,0.0009551948572948494,0.0007803638994149033,4.7439978782524246e-05,0.0,3.3063297871934206e-06,14.22265421149268,15.490565112541324,0.11909522934487525,0.3029784473941282,0.045267741072748904
9,10,0.9318792218899572,0.09858390777423297,10.773405436472235,0.001028725487644056,0.00042737787781555055,0.05982382988057185,0.7720131286102279,2.252259464903613e-06,131.8083875013743,65.52325024344904,0.14879853843933583,368.9883754828854,0.03448407782200453
