index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep,Jquasisymmetry,Jmercier,Jaspect
30,31,0.12903394345516583,1.583261331896976e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570870934,0.00030058513242612917,0.12671716480674294,0.04278620599125222,26.92900393449371,0.0014452216130325837
31,32,0.12903394345713104,1.5832613319518555e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543569331453,0.00030058513425938505,0.12671716480674294,0.04278620599047467,26.929003931921248,0.0014452216130317734
32,33,0.1290339434543158,1.583261331880247e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377491,0.0003005851328340245,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
33,34,0.12903394345431585,1.5832613318802477e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377494,0.00030058513283402484,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
34,35,0.12903394345431585,1.5832613318802477e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377496,0.00030058513283402456,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
35,36,0.1290339434543158,1.583261331880247e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377491,0.0003005851328340245,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
36,37,0.12903394345431585,1.5832613318802477e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377496,0.00030058513283402456,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
37,38,0.1290339434543158,1.583261331880247e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377491,0.0003005851328340245,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
38,39,0.12903394345431585,1.5832613318802477e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377496,0.00030058513283402456,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
39,40,0.1290339434543158,1.583261331880247e-05,10.756523560059662,8.646414024140637e-07,2.295289683843556e-09,0.0,1.7369387791373964e-09,2.5921622032929365e-07,16.413274937627083,26.234295073173797,0.0017028543570377491,0.0003005851328340245,0.12671716480674294,0.042786205991239015,26.929003935076317,0.0014452216130328539
