index,Nfeval,J,Jf,J_length,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
26,27,1.544745603236051e-06,1.3414739661264487e-06,1.9993291634008895e-07,19.993291634008894,1.610567015814571e-09,7.448679417923425e-10,9.832858119066509e-10,0.0,8.918875299825818e-09,15.980460984864287,24.888011440308738,0.0005254951552853976,0.00013544249605599928,0.1493493972400389
27,28,1.5411249762924425e-06,1.3384871734555986e-06,1.9994104492935502e-07,19.994104492935502,2.418155232193503e-09,2.4987002013804633e-11,2.536156732817962e-10,0.0,8.91846292913e-09,15.98469935139924,24.877193451501828,0.0005248502749935918,6.682038926322579e-05,0.1492247786276589
28,29,1.5379696547272214e-06,1.335437558804944e-06,1.9994779455168246e-07,19.994779455168246,2.0712189213867794e-09,0.0,5.130824492083278e-10,0.0,8.917731831882639e-09,15.996861888268821,24.868719280914128,0.0005243566612147766,6.154087853234394e-05,0.14927346856094087
29,30,1.5347369239139772e-06,1.330767027213587e-06,1.9996125954604946e-07,19.996125954604945,2.1508959900676694e-09,4.6027917774002154e-11,1.811713246499219e-09,0.0,8.916459548227203e-09,16.014155814440297,24.855711486325692,0.0005234262461413215,9.206868311596279e-05,0.14926022244811663
30,31,1.5319178650960754e-06,1.3298511845914775e-06,1.9995571737357356e-07,19.995571737357356,2.073219153805071e-09,0.0,3.77439772194501e-11,0.0,8.915928253131873e-09,15.994886391039206,24.855650348392942,0.0005234046505856206,6.0548144330925775e-05,0.1492729986640246
31,32,1.528552966749229e-06,1.326372735333925e-06,1.999613242719621e-07,19.99613242719621,2.1627088667760243e-09,0.0,5.61982765659964e-11,0.0,8.915099300613686e-09,15.995656561420201,24.84882561280505,0.0005229661179898913,4.239951915559941e-05,0.1492590957682812
32,33,1.534725974616806e-06,1.315997125181647e-06,1.9999441423686403e-07,19.999441423686402,3.165319169146225e-09,1.4222333624131357e-08,1.3467824050175166e-09,0.0,8.910663083163481e-09,16.000497690674887,24.812347613274355,0.0005213940658860667,0.00044754907397121944,0.1491265516320322
33,34,1.5235854528109346e-06,1.3208716764884433e-06,1.9997482359979052e-07,19.997482359979053,2.5478204441076762e-09,1.0825089759678646e-10,8.288138099642322e-11,0.0,8.913269507365105e-09,15.995923733856614,24.833130191871366,0.0005221453360269751,4.931768317799749e-05,0.14920437939302253
34,35,1.5218750089499497e-06,1.3139158354986131e-06,1.9999386520116204e-07,19.999386520116204,3.551317036321465e-09,2.701014874294006e-09,1.7129763395594763e-09,0.0,8.909456576029134e-09,16.00393423431468,24.802601749168083,0.000521497066558202,0.00021261965887015572,0.14908325984080947
35,36,1.5174173216131916e-06,1.3135245200187861e-06,1.9999157688620142e-07,19.99915768862014,3.564762105048071e-09,2.7409827734193147e-10,6.236432581397156e-11,0.0,8.909305609460829e-09,16.000522817821917,24.80121002596138,0.0005214031648451336,6.587471769363628e-05,0.1490848012126055
36,37,1.5173990341318402e-06,1.3110676481130755e-06,1.9999791538200879e-07,19.999791538200878,3.888860477000976e-09,0.0,2.4446101597548673e-09,0.0,8.908155140385253e-09,16.015668486178615,24.790233697117664,0.0005210116802469604,0.00014065770079777913,0.14905283317732823
37,38,1.5165426307546795e-06,1.312303892108052e-06,1.999944924917341e-07,19.99944924917341,3.7122754439342206e-09,5.325585888608592e-11,4.787148520730361e-10,0.0,8.908774177699758e-09,16.0058527328163,24.796077671642855,0.0005212203545468324,7.038610690748058e-05,0.14907002270510145
38,39,1.5156090009475247e-06,1.3105879522934162e-06,1.9999574611057053e-07,19.999574611057053,4.005883802343393e-09,8.243281552436305e-11,9.369859256702473e-10,0.0,8.908867725253316e-09,16.00915641489435,24.7906600034949,0.0005207761649114982,9.889993049205388e-05,0.1490434863164446
39,40,1.5149300013097792e-06,1.3111176728807916e-06,1.9999183680645586e-07,19.999183680645586,3.813521911329526e-09,0.0,6.9697112021027085e-12,0.0,8.909141199216777e-09,15.997636227944703,24.791513581238767,0.0005209007528604383,4.6432241918058616e-05,0.14906464634588312
40,41,1.5135267952271165e-06,1.3093453889715294e-06,1.9999550332696436e-07,19.999550332696437,3.838666456806672e-09,0.0,3.4723647181609517e-10,0.0,8.907983459950622e-09,16.00185134728777,24.78446038466884,0.0005206963374603728,4.485562007593497e-05,0.1490630758115513
41,42,1.5508795577805569e-06,1.306158340104722e-06,2.000033847052471e-07,20.00033847052471,3.276803548753934e-09,4.0908688770371025e-08,5.323406514628132e-10,0.0,8.905431673732069e-09,16.00525629293071,24.771035155497152,0.0005202756487882804,0.0007920263356196797,0.1491265690756481
42,43,1.5133139395791275e-06,1.3091287601706088e-06,1.9999593378329394e-07,19.999593378329394,3.806521874040523e-09,3.067527232104255e-11,3.52048478863217e-10,0.0,8.90784280468155e-09,16.002039181875492,24.78370749998681,0.0005206664829266936,4.7510023252594976e-05,0.14906656650596478
43,44,1.5116871278472276e-06,1.3083269735282116e-06,1.9999540008959116e-07,19.999540008959116,3.1056060808070056e-09,9.549773593948317e-11,1.6365041267832926e-10,0.0,8.907116211392534e-09,16.003528283991614,24.78462801244822,0.0005204091263619149,5.468299099710265e-05,0.14914322174667197
44,45,1.5097626084938577e-06,1.3067273494484715e-06,1.999948999172971e-07,19.99948999172971,2.7987858686886503e-09,5.849139424525994e-11,1.8308186515529325e-10,0.0,8.906132292867574e-09,16.00373812011065,24.779015329336616,0.0005201635964165018,4.463805357289411e-05,0.1491825463931257
