ln,lt,growth_rate,omega,ky,weighted_growth_rate
3.0,0.5,-0.003502490211639736,0.44336545567685226,4.0,-0.0027547046989091386
0.5,0.5,-0.00766501633853721,0.043017006462559175,0.6288286528841778,-0.010943207599759176
2.5,0.5,-0.004185739112547487,0.2751155037393794,4.0,-0.0032553269414544086
2.0,0.5,-0.004516294502912881,0.07277746197708933,2.7628318729358137,-0.004655504662079981
4.0,0.5,-0.0029015219249105564,0.4789160414374267,4.0,-0.0022170920967732005
3.5,0.5,-0.0031531396007623397,0.45863299820105263,4.0,-0.0024491512490714645
1.5,0.5,-0.004314095774301769,-0.01832989003783411,1.3180849156270993,-0.004887067893616877
1.0,0.5,-0.004245347567681118,0.002210832703555435,1.3180849156270993,-0.0039048379686498474
5.0,0.5,-0.0032367066061756824,-0.48240413881860117,0.3,-0.0023250772329261957
6.0,0.5,-0.004324590861233932,0.3457330143494064,4.0,-0.002683791248552529
5.5,0.5,-0.0037601921521891305,0.4720634098784941,4.0,-0.002530787756020082
4.5,0.5,-0.0029152442573056594,-0.3687877819302756,0.3,-0.0021879856730765714
1.5,1.0,-0.003828078854176078,0.12076127080968073,1.3180849156270993,-0.003986114019125637
0.5,1.0,0.006314206439735071,0.05550600902194108,1.908309989527504,0.005268302326799299
1.0,1.0,0.00466944219928687,0.024398178274419615,0.4343369612009244,0.0021997621895087074
2.0,1.0,-0.004918142449070352,0.113999612159141,2.7628318729358137,-0.005832032787585078
2.5,1.0,-0.005176195507305569,0.08764269564626474,2.7628318729358137,-0.005221297137927727
5.0,1.0,-0.003495803150281551,0.37677063184211373,4.0,-0.002296016530836535
3.5,1.0,-0.0035041262553884376,0.4095470332666418,4.0,-0.002444882978323493
4.5,1.0,-0.003169973118002524,0.38586684046329084,4.0,-0.0021917741894222948
4.0,1.0,-0.003078943558531546,0.4136019715006844,4.0,-0.002166084390842766
3.0,1.0,-0.004418253631678814,-0.15790336004445937,0.6288286528841778,-0.0032729813167161163
6.0,1.0,-0.004429780009087281,0.3582591056214041,4.0,-0.0026221115873319525
5.5,1.0,-0.003887895245398027,0.3688635572080865,4.0,-0.0024715611206001095
0.5,1.5,0.027552817172234012,0.08615607517893303,1.3180849156270993,0.026495366680730208
1.0,1.5,0.02497435077700567,0.05392582306118197,0.4343369612009244,0.019933386429747343
2.0,1.5,-0.00807209033725637,0.05216191944351378,1.908309989527504,-0.006557892790267324
1.5,1.5,0.013317235149300449,0.010453674855172486,0.4343369612009244,0.004636136334615444
3.0,1.5,-0.0058906006706650055,0.09725788941779562,2.7628318729358137,-0.005453477423914248
2.5,1.5,-0.007203307479030254,0.11674608549644545,2.7628318729358137,-0.007045048017936638
3.5,1.5,-0.004517276140134594,-0.2377436095553118,0.4343369612009244,-0.0031023229056226648
4.0,1.5,-0.003786225290067548,0.40125879769796097,4.0,-0.002353804900030639
4.5,1.5,-0.003677828223993072,0.3952718882102337,4.0,-0.002295587650397248
5.0,1.5,-0.0037947504736757496,-0.4054925110337814,0.6288286528841778,-0.002392775586760208
5.5,1.5,-0.004084528873269236,0.39487992042947573,4.0,-0.0024267779402830985
0.5,2.0,0.04767331681593432,0.2181063804280282,1.908309989527504,0.051096932511463224
